County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Lucas,"1,235","2,285",13,"2,003",2,"5,538",59,102,0,169,1,331,"5,869"
Lyon,844,"5,435",12,"1,656",2,"7,949",84,188,2,180,0,454,"8,403"
Madison,"2,599","4,322",40,"3,796",9,"10,766",128,194,2,300,1,625,"11,391"
Mahaska,"2,441","6,837",60,"4,340",14,"13,692",273,257,4,487,0,"1,021","14,713"
Marion,"5,140","9,465",71,"7,757",18,"22,451",294,429,7,606,0,"1,336","23,787"
Marshall,"6,956","7,408",69,"8,903",24,"23,360",382,274,5,676,0,"1,337","24,697"
Mills,"1,949","5,024",60,"3,049",18,"10,100",17,23,1,27,1,69,"10,169"
Mitchell,"1,621","2,526",8,"2,758",5,"6,918",66,73,1,145,0,285,"7,203"
Monona,"1,683","2,043",16,"2,216",7,"5,965",61,63,1,112,0,237,"6,202"
Monroe,"1,484","1,708",10,"1,586",0,"4,788",62,53,1,102,1,219,"5,007"
Montgomery,"1,005","3,589",14,"2,235",7,"6,850",62,118,1,182,0,363,"7,213"
Muscatine,"7,805","8,050",81,"10,315",43,"26,294",546,397,5,936,0,"1,884","28,178"
O'Brien,"1,137","5,702",26,"2,378",9,"9,252",92,165,3,199,1,460,"9,712"
Osceola,457,"2,508",3,"1,135",5,"4,108",18,56,0,71,1,146,"4,254"
Page,"1,451","5,135",25,"2,828",11,"9,450",111,186,5,290,0,592,"10,042"
Palo Alto,"1,949","1,784",15,"2,293",4,"6,045",75,32,0,102,0,209,"6,254"
Plymouth,"3,004","8,332",56,"5,379",24,"16,795",155,274,2,320,0,751,"17,546"
Pocahontas,918,"2,039",15,"1,886",4,"4,862",58,60,2,160,0,280,"5,142"
Polk,"109,059","85,006","2,026","87,009",536,"283,636","6,444","3,954",136,"6,425",35,"16,994","300,630"
Pottawattamie,"15,160","20,999",391,"19,736",113,"56,399","2,176","1,947",44,"3,362",16,"7,545","63,944"
Poweshiek,"3,975","3,718",41,"4,850",12,"12,596",693,130,8,624,4,"1,459","14,055"
Ringgold,810,"1,523",6,781,0,"3,120",36,34,0,53,0,123,"3,243"
Sac,"1,231","3,118",13,"2,454",5,"6,821",61,94,0,189,0,344,"7,165"
Scott,"35,369","31,867",626,"46,440",191,"114,493","3,187","2,114",65,"4,721",19,"10,106","124,599"
Shelby,"1,707","3,612",21,"2,687",3,"8,030",64,99,2,129,1,295,"8,325"
Sioux,"1,690","15,417",47,"4,066",18,"21,238",109,402,6,279,2,798,"22,036"
Story,"18,880","17,931",552,"23,092",160,"60,615","2,152","1,563",71,"3,201",23,"7,010","67,625"
Tama,"3,009","3,373",27,"4,768",7,"11,184",141,85,1,304,0,531,"11,715"
Taylor,666,"1,879",20,"1,241",0,"3,806",27,50,1,70,0,148,"3,954"
Union,"1,636","2,699",21,"3,288",5,"7,649",89,113,0,299,0,501,"8,150"
Van Buren,948,"2,059",11,"1,617",9,"4,644",47,58,4,108,1,218,"4,862"
Wapello,"8,015","5,400",64,"6,902",37,"20,418",565,266,3,796,0,"1,630","22,048"
Warren,"9,453","11,572",148,"11,753",24,"32,950",463,515,6,843,3,"1,830","34,780"
Washington,"2,923","6,091",69,"5,077",27,"14,187",138,189,4,368,1,700,"14,887"
Wayne,904,"1,436",10,"1,241",2,"3,593",31,48,1,57,0,137,"3,730"
Webster,"7,604","6,812",84,"8,626",46,"23,172",498,312,3,834,1,"1,648","24,820"
Winnebago,"1,485","2,821",20,"2,976",7,"7,309",139,114,1,275,0,529,"7,838"
Winneshiek,"3,928","4,397",28,"5,240",21,"13,614",271,133,3,437,3,847,"14,461"
Woodbury,"17,509","20,164",217,"19,157",79,"57,126","1,438","1,087",21,"1,905",8,"4,459","61,585"
Worth,"1,321","1,952",4,"2,035",1,"5,313",103,77,2,216,0,398,"5,711"
Wright,"1,792","3,387",23,"2,645",8,"7,855",100,117,2,211,1,431,"8,286"
Totals,"605,606","653,459","9,412","713,754","2,926","1,985,157","42,861","30,777",786,"63,712",279,"138,415","2,123,572"
