County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Sioux,"1,729","15,488","3,957",70,"21,244",115,477,296,2,890,"22,134"
Story,"19,722","18,594","24,048",710,"63,074","1,550","1,116","2,126",64,"4,856","67,930"
Tama,"3,141","3,422","4,723",34,"11,320",105,86,235,2,428,"11,748"
Taylor,688,"1,919","1,277",21,"3,905",46,78,95,0,219,"4,124"
Union,"1,708","2,784","3,320",27,"7,839",58,77,175,1,311,"8,150"
Van Buren,988,"2,120","1,628",21,"4,757",35,40,64,4,143,"4,900"
Wapello,"8,407","5,522","7,113",102,"21,144",362,194,478,2,"1,036","22,180"
Warren,"9,712","11,795","11,685",166,"33,358",368,424,611,6,"1,409","34,767"
Washington,"3,018","6,217","5,053",98,"14,386",99,155,235,2,491,"14,877"
Wayne,938,"1,474","1,272",13,"3,697",28,46,52,0,126,"3,823"
Webster,"8,018","6,954","8,907",114,"23,993",253,199,397,5,854,"24,847"
Winnebago,"1,527","2,881","2,979",25,"7,412",139,114,234,1,488,"7,900"
Winneshiek,"4,160","4,524","5,489",51,"14,224",116,85,200,1,402,"14,626"
Woodbury,"18,210","20,635","19,343",293,"58,481","1,037",901,"1,338",22,"3,298","61,779"
Worth,"1,369","1,986","2,043",6,"5,404",92,67,185,2,346,"5,750"
Wright,"1,846","3,432","2,667",30,"7,975",90,97,164,3,354,"8,329"
Totals,"626,687","665,242","715,387","11,934","2,019,250","33,255","26,852","48,462",804,"109,373","2,128,623"
