County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Sac,796,3108,10,1322,5,5241,270,676,9,986,6,1947,7188
Scott,25991,28658,466,27491,112,82718,13688,8122,495,23254,159,45718,128436
Shelby,1158,3607,32,1444,4,6245,443,807,19,1068,6,2343,8588
Sioux,1310,13722,30,2722,9,17793,716,2753,45,2057,13,5584,23377
Story,15910,13945,347,14102,81,44385,7668,5293,386,11612,107,25066,69451
Tama,2073,3336,33,2486,13,7941,851,673,21,1904,5,3454,11395
Taylor,431,1739,10,627,3,2810,170,419,17,533,2,1141,3951
Union,1096,2829,24,1791,3,5743,417,631,28,1453,5,2534,8277
Van Buren,564,1970,12,878,6,3430,206,505,10,735,5,1461,4891
Wapello,4306,5221,60,3721,17,13325,2436,1677,63,3688,32,7896,21221
Warren,8271,12429,173,8410,28,29311,2415,2920,132,4988,28,10483,39794
Washington,2485,5379,51,2900,12,10827,805,1311,58,2291,10,4475,15302
Wayne,498,1642,9,700,2,2851,205,346,8,439,2,1000,3851
Webster,4570,6843,88,4559,19,16079,2224,1994,80,4406,40,8744,24823
Winnebago,1131,2706,21,1592,2,5452,489,574,22,1353,3,2441,7893
Winneshiek,3605,4280,35,3558,9,11487,1021,615,25,1605,15,3281,14768
Woodbury,10061,17312,192,9650,51,37266,7809,6230,216,11732,85,26072,63338
Worth,951,1801,16,1179,3,3950,291,369,10,847,2,1519,5469
Wright,1121,2909,20,1553,2,5605,492,652,13,1118,7,2282,7887
Totals,"466,945","612,144","8,350","439,066","1,827","1,528,332","191,011","155,871","7,186","322,788","2,377","679,233","2,207,565"
