County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Sac,797,3111,10,1343,5,5266,268,673,9,977,6,1933,7199
Scott,26039,28698,469,27958,116,83280,13598,8077,494,23118,157,45444,128724
Shelby,1156,3601,32,1453,4,6246,442,802,19,1063,6,2332,8578
Sioux,1304,13869,30,2715,9,17927,711,2734,45,2045,13,5548,23475
Story,15913,13937,351,14261,80,44542,7647,5274,386,11571,106,24984,69526
Tama,2075,3344,33,2495,13,7960,843,671,21,1894,5,3434,11394
Taylor,434,1749,10,635,3,2831,170,415,17,528,2,1132,3963
Union,1098,2821,25,1827,3,5774,415,627,28,1438,5,2513,8287
Van Buren,562,1974,13,891,7,3447,205,502,10,729,5,1451,4898
Wapello,4294,5229,64,3772,17,13376,2426,1670,62,3674,31,7863,21239
Warren,8288,12464,175,8474,29,29430,2401,2904,132,4967,28,10432,39862
Washington,2484,5382,51,2915,12,10844,798,1296,58,2281,10,4443,15287
Wayne,500,1644,10,702,2,2858,202,345,8,438,1,994,3852
Webster,4567,6879,89,4601,19,16155,2213,1985,81,4376,40,8695,24850
Winnebago,1132,2704,20,1614,2,5472,489,568,22,1343,3,2425,7897
Winneshiek,3599,4277,35,3584,9,11504,1017,612,25,1597,15,3266,14770
Woodbury,10066,17344,191,9790,52,37443,7770,6184,215,11679,83,25931,63374
Worth,951,1807,17,1187,3,3965,289,367,10,842,2,1510,5475
Wright,1121,2916,19,1568,2,5626,487,648,13,1112,7,2267,7893
Totals,"466,773","613,291","8,421","443,784","1,843","1,534,112","190,158","154,971","7,155","321,266","2,360","675,910","2,210,022"
