County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,"1,048","2,271","1,911",26,"5,256",43,75,128,5,251,"5,507"
Adams,557,"1,162",990,13,"2,722",32,33,98,2,165,"2,887"
Allamakee,"2,289","4,353","2,844",47,"9,533",153,147,330,3,633,"10,166"
Appanoose,"2,159","3,516","2,707",58,"8,440",150,165,361,1,677,"9,117"
Audubon,"1,010","2,026","1,137",17,"4,190",35,48,89,1,173,"4,363"
Benton,"4,360","6,407","6,966",136,"17,869",149,169,350,9,677,"18,546"
Black Hawk,"33,671","23,107","27,096",773,"84,647","2,207","1,331","2,731",70,"6,339","90,986"
Boone,"5,679","6,701","6,530",161,"19,071",242,263,606,14,"1,125","20,196"
Bremer,"4,640","5,798","7,003",105,"17,546",207,177,459,10,853,"18,399"
Buchanan,"3,809","3,910","5,842",62,"13,623",123,91,392,5,611,"14,234"
Buena Vista,"3,175","4,330","4,014",85,"11,604",330,243,501,3,"1,077","12,681"
Butler,"1,947","4,828","3,164",56,"9,995",57,110,182,2,351,"10,346"
Calhoun,"1,332","2,901","2,339",47,"6,619",43,62,100,6,211,"6,830"
Carroll,"3,684","5,211","5,476",94,"14,465",121,125,225,7,478,"14,943"
Cass,"1,678","4,796","2,795",61,"9,330",98,231,304,1,634,"9,964"
Cedar,"3,482","4,654","4,527",100,"12,763",122,136,231,13,502,"13,265"
Cerro Gordo,"9,415","8,715","11,910",204,"30,244",420,395,965,5,"1,785","32,029"
Cherokee,"1,460","4,303","2,229",33,"8,025",74,90,218,2,384,"8,409"
Chickasaw,"2,387","2,784","3,009",44,"8,224",109,104,243,2,458,"8,682"
Clarke,"1,509","2,437","2,024",54,"6,024",65,74,164,2,305,"6,329"
Clay,"2,204","5,657","3,444",83,"11,388",128,267,374,6,775,"12,163"
Clayton,"3,299","4,172","4,304",74,"11,849",129,136,204,2,471,"12,320"
Clinton,"10,324","9,631","12,085",228,"32,268",690,337,"1,195",16,"2,238","34,506"
Crawford,"2,527","3,822","3,351",62,"9,762",96,106,235,1,438,"10,200"
Dallas,"19,756","23,281","22,379",610,"66,026",769,"1,088","1,671",44,"3,572","69,598"
Davis,"1,489","2,171","1,311",27,"4,998",75,84,118,3,280,"5,278"
Decatur,"1,327","2,059","1,426",35,"4,847",167,106,189,4,466,"5,313"
Delaware,"2,621","4,834","4,457",62,"11,974",77,101,220,4,402,"12,376"
Des Moines,"10,511","7,827","8,603",214,"27,155",618,316,760,19,"1,713","28,868"
Dickinson,"2,896","6,548","4,193",96,"13,733",166,290,413,8,877,"14,610"
Dubuque,"27,276","20,059","19,792",580,"67,707","1,721","1,090","2,178",48,"5,037","72,744"
Emmet,"1,719","2,137","2,436",38,"6,330",96,133,291,1,521,"6,851"
Fayette,"3,556","4,549","4,233",81,"12,419",163,100,258,5,526,"12,945"
Floyd,"2,971","3,064","4,433",72,"10,540",226,131,397,6,760,"11,300"
Franklin,"1,322","3,132","1,977",39,"6,470",63,84,147,1,295,"6,765"
Fremont,"1,013","2,721","1,130",35,"4,899",89,144,181,6,420,"5,319"
Greene,"1,681","2,601","2,079",41,"6,402",52,79,156,4,291,"6,693"
Grundy,"1,719","4,388","2,676",50,"8,833",47,122,136,3,308,"9,141"
Guthrie,"1,779","3,217","2,886",57,"7,939",59,94,182,2,337,"8,276"
Hamilton,"2,468","4,488","2,941",62,"9,959",91,122,246,2,461,"10,420"
Hancock,"1,551","3,711","2,371",46,"7,679",66,88,173,3,330,"8,009"
Hardin,"2,753","5,165","3,457",75,"11,450",135,168,256,4,563,"12,013"
Harrison,"2,105","4,788","2,430",83,"9,406",30,67,63,3,163,"9,569"
Henry,"2,969","5,498","4,457",95,"13,019",213,265,536,8,"1,022","14,041"
Howard,"1,664","1,816","2,584",35,"6,099",83,69,194,1,347,"6,446"
Humboldt,"1,221","2,976","2,220",34,"6,451",57,91,147,3,298,"6,749"
Ida,819,"2,428","1,587",23,"4,857",28,55,83,2,168,"5,025"
Iowa,"2,789","4,896","4,226",92,"12,003",129,156,251,4,540,"12,543"
Jackson,"5,098","4,220","4,934",54,"14,306",175,114,375,2,666,"14,972"
Jasper,"8,344","8,757","8,656",163,"25,920",253,224,462,2,941,"26,861"
Jefferson,"4,535","3,605","2,860",101,"11,101",296,122,325,10,753,"11,854"
Johnson,"52,386","18,494","28,720",923,"100,523","6,407","2,751","5,934",211,"15,303","115,826"
Jones,"3,371","4,736","5,459",61,"13,627",105,122,316,4,547,"14,174"
Keokuk,"1,661","2,845","2,173",31,"6,710",69,67,136,1,273,"6,983"
Kossuth,"2,656","4,756","3,501",37,"10,950",94,142,278,4,518,"11,468"
Lee,"8,546","6,024","7,468",178,"22,216",512,290,937,21,"1,760","23,976"
Linn,"60,737","42,269","50,013","1,744","154,763","2,631","1,822","3,161",139,"7,753","162,516"
Louisa,"1,761","2,833","2,430",36,"7,060",74,66,184,2,326,"7,386"
Lucas,"1,266","2,610","1,892",37,"5,805",64,94,138,2,298,"6,103"
Lyon,818,"6,294","1,243",22,"8,377",64,149,128,4,345,"8,722"
Madison,"2,854","4,963","3,749",91,"11,657",142,222,298,4,666,"12,323"
Mahaska,"2,731","7,302","4,282",129,"14,444",218,261,441,7,927,"15,371"
Marion,"5,468","10,771","7,146",168,"23,553",335,466,641,10,"1,452","25,005"
Marshall,"8,040","7,989","7,602",176,"23,807",407,344,767,13,"1,531","25,338"
Mills,"2,102","5,675","2,750",125,"10,652",80,136,143,7,366,"11,018"
Mitchell,"1,748","2,776","2,576",50,"7,150",86,92,168,3,349,"7,499"
Monona,"1,565","2,517","1,824",44,"5,950",101,115,199,7,422,"6,372"
Monroe,"1,355","2,176","1,483",36,"5,050",49,62,122,3,236,"5,286"
Montgomery,"1,249","3,794","2,029",47,"7,119",80,150,210,5,445,"7,564"
Muscatine,"8,827","9,002","9,963",263,"28,055",462,389,858,14,"1,723","29,778"
O'Brien,"1,307","5,929","2,183",64,"9,483",99,197,197,5,498,"9,981"
Osceola,503,"2,603","1,052",16,"4,174",24,62,81,1,168,"4,342"
Page,"1,773","5,298","2,508",68,"9,647",150,302,443,7,902,"10,549"
Palo Alto,"1,857","2,354","1,960",34,"6,205",76,56,146,2,280,"6,485"
Plymouth,"3,204","9,171","5,041",108,"17,524",150,299,331,10,790,"18,314"
Pocahontas,906,"2,393","1,541",38,"4,878",69,65,160,2,296,"5,174"
Polk,"135,468","88,649","90,306","3,507","317,930","6,445","3,908","5,989",256,"16,598","334,528"
Pottawattamie,"17,455","24,014","18,919",760,"61,148","1,574","1,496","2,452",95,"5,617","66,765"
Poweshiek,"4,587","4,113","4,758",75,"13,533",558,126,411,9,"1,104","14,637"
Ringgold,607,"2,024",594,13,"3,238",22,48,54,0,124,"3,362"
Sac,"1,236","3,678","2,097",24,"7,035",58,87,152,1,298,"7,333"
Scott,"41,734","34,302","44,451","1,163","121,650","3,910","2,557","5,760",143,"12,370","134,020"
Shelby,"1,830","4,051","2,409",46,"8,336",93,132,183,6,414,"8,750"
Sioux,"2,132","16,198","4,011",96,"22,437",124,504,275,12,915,"23,352"
Story,"24,448","18,204","22,991",867,"66,510","2,356","1,578","3,129",144,"7,207","73,717"
Tama,"3,207","3,770","4,315",82,"11,374",117,93,277,3,490,"11,864"
Taylor,666,"2,163","1,155",31,"4,015",32,49,85,2,168,"4,183"
Union,"1,729","3,455","2,778",49,"8,011",106,111,331,1,549,"8,560"
Van Buren,870,"2,518","1,422",30,"4,840",55,70,104,5,234,"5,074"
Wapello,"7,653","6,346","6,768",150,"20,917",511,270,739,8,"1,528","22,445"
Warren,"11,171","13,786","11,504",307,"36,768",460,513,793,24,"1,790","38,558"
Washington,"3,630","6,133","5,089",119,"14,971",162,230,365,18,775,"15,746"
Wayne,880,"1,733","1,149",22,"3,784",27,59,75,1,162,"3,946"
Webster,"7,687","8,055","8,381",208,"24,331",532,390,899,11,"1,832","26,163"
Winnebago,"1,794","3,043","2,708",51,"7,596",106,132,310,2,550,"8,146"
Winneshiek,"4,888","4,813","4,841",72,"14,614",413,185,604,11,"1,213","15,827"
Woodbury,"19,169","23,234","18,217",510,"61,130","1,619","1,346","2,221",56,"5,242","66,372"
Worth,"1,418","2,070","1,929",27,"5,444",70,71,172,1,314,"5,758"
Wright,"1,879","3,621","2,384",44,"7,928",87,129,183,2,401,"8,329"
Totals,"700,426","727,975","678,195","18,302","2,124,898","43,752","33,223","63,073","1,689","141,737","2,266,635"
