County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Tama,"2,946","3,263","4,638",49,"10,896",154,142,393,2,691,"11,587"
Taylor,666,"1,805","1,215",24,"3,710",42,82,95,2,221,"3,931"
Union,"1,667","2,656","3,127",48,"7,498",136,159,422,3,720,"8,218"
Van Buren,840,"1,943","1,795",27,"4,605",69,103,143,5,320,"4,925"
Wapello,"7,665","5,347","6,825",102,"19,939",633,376,933,13,"1,955","21,894"
Warren,"10,170","11,474","11,975",230,"33,849",640,787,"1,182",37,"2,646","36,495"
Washington,"3,208","5,596","5,263",108,"14,175",228,327,529,23,"1,107","15,282"
Wayne,879,"1,436","1,117",23,"3,455",43,73,100,4,220,"3,675"
Webster,"7,361","6,823","8,955",167,"23,306",635,503,"1,074",11,"2,223","25,529"
Winnebago,"1,512","2,652","2,980",32,"7,176",129,179,373,3,684,"7,860"
Winneshiek,"4,344","4,124","5,138",55,"13,661",463,233,678,14,"1,388","15,049"
Woodbury,"17,864","19,354","19,617",401,"57,236","1,832","1,554","2,538",59,"5,983","63,219"
Worth,"1,308","1,822","1,965",18,"5,113",97,94,217,2,410,"5,523"
Wright,"1,758","3,274","2,511",37,"7,580",118,169,245,4,536,"8,116"
Totals,"642,899","628,154","713,692","14,863","1,999,608","51,513","42,763","77,562","2,102","173,940","2,173,548"
