County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,860,2239,21,1575,4,4699,98,152,6,371,1,628,5327
Adams,461,1133,4,830,1,2429,46,82,0,213,0,341,2770
Allamakee,1908,4078,36,2438,6,8466,239,345,8,633,4,1229,9695
Appanoose,1659,3483,44,2234,12,7432,300,317,6,625,2,1250,8682
Audubon,855,1874,16,931,3,3679,84,158,3,230,1,476,4155
Benton,3697,6249,87,6174,21,16228,408,441,20,1280,7,2156,18384
Black Hawk,27912,20989,498,23716,133,73248,4587,2043,115,5845,55,12645,85893
Boone,4819,6369,112,5770,24,17094,528,517,27,1443,8,2523,19617
Bremer,3921,5679,69,6114,17,15800,472,428,11,1155,3,2069,17869
Buchanan,3232,3972,55,4949,7,12215,299,259,11,1174,4,1747,13962
Buena Vista,2477,4086,54,3013,21,9651,661,484,13,1093,5,2256,11907
Butler,1688,4591,46,2646,11,8982,164,302,9,655,2,1132,10114
Calhoun,1102,2805,36,1986,3,5932,124,187,7,393,3,714,6646
Carroll,2982,5217,77,4633,13,12922,360,398,15,986,4,1763,14685
Cass,1377,4459,35,2311,10,8192,183,425,14,638,3,1263,9455
Cedar,3044,4464,75,3872,18,11473,283,310,12,742,7,1354,12827
Cerro Gordo,8007,8606,116,9678,46,26453,1057,802,31,2418,18,4326,30779
Cherokee,1153,4063,23,1809,5,7053,174,283,7,551,2,1017,8070
Chickasaw,1961,2773,29,2375,6,7144,200,178,8,636,3,1025,8169
Clarke,1246,2290,26,1613,11,5186,179,214,7,490,5,895,6081
Clay,1836,5378,67,2775,13,10069,266,457,15,793,5,1536,11605
Clayton,2801,4293,54,3660,18,10826,258,319,10,672,3,1262,12088
Clinton,8349,9255,137,10353,45,28139,1337,868,43,2861,17,5126,33265
Crawford,1964,3557,41,2728,10,8300,423,340,11,781,9,1564,9864
Dallas,18475,22576,447,22520,64,64082,2129,2158,110,4280,25,8702,72784
Davis,1146,2209,18,1119,5,4497,133,192,5,272,5,607,5104
Decatur,983,1976,20,1166,6,4151,230,177,10,281,3,701,4852
Delaware,2252,4727,44,4076,10,11109,243,254,6,584,5,1092,12201
Des Moines,8156,7309,151,7080,38,22734,1582,868,42,2225,12,4729,27463
Dickinson,2429,6446,84,3686,12,12657,323,549,16,805,5,1698,14355
Dubuque,23373,18898,414,18106,99,60890,2948,1745,105,3883,34,8715,69605
Emmet,1333,2109,31,1972,8,5453,218,208,5,615,0,1046,6499
Fayette,2914,4414,42,3586,18,10974,355,322,15,734,7,1433,12407
Floyd,2413,3008,45,3610,10,9086,394,248,13,938,4,1597,10683
Franklin,1085,2916,28,1697,8,5734,139,225,6,448,1,819,6553
Fremont,807,2555,22,928,9,4321,138,247,7,267,3,662,4983
Greene,1389,2475,38,1679,11,5592,176,217,5,429,1,828,6420
Grundy,1466,4250,37,2362,8,8123,156,269,10,493,0,928,9051
Guthrie,1525,3345,48,2380,4,7302,167,225,5,537,0,934,8236
Hamilton,2041,4150,46,2581,10,8828,253,312,11,639,3,1218,10046
Hancock,1271,3599,27,1864,11,6772,164,264,5,505,4,942,7714
Hardin,2240,4871,46,2739,13,9909,333,457,13,817,3,1623,11532
Harrison,1731,4615,62,2116,13,8537,120,217,6,220,5,568,9105
Henry,2345,5115,68,3662,15,11205,382,484,24,1183,7,2080,13285
Howard,1416,1760,28,2280,2,5486,135,126,6,455,4,726,6212
Humboldt,1017,2853,29,2005,5,5909,107,212,5,391,2,717,6626
Ida,662,2261,8,1310,5,4246,87,178,3,335,0,603,4849
Iowa,2407,4699,56,3807,11,10980,265,303,18,763,6,1355,12335
Jackson,4099,4274,44,4116,13,12546,473,306,5,1193,2,1979,14525
Jasper,6862,8591,118,7442,25,23038,907,666,27,1819,8,3427,26465
Jefferson,3768,3443,64,2399,23,9697,611,330,12,710,11,1674,11371
Johnson,46957,16619,570,28084,189,92419,7354,2512,160,6618,59,16703,109122
Jones,2848,4740,59,4623,7,12277,288,325,9,1053,4,1679,13956
Keokuk,1337,2761,22,1721,6,5847,198,227,3,425,1,854,6701
Kossuth,2206,4557,39,3039,5,9846,184,252,9,596,3,1044,10890
Lee,6794,5763,119,6021,26,18723,1071,601,39,1912,11,3634,22357
Linn,52878,38614,1147,45538,284,138461,6959,4098,270,9663,104,21094,159555
Louisa,1415,2655,24,1991,5,6090,258,220,7,649,2,1136,7226
Lucas,1013,2611,23,1583,5,5235,137,224,5,394,2,762,5997
Lyon,692,5992,11,1091,3,7789,116,402,4,303,1,826,8615
Madison,2445,4890,79,3437,10,10861,249,377,11,644,6,1287,12148
Mahaska,2148,6974,103,3280,9,12514,392,554,18,1060,6,2030,14544
Marion,4532,10453,131,6391,25,21532,579,806,19,1374,9,2787,24319
Marshall,6563,7535,121,6141,26,20386,1027,699,29,1980,17,3752,24138
Mills,1790,5366,104,2275,21,9556,296,615,28,739,7,1685,11241
Mitchell,1481,2715,27,2155,7,6385,159,196,10,439,4,808,7193
Monona,1287,2508,32,1529,7,5363,37,68,3,48,1,157,5520
Monroe,1037,2158,16,1414,2,4627,135,163,8,256,2,564,5191
Montgomery,1034,3384,38,1555,10,6021,187,394,9,611,6,1207,7228
Muscatine,6939,8231,150,7951,60,23331,1448,999,51,2682,19,5199,28530
O'Brien,1069,5533,43,1700,13,8358,206,452,17,537,1,1213,9571
Osceola,365,2442,9,813,3,3632,68,202,3,266,3,542,4174
Page,1404,5204,51,2076,11,8746,257,487,14,685,4,1447,10193
Palo Alto,1595,2318,16,1653,8,5590,151,126,7,365,2,651,6241
Plymouth,2630,8646,84,4408,19,15787,398,720,16,1022,8,2164,17951
Pocahontas,735,2211,27,1262,6,4241,135,192,7,364,4,702,4943
Polk,118117,81695,2375,83858,521,286566,15825,8130,538,17176,173,41842,328408
Pottawattamie,14205,22210,498,15179,141,52233,2910,2810,175,5243,73,11211,63444
Poweshiek,3581,3866,62,4154,13,11676,1009,352,13,1010,3,2387,14063
Ringgold,495,1919,8,511,5,2938,61,118,3,139,0,321,3259
Sac,987,3542,19,1749,7,6304,113,233,2,467,2,817,7121
Scott,34022,31716,725,37165,193,103821,6876,4068,235,11889,81,23149,126970
Shelby,1513,4077,36,2083,6,7715,158,274,9,363,4,808,8523
Sioux,1783,15482,58,3692,21,21036,289,981,20,796,5,2091,23127
Story,19972,15696,514,19163,134,55479,4510,2940,223,6068,48,13789,69268
Tama,2711,3746,49,3494,18,10018,318,257,8,846,0,1429,11447
Taylor,555,2013,23,905,5,3501,71,155,7,246,1,480,3981
Union,1400,3238,36,2379,5,7058,199,239,13,719,2,1172,8230
Van Buren,709,2275,23,1225,8,4240,102,210,2,332,3,649,4889
Wapello,5849,6109,94,5466,32,17550,1156,670,23,1709,17,3575,21125
Warren,9901,13613,244,10938,44,34740,1022,1111,66,1984,12,4195,38935
Washington,3012,6097,88,4172,17,13386,355,529,21,1031,5,1941,15327
Wayne,645,1857,16,935,3,3456,86,130,3,174,1,394,3850
Webster,6005,7746,125,6574,33,20483,1083,811,36,2161,22,4113,24596
Winnebago,1481,3042,37,2253,3,6816,223,199,9,596,3,1030,7846
Winneshiek,4207,4590,46,4318,11,13172,551,256,11,750,13,1581,14753
Woodbury,15126,20826,319,15341,106,51718,3386,2599,90,5379,32,11486,63204
Worth,1176,2025,22,1674,5,4902,113,130,4,340,0,587,5489
Wright,1468,3288,25,2100,4,6885,214,274,4,484,6,982,7867
Totals,"591,030","686,894","12,310","591,530","3,016","1,884,780","88,817","65,455","3,175","147,086","1,123","305,656","2,190,436"
