County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,039","1,905","2,020",8,"4,972",69,66,162,0,297,"5,269"
Adams,608,962,"1,166",3,"2,739",31,30,100,0,161,"2,900"
Allamakee,"2,135","4,194","3,185",11,"9,525",102,123,193,0,418,"9,943"
Appanoose,"2,441","2,802","2,996",7,"8,246",218,180,371,0,769,"9,015"
Audubon,"1,230","1,534","1,390",8,"4,162",42,55,109,0,206,"4,368"
Benton,"4,297","4,972","7,469",33,"16,771",278,202,582,3,"1,065","17,836"
Black Hawk,"28,610","20,275","31,429",322,"80,636","1,760","1,017","2,247",31,"5,055","85,691"
Boone,"5,136","5,451","7,011",49,"17,647",234,265,500,2,"1,001","18,648"
Bremer,"3,613","4,960","7,442",37,"16,052",200,199,486,4,889,"16,941"
Buchanan,"3,666","3,074","6,404",16,"13,160",193,128,431,0,752,"13,912"
Buena Vista,"2,871","3,988","4,700",19,"11,578",126,152,198,1,477,"12,055"
Butler,"1,678","4,468","3,460",12,"9,618",81,94,182,0,357,"9,975"
Calhoun,"1,339","2,354","2,636",14,"6,343",85,94,208,3,390,"6,733"
Carroll,"3,897","3,874","6,125",46,"13,942",203,204,564,3,974,"14,916"
Cass,"1,523","4,698","2,999",12,"9,232",107,223,303,0,633,"9,865"
Cedar,"3,082","3,658","4,627",28,"11,395",160,133,293,2,588,"11,983"
Cerro Gordo,"8,992","7,889","12,424",47,"29,352",567,391,"1,074",2,"2,034","31,386"
Cherokee,"1,830","3,156","3,004",17,"8,007",142,169,360,2,673,"8,680"
Chickasaw,"2,654","2,184","3,545",12,"8,395",143,112,290,1,546,"8,941"
Clarke,"1,509","1,773","2,214",10,"5,506",113,124,258,1,496,"6,002"
Clay,"2,349","4,456","4,191",13,"11,009",239,257,450,0,946,"11,955"
Clayton,"3,309","3,293","4,777",23,"11,402",128,114,236,2,480,"11,882"
Clinton,"10,047","7,208","13,119",46,"30,420","1,222",535,"1,721",6,"3,484","33,904"
Crawford,"2,583","3,122","3,441",7,"9,153",124,94,228,0,446,"9,599"
Dallas,"10,212","16,852","19,172",139,"46,375",969,"1,483","2,297",11,"4,760","51,135"
