County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,022","1,888","2,079",9,"4,998",66,66,155,0,287,"5,285"
Adams,595,947,"1,198",4,"2,744",28,30,103,0,161,"2,905"
Allamakee,"2,077","4,090","3,238",13,"9,418",121,122,250,0,493,"9,911"
Appanoose,"2,366","2,795","3,016",11,"8,188",212,181,389,1,783,"8,971"
Audubon,"1,195","1,526","1,456",11,"4,188",39,51,100,0,190,"4,378"
Benton,"4,190","5,005","7,627",47,"16,869",265,178,587,3,"1,033","17,902"
Black Hawk,"28,288","20,318","31,684",430,"80,720","1,903",971,"2,409",35,"5,318","86,038"
Boone,"5,000","5,484","7,213",59,"17,756",253,271,590,3,"1,117","18,873"
Bremer,"3,552","4,973","7,723",45,"16,293",192,177,449,4,822,"17,115"
Buchanan,"3,550","3,079","6,601",16,"13,246",171,129,436,1,737,"13,983"
Buena Vista,"2,874","3,974","4,712",23,"11,583",168,175,248,2,593,"12,176"
Butler,"1,645","4,394","3,622",12,"9,673",85,97,188,0,370,"10,043"
Calhoun,"1,280","2,341","2,668",12,"6,301",94,97,227,4,422,"6,723"
Carroll,"3,795","3,907","6,276",48,"14,026",202,198,525,4,929,"14,955"
Cass,"1,487","4,655","3,094",12,"9,248",108,226,322,0,656,"9,904"
Cedar,"3,022","3,690","4,726",31,"11,469",168,130,289,2,589,"12,058"
Cerro Gordo,"8,755","7,883","12,757",52,"29,447",592,392,"1,132",4,"2,120","31,567"
Cherokee,"1,751","3,138","3,058",19,"7,966",139,168,376,2,685,"8,651"
Chickasaw,"2,602","2,202","3,663",18,"8,485",130,106,289,1,526,"9,011"
Clarke,"1,498","1,775","2,244",9,"5,526",103,116,265,1,485,"6,011"
Clay,"2,294","4,441","4,279",22,"11,036",239,257,475,0,971,"12,007"
Clayton,"3,266","3,311","4,884",32,"11,493",135,113,264,2,514,"12,007"
Clinton,"9,834","7,186","13,586",71,"30,677","1,015",376,"1,390",7,"2,788","33,465"
Crawford,"2,522","3,132","3,605",8,"9,267",141,101,250,0,492,"9,759"
Dallas,"10,607","17,658","20,950",195,"49,410",877,"1,317","2,100",11,"4,305","53,715"
Davis,"1,743","1,543","1,481",4,"4,771",110,68,174,1,353,"5,124"
Decatur,"1,432","1,585","1,487",12,"4,516",64,44,77,0,185,"4,701"
Delaware,"2,457","3,758","5,047",11,"11,273",79,104,193,0,376,"11,649"
Des Moines,"10,660","6,075","8,998",74,"25,807",770,395,930,6,"2,101","27,908"
Dickinson,"2,353","5,185","4,723",32,"12,293",134,202,285,3,624,"12,917"
Dubuque,"24,268","15,129","22,962",237,"62,596","1,644",894,"2,016",23,"4,577","67,173"
Emmet,"1,829","1,643","2,870",8,"6,350",233,166,524,0,923,"7,273"
Fayette,"3,423","3,892","4,242",38,"11,595",187,116,291,5,599,"12,194"
Floyd,"3,044","2,597","4,819",14,"10,474",161,99,316,3,579,"11,053"
Franklin,"1,212","3,001","2,344",7,"6,564",57,64,166,2,289,"6,853"
Fremont,"1,092","1,975","1,638",10,"4,715",153,209,315,1,678,"5,393"
Greene,"1,781","2,076","2,350",14,"6,221",100,122,244,1,467,"6,688"
Grundy,"1,358","3,968","3,159",19,"8,504",66,117,222,3,408,"8,912"
Guthrie,"1,686","2,653","3,024",25,"7,388",103,136,286,0,525,"7,913"
Hamilton,"2,437","3,445","3,887",31,"9,800",135,163,278,1,577,"10,377"
Hancock,"1,461","3,204","2,890",8,"7,563",111,113,284,1,509,"8,072"
Hardin,"2,477","4,554","3,971",19,"11,021",230,211,404,3,848,"11,869"
Harrison,"2,035","3,522","2,362",30,"7,949",36,48,55,1,140,"8,089"
Henry,"2,647","4,994","4,995",25,"12,661",378,318,688,2,"1,386","14,047"
Howard,"1,698","1,372","2,728",4,"5,802",102,81,275,0,458,"6,260"
Humboldt,"1,208","2,582","2,449",6,"6,245",83,86,191,0,360,"6,605"
Ida,814,"2,167","1,808",14,"4,803",51,102,192,0,345,"5,148"
Iowa,"2,586","3,850","5,050",35,"11,521",145,195,361,3,704,"12,225"
Jackson,"5,145","2,799","5,835",22,"13,801",276,152,521,3,952,"14,753"
Jasper,"7,972","7,171","9,032",45,"24,220",461,357,802,3,"1,623","25,843"
Jefferson,"3,492","3,301","3,316",73,"10,182",262,172,416,13,863,"11,045"
Johnson,"37,684","17,614","30,977",643,"86,918","6,020","2,891","6,850",121,"15,882","102,800"
Jones,"3,161","3,634","6,090",20,"12,905",116,114,335,1,566,"13,471"
Keokuk,"1,951","2,259","2,336",9,"6,555",149,97,274,2,522,"7,077"
Kossuth,"3,153","3,344","4,386",14,"10,897",79,90,201,1,371,"11,268"
Lee,"9,108","4,022","8,358",57,"21,545",721,320,"1,071",4,"2,116","23,661"
Linn,"46,756","37,160","51,941",810,"136,667","4,797","2,586","5,820",76,"13,279","149,946"
Louisa,"1,601","2,314","2,606",11,"6,532",200,139,391,1,731,"7,263"
Lucas,"1,289","2,189","2,009",11,"5,498",72,100,202,1,375,"5,873"
Lyon,834,"5,367","1,737",7,"7,945",88,179,163,0,430,"8,375"
Madison,"2,685","3,970","3,940",22,"10,617",149,207,332,1,689,"11,306"
Mahaska,"2,812","5,885","4,922",52,"13,671",284,250,477,2,"1,013","14,684"
Marion,"5,034","9,085","7,841",58,"22,018",390,547,719,5,"1,661","23,679"
Marshall,"6,805","7,251","9,340",46,"23,442",630,491,"1,034",2,"2,157","25,599"
Mills,"1,956","4,922","3,106",32,"10,016",176,270,387,2,835,"10,851"
Mitchell,"1,676","2,420","2,767",9,"6,872",104,105,174,1,384,"7,256"
Monona,"1,846","1,884","2,366",9,"6,105",117,122,222,0,461,"6,566"
Monroe,"1,571","1,504","1,579",5,"4,659",98,70,133,3,304,"4,963"
Montgomery,986,"3,601","2,176",6,"6,769",84,192,246,1,523,"7,292"
Muscatine,"7,469","7,918","10,681",67,"26,135",625,574,"1,189",2,"2,390","28,525"
O'Brien,"1,265","5,301","2,693",18,"9,277",94,211,291,2,598,"9,875"
Osceola,484,"2,474","1,124",5,"4,087",29,98,121,0,248,"4,335"
Page,"1,523","4,281","3,469",17,"9,290",167,246,511,5,929,"10,219"
Palo Alto,"2,143","1,613","2,217",11,"5,984",119,80,211,0,410,"6,394"
Plymouth,"3,078","7,769","5,538",38,"16,423",291,425,590,2,"1,308","17,731"
Pocahontas,"1,036","1,644","2,232",14,"4,926",51,73,169,1,294,"5,220"
Polk,"100,894","81,658","86,943","1,612","271,107","6,618","4,213","6,956",101,"17,888","288,995"
Pottawattamie,"14,940","20,175","19,287",279,"54,681","1,859","1,537","2,786",29,"6,211","60,892"
Poweshiek,"3,759","3,679","5,242",49,"12,729",530,123,459,2,"1,114","13,843"
Ringgold,824,"1,434",788,2,"3,048",44,43,69,0,156,"3,204"
Sac,"1,287","3,037","2,577",6,"6,907",74,118,210,0,402,"7,309"
Scott,"34,682","30,589","46,673",608,"112,552","3,409","2,258","5,183",38,"10,888","123,440"
Shelby,"1,734","3,468","2,545",10,"7,757",55,65,116,1,237,"7,994"
Sioux,"1,642","14,446","4,019",30,"20,137",110,469,393,3,975,"21,112"
Story,"15,955","15,994","21,950",445,"54,344","2,184","1,491","3,297",60,"7,032","61,376"
Tama,"3,067","3,241","4,734",17,"11,059",159,122,373,0,654,"11,713"
Taylor,692,"1,792","1,233",8,"3,725",79,105,235,0,419,"4,144"
Union,"1,631","2,679","3,268",11,"7,589",79,94,233,0,406,"7,995"
Van Buren,986,"2,089","1,616",23,"4,714",67,104,182,0,353,"5,067"
Wapello,"8,427","5,066","7,192",47,"20,732",695,343,843,3,"1,884","22,616"
Warren,"9,320","10,927","11,377",91,"31,715",581,566,"1,016",9,"2,172","33,887"
Washington,"2,892","5,548","5,465",51,"13,956",159,202,408,2,771,"14,727"
Wayne,914,"1,343","1,193",3,"3,453",57,80,85,0,222,"3,675"
Webster,"8,106","6,440","8,693",66,"23,305",661,437,"1,050",6,"2,154","25,459"
Winnebago,"1,440","2,807","2,849",9,"7,105",154,127,284,0,565,"7,670"
Winneshiek,"3,515","4,257","5,366",28,"13,166",200,110,292,0,602,"13,768"
Woodbury,"17,599","18,726","19,512",177,"56,014","1,586","1,122","2,071",19,"4,798","60,812"
Worth,"1,427","1,712","2,091",5,"5,235",118,76,252,2,448,"5,683"
Wright,"1,819","3,398","2,642",13,"7,872",147,215,297,1,660,"8,532"
Totals,"586,835","615,763","727,112","7,607","1,937,317","48,852","35,276","73,517",677,"158,322","2,095,639"
