County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Sac,711,2713,10,979,3,4416,381,1055,11,1240,6,2693,7109
Scott,25434,26207,416,23777,96,75930,15182,9447,539,25554,178,50900,126830
Shelby,1063,3237,26,1180,4,5510,604,1137,22,1309,6,3078,8588
Sioux,1224,13036,28,2171,7,16466,835,3399,50,2359,18,6661,23127
Story,15967,12764,333,12859,74,41997,8369,5817,410,12471,114,27181,69178
Tama,2077,3208,32,2273,12,7602,932,767,24,2074,6,3803,11405
Taylor,431,1660,12,573,1,2677,189,491,18,577,4,1279,3956
Union,1108,2730,18,1475,2,5333,478,725,30,1636,5,2874,8207
Van Buren,563,1898,13,762,6,3242,239,567,10,807,5,1628,4870
Wapello,4292,4881,52,3189,12,12426,2647,1884,66,4026,37,8660,21086
Warren,8120,11321,168,7414,27,27050,2739,3358,148,5538,29,11812,38862
Washington,2463,5132,49,2667,11,10322,894,1477,60,2533,11,4975,15297
Wayne,496,1576,9,625,2,2708,231,401,9,482,2,1125,3833
Webster,4488,6261,73,3938,11,14771,2527,2286,88,4855,44,9800,24571
Winnebago,1162,2592,21,1402,3,5180,532,641,25,1464,3,2665,7845
Winneshiek,3559,3991,30,3132,5,10717,1165,839,27,1954,19,4004,14721
Woodbury,9799,16197,159,8039,40,34234,8600,7113,247,12813,100,28873,63107
Worth,921,1703,15,1023,3,3665,359,452,10,1002,2,1825,5490
Wright,1071,2733,13,1322,2,5141,590,813,16,1279,8,2706,7847
Totals,"461,184","567,110","7,543","382,820","1,544","1,420,201","214,500","182,673","8,004","359,715","2,623","767,515","2,187,716"
