County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Sac,783,2948,9,1156,3,4899,290,778,10,1083,6,2167,7066
Scott,26018,27145,474,26706,110,80453,14100,8475,510,23958,165,47208,127661
Shelby,1153,3482,31,1398,4,6068,473,865,19,1121,6,2484,8552
Sioux,1266,13450,30,2495,7,17248,772,2991,48,2173,16,6000,23248
Story,16158,13152,355,14067,78,43810,8023,5478,396,11892,110,25899,69709
Tama,2085,3244,33,2453,12,7827,876,709,23,1972,6,3586,11413
Taylor,429,1701,11,604,1,2746,176,449,17,551,4,1197,3943
Union,1099,2766,22,1677,2,5566,441,664,29,1526,5,2665,8231
Van Buren,562,1938,12,852,6,3370,215,520,10,767,5,1517,4887
Wapello,4339,5049,58,3579,13,13038,2508,1741,65,3826,35,8175,21213
Warren,8325,11796,176,8262,30,28589,2500,3037,137,5159,29,10862,39451
Washington,2487,5214,51,2888,12,10652,834,1367,59,2363,10,4633,15285
Wayne,498,1602,10,670,2,2782,219,371,8,456,2,1056,3838
Webster,4575,6562,86,4433,19,15675,2332,2095,86,4567,40,9120,24795
Winnebago,1148,2622,22,1549,2,5343,502,599,23,1393,3,2520,7863
Winneshiek,3645,4144,34,3520,7,11350,1049,645,27,1652,15,3388,14738
Woodbury,10023,16712,187,9266,51,36239,8010,6491,226,12057,87,26871,63110
Worth,955,1753,16,1155,3,3882,301,389,10,885,2,1587,5469
Wright,1101,2839,15,1472,2,5429,522,710,16,1182,7,2437,7866
Totals,"468,773","585,418","8,307","426,224","1,739","1,490,461","198,098","164,302","7,480","335,027","2,461","707,368","2,197,829"
