County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Sac,710,2711,8,988,3,4420,376,1045,11,1231,6,2669,7089
Scott,25817,26813,447,25779,103,78959,14322,8656,518,24311,169,47976,126935
Shelby,1149,3464,29,1377,4,6023,489,909,20,1139,6,2563,8586
Sioux,1255,13340,29,2404,7,17035,784,3052,48,2213,16,6113,23148
Story,16118,13037,342,13724,81,43302,8117,5557,402,12032,110,26218,69520
Tama,2080,3224,33,2369,12,7718,894,721,23,2000,6,3644,11362
Taylor,432,1689,11,598,1,2731,179,456,17,555,4,1211,3942
Union,1101,2764,20,1617,2,5504,455,677,29,1552,5,2718,8222
Van Buren,568,1917,13,827,6,3331,219,534,10,775,5,1543,4874
Wapello,4325,4988,57,3455,12,12837,2548,1790,65,3895,35,8333,21170
Warren,8245,11618,169,7988,27,28047,2566,3126,139,5241,29,11101,39148
Washington,2479,5193,53,2836,12,10573,845,1391,59,2402,11,4708,15281
Wayne,496,1590,9,652,2,2749,223,380,9,465,2,1079,3828
Webster,4531,6469,74,4267,17,15358,2392,2139,89,4646,41,9307,24665
Winnebago,1156,2625,22,1500,2,5305,509,613,24,1412,3,2561,7866
Winneshiek,3639,4129,32,3471,6,11277,1065,658,27,1674,16,3440,14717
Woodbury,10003,16568,167,8858,47,35643,8128,6598,229,12211,91,27257,62900
Worth,955,1747,15,1113,3,3833,310,400,10,919,2,1641,5474
Wright,1096,2805,13,1413,2,5329,543,748,16,1215,8,2530,7859
Totals,"467,444","580,210","7,988","413,041","1,663","1,470,346","202,378","168,388","7,640","340,796","2,512","721,714","2,192,060"
