County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Shelby,"1,711","3,456","2,498",9,"7,674",61,64,127,1,253,"7,927"
Sioux,"1,599","14,300","3,894",29,"19,822",114,486,408,3,"1,011","20,833"
Story,"15,468","15,814","21,822",413,"53,517","2,264","1,562","3,442",65,"7,333","60,850"
Tama,"3,093","3,217","4,638",16,"10,964",161,131,384,0,676,"11,640"
Taylor,692,"1,786","1,222",7,"3,707",80,108,242,0,430,"4,137"
Union,"1,632","2,686","3,186",13,"7,517",82,98,240,0,420,"7,937"
Van Buren,969,"2,082","1,556",19,"4,626",68,108,194,0,370,"4,996"
Wapello,"8,508","4,955","7,029",41,"20,533",717,350,869,3,"1,939","22,472"
Warren,"9,212","10,653","11,119",85,"31,069",606,596,"1,067",8,"2,277","33,346"
Washington,"2,862","5,559","5,314",52,"13,787",163,210,421,2,796,"14,583"
Wayne,928,"1,324","1,156",3,"3,411",57,81,88,0,226,"3,637"
Webster,"8,141","6,366","8,481",60,"23,048",678,451,"1,072",6,"2,207","25,255"
Winnebago,"1,475","2,822","2,854",8,"7,159",129,119,252,0,500,"7,659"
Winneshiek,"3,456","4,249","5,315",26,"13,046",208,114,299,0,621,"13,667"
Woodbury,"17,583","18,535","19,117",168,"55,403","1,631","1,163","2,120",20,"4,934","60,337"
Worth,"1,428","1,695","2,051",5,"5,179",122,78,261,2,463,"5,642"
Wright,"1,844","3,405","2,614",12,"7,875",152,223,304,1,680,"8,555"
Totals,"583,621","609,509","713,828","7,043","1,914,001","49,576","36,207","75,079",664,"161,526","2,075,527"
