County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Mitchell,"1,605","2,501",13,"2,708",5,"6,832",77,79,1,176,0,333,"7,165"
Monona,"1,617","2,076",21,"2,188",8,"5,910",71,84,2,137,1,295,"6,205"
Monroe,"1,433","1,723",13,"1,534",0,"4,703",76,81,1,131,1,290,"4,993"
Montgomery,"1,083","3,531",18,"2,237",6,"6,875",70,160,3,217,1,451,"7,326"
Muscatine,"7,849","7,895",117,"10,368",42,"26,271",612,456,10,"1,093",2,"2,173","28,444"
O'Brien,"1,138","5,701",29,"2,368",8,"9,244",102,189,5,226,1,523,"9,767"
Osceola,450,"2,478",8,"1,098",5,"4,039",23,70,0,86,1,180,"4,219"
Page,"1,508","4,924",30,"2,888",10,"9,360",136,247,7,362,0,752,"10,112"
Palo Alto,"1,879","1,860",18,"2,277",6,"6,040",84,48,0,142,0,274,"6,314"
Plymouth,"3,017","8,359",66,"5,320",24,"16,786",157,327,5,351,0,840,"17,626"
Pocahontas,944,"1,966",23,"1,827",3,"4,763",73,68,3,182,0,326,"5,089"
Polk,"114,853","81,455","2,399","85,447",480,"284,634","7,689","4,947",205,"7,759",56,"20,656","305,290"
Pottawattamie,"15,173","20,883",464,"19,480",117,"56,117","2,478","2,198",61,"3,805",22,"8,564","64,681"
Poweshiek,"4,120","3,738",53,"4,838",9,"12,758",706,160,7,685,4,"1,562","14,320"
Ringgold,836,"1,454",7,723,0,"3,020",45,67,0,69,0,181,"3,201"
Sac,"1,234","3,222",20,"2,317",7,"6,800",69,96,0,203,0,368,"7,168"
Scott,"35,445","31,085",698,"46,380",167,"113,775","3,913","2,690",93,"5,719",28,"12,443","126,218"
Shelby,"1,733","3,550",22,"2,610",2,"7,917",75,116,5,163,0,359,"8,276"
Sioux,"1,739","15,375",50,"4,039",16,"21,219",126,472,6,329,3,936,"22,155"
Story,"19,525","17,334",617,"22,228",144,"59,848","2,506","1,768",94,"3,613",31,"8,012","67,860"
Tama,"2,999","3,329",38,"4,721",8,"11,095",153,96,1,351,0,601,"11,696"
Taylor,671,"1,843",18,"1,198",0,"3,730",33,63,1,88,0,185,"3,915"
Union,"1,664","2,699",27,"3,169",5,"7,564",106,147,1,345,1,600,"8,164"
Van Buren,939,"2,030",21,"1,660",8,"4,658",54,69,4,130,0,257,"4,915"
Wapello,"8,006","5,266",71,"6,683",31,"20,057",606,335,7,914,0,"1,862","21,919"
Warren,"9,799","11,442",186,"11,569",25,"33,021",552,633,15,"1,004",4,"2,208","35,229"
Washington,"3,096","5,812",86,"5,095",22,"14,111",168,252,6,446,1,873,"14,984"
Wayne,898,"1,418",15,"1,167",1,"3,499",35,64,1,72,1,173,"3,672"
Webster,"7,664","7,079",109,"9,156",43,"24,051",481,293,3,807,3,"1,587","25,638"
Winnebago,"1,480","2,757",29,"2,976",6,"7,248",152,135,1,322,0,610,"7,858"
Winneshiek,"4,099","4,304",36,"5,308",20,"13,767",304,150,4,495,4,957,"14,724"
Woodbury,"17,631","19,768",306,"19,033",67,"56,805","1,620","1,292",29,"2,184",11,"5,136","61,941"
Worth,"1,333","1,886",12,"2,018",1,"5,250",118,98,2,250,0,468,"5,718"
Wright,"1,744","3,448",29,"2,532",7,"7,760",122,153,2,240,1,518,"8,278"
Totals,"618,914","643,355","11,483","704,938","2,681","1,981,371","49,962","37,708","1,127","74,161",385,"163,343","2,144,714"
