County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Palo Alto,"2,312","1,533","2,171",5,"6,021",179,110,308,0,597,"6,618"
Plymouth,"3,115","7,589","5,520",23,"16,247",323,470,669,3,"1,465","17,712"
Pocahontas,"1,078","1,642","2,242",15,"4,977",105,119,329,0,553,"5,530"
Polk,"101,444","79,398","81,622",876,"263,340","6,152","4,093","6,542",66,"16,853","280,193"
Pottawattamie,"15,587","20,448","18,914",147,"55,096","2,113","1,584","2,864",18,"6,579","61,675"
Poweshiek,"3,570","3,552","5,148",25,"12,295","1,225",167,696,5,"2,093","14,388"
Ringgold,890,"1,425",759,1,"3,075",32,40,63,0,135,"3,210"
Sac,"1,308","3,016","2,568",4,"6,896",140,196,408,0,744,"7,640"
Scott,"34,943","29,662","45,291",244,"110,140","5,070","3,021","7,700",27,"15,818","125,958"
Shelby,"1,826","3,524","2,558",7,"7,915",278,254,629,0,"1,161","9,076"
Sioux,"1,629","14,359","3,906",19,"19,913",137,536,412,2,"1,087","21,000"
Story,"15,834","15,365","20,775",263,"52,237","3,490","2,415","5,222",87,"11,214","63,451"
Tama,"3,243","3,264","4,609",10,"11,126",254,179,606,0,"1,039","12,165"
Taylor,738,"1,829","1,211",5,"3,783",96,128,275,2,501,"4,284"
Union,"1,708","2,736","3,118",10,"7,572",92,101,230,0,423,"7,995"
Van Buren,"1,009","2,057","1,587",9,"4,662",86,149,233,0,468,"5,130"
Wapello,"8,949","4,976","7,007",29,"20,961",792,405,904,4,"2,105","23,066"
Warren,"9,493","10,457","10,894",43,"30,887",693,667,"1,142",6,"2,508","33,395"
Washington,"2,890","5,543","5,174",37,"13,644",230,278,525,4,"1,037","14,681"
Wayne,975,"1,319","1,147",3,"3,444",98,98,155,0,351,"3,795"
Webster,"8,315","6,345","8,488",28,"23,176",785,545,"1,187",5,"2,522","25,698"
Winnebago,"1,503","2,918","2,738",5,"7,164",160,155,350,0,665,"7,829"
Winneshiek,"3,499","4,364","5,152",18,"13,033",849,312,914,7,"2,082","15,115"
Woodbury,"18,265","18,550","18,681",116,"55,612","1,999","1,437","2,522",12,"5,970","61,582"
Worth,"1,472","1,701","1,984",2,"5,159",139,95,258,1,493,"5,652"
Wright,"1,937","3,460","2,699",9,"8,105",148,205,330,0,683,"8,788"
Totals,"601,878","605,454","705,198","4,253","1,916,783","63,347","45,005","95,145",536,"204,033","2,120,816"
