County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Shelby,1293,4117,42,1862,8,7322,258,458,19,679,3,1417,8739
Sioux,1528,15545,65,3752,18,20908,450,1472,29,1318,5,3274,24182
Story,17809,16667,483,20977,130,56066,5821,3682,274,8288,84,18149,74215
Tama,2253,4184,45,3016,15,9513,461,389,13,1195,4,2062,11575
Taylor,472,2091,25,820,4,3412,103,246,14,334,2,699,4111
Union,1209,3324,39,2273,4,6849,274,333,20,933,4,1564,8413
Van Buren,567,2397,25,1107,8,4104,129,263,8,462,2,864,4968
Wapello,4971,6420,100,5399,30,16920,1514,954,38,2342,24,4872,21792
Warren,9356,15047,256,11522,48,36229,1360,1435,81,2731,18,5625,41854
Washington,2807,6187,75,3975,17,13061,483,674,37,1458,8,2660,15721
Wayne,516,2111,23,839,2,3491,121,181,4,254,1,561,4052
Webster,4892,8702,138,5771,26,19529,1445,1151,49,2913,24,5582,25111
Winnebago,1280,2973,30,2160,3,6446,319,341,14,928,3,1605,8051
Winneshiek,3874,4772,42,4560,19,13267,809,331,17,1100,11,2268,15535
Woodbury,11710,19597,325,12572,75,44279,6266,4970,176,9873,67,21352,65631
Worth,1027,2195,28,1486,4,4740,176,196,8,499,1,880,5620
Wright,1230,3400,37,1940,8,6615,293,379,8,700,3,1383,7998
Totals,"529,607","720,798","13,032","590,163","2,861","1,856,461","126,138","91,357","4,624","212,117","1,563","435,799","2,292,260"
