County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,891,2129,1560,22,4602,129,211,456,10,806,5408
Adams,489,1097,817,10,2413,52,90,264,0,406,2819
Allamakee,1964,3946,2292,38,8240,303,423,763,12,1501,9741
Appanoose,1722,3247,2237,56,7262,396,381,791,11,1579,8841
Audubon,887,1842,922,17,3668,102,189,286,5,582,4250
Benton,3793,5942,5991,117,15843,499,535,1517,32,2583,18426
Black Hawk,27937,20316,22973,603,71829,5672,2757,7138,211,15778,87607
Boone,4888,6099,5543,124,16654,681,706,1772,47,3206,19860
Bremer,3985,5283,6122,86,15476,605,537,1369,25,2536,18012
Buchanan,3358,3605,4915,58,11936,377,316,1404,15,2112,14048
Buena Vista,2492,3896,2933,72,9393,802,593,1337,20,2752,12145
Butler,1713,4431,2624,56,8824,200,392,763,11,1366,10190
Calhoun,1136,2686,1978,40,5840,167,241,495,16,919,6759
Carroll,3102,4891,4622,87,12702,445,513,1148,20,2126,14828
Cass,1447,4254,2303,47,8051,226,566,756,18,1566,9617
Cedar,3059,4217,3853,84,11213,359,389,878,28,1654,12867
Cerro Gordo,8036,7831,9784,157,25808,1303,1023,3033,49,5408,31216
Cherokee,1223,3943,1783,28,6977,234,365,729,10,1338,8315
Chickasaw,2073,2562,2424,38,7097,264,213,737,11,1225,8322
Clarke,1248,2171,1586,36,5041,241,264,585,18,1108,6149
Clay,1882,5138,2772,81,9873,322,624,1021,20,1987,11860
Clayton,2901,3870,3731,77,10579,346,397,812,17,1572,12151
Clinton,8631,8769,9900,180,27480,1673,963,3493,75,6204,33684
Crawford,1982,3479,2704,58,8223,519,397,923,22,1861,10084
Dallas,17629,21146,20673,496,59944,2604,2790,5150,170,10714,70658
Davis,1277,1999,1108,19,4403,168,226,332,12,738,5141
Decatur,1041,1822,1201,21,4085,288,227,328,15,858,4943
Delaware,2302,4549,3977,48,10876,277,313,732,17,1339,12215
Des Moines,8473,6893,6707,180,22253,1880,1004,2601,60,5545,27798
Dickinson,2491,6133,3634,83,12341,394,703,991,34,2122,14463
Dubuque,23703,18203,17310,480,59696,3728,2307,4940,165,11140,70836
Emmet,1432,1927,1954,35,5348,285,301,776,7,1369,6717
