County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Pottawattamie,"15,314","21,189",384,"19,804",116,"56,807","2,051","1,758",35,"3,121",14,"6,979","63,786"
Poweshiek,"3,965","3,707",43,"4,791",11,"12,517",707,137,8,638,4,"1,494","14,011"
Ringgold,815,"1,527",6,776,0,"3,124",36,35,0,56,0,127,"3,251"
Sac,"1,238","3,116",12,"2,440",5,"6,811",63,96,0,194,0,353,"7,164"
Scott,"35,535","32,019",616,"45,987",185,"114,342","3,111","2,061",63,"4,606",19,"9,860","124,202"
Shelby,"1,719","3,599",20,"2,667",3,"8,008",65,99,2,132,1,299,"8,307"
Sioux,"1,684","15,394",46,"4,003",18,"21,145",110,408,7,280,2,807,"21,952"
Story,"18,865","17,925",542,"22,892",158,"60,382","2,159","1,568",73,"3,227",22,"7,049","67,431"
Tama,"3,020","3,384",27,"4,711",7,"11,149",148,87,1,311,0,547,"11,696"
Taylor,668,"1,875",20,"1,237",0,"3,800",27,50,1,72,0,150,"3,950"
Union,"1,661","2,720",22,"3,264",5,"7,672",77,95,0,257,0,429,"8,101"
Van Buren,952,"2,071",11,"1,601",9,"4,644",48,58,4,110,1,221,"4,865"
Wapello,"8,050","5,409",61,"6,831",37,"20,388",566,261,3,799,1,"1,630","22,018"
Warren,"9,501","11,643",145,"11,716",23,"33,028",436,459,7,801,3,"1,706","34,734"
Washington,"2,924","6,101",68,"4,989",27,"14,109",141,194,4,370,1,710,"14,819"
Wayne,910,"1,438",10,"1,231",2,"3,591",31,49,1,58,0,139,"3,730"
Webster,"7,628","6,806",80,"8,555",44,"23,113",502,317,3,840,1,"1,663","24,776"
Winnebago,"1,480","2,810",19,"2,922",7,"7,238",140,116,1,278,0,535,"7,773"
Winneshiek,"3,935","4,400",28,"5,212",21,"13,596",279,135,3,449,3,869,"14,465"
Woodbury,"17,517","20,178",214,"19,018",79,"57,006","1,464","1,113",21,"1,947",8,"4,553","61,559"
Worth,"1,323","1,955",5,"2,023",1,"5,307",105,79,2,219,0,405,"5,712"
Wright,"1,813","3,405",22,"2,620",8,"7,868",98,109,2,209,1,419,"8,287"
Totals,"607,400","654,382","9,256","707,260","2,907","1,981,205","42,765","30,553",775,"63,523",268,"137,884","2,119,089"
