County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Plymouth,"3,052","7,649","5,431",34,"16,166",296,443,616,3,"1,358","17,524"
Pocahontas,"1,032","1,641","2,194",14,"4,881",55,75,179,1,310,"5,191"
Polk,"100,702","81,020","85,252","1,504","268,478","5,787","3,939","6,328",83,"16,137","284,615"
Pottawattamie,"14,745","19,906","18,618",227,"53,496","1,947","1,622","2,907",31,"6,507","60,003"
Poweshiek,"3,528","3,626","5,222",47,"12,423",544,126,486,2,"1,158","13,581"
Ringgold,822,"1,426",741,2,"2,991",46,50,71,0,167,"3,158"
Sac,"1,275","3,052","2,527",6,"6,860",80,120,215,0,415,"7,275"
Scott,"34,193","30,216","45,588",538,"110,535","3,441","2,288","5,208",37,"10,974","121,509"
Shelby,"1,719","3,482","2,525",9,"7,735",62,60,122,1,245,"7,980"
Sioux,"1,599","14,280","3,866",28,"19,773",115,491,412,3,"1,021","20,794"
Story,"15,386","15,786","21,749",400,"53,321","2,272","1,568","3,450",64,"7,354","60,675"
Tama,"3,089","3,224","4,615",16,"10,944",162,131,386,0,679,"11,623"
Taylor,695,"1,785","1,216",7,"3,703",80,111,241,0,432,"4,135"
Union,"1,628","2,683","3,167",13,"7,491",82,98,243,0,423,"7,914"
Van Buren,968,"2,079","1,551",20,"4,618",71,108,193,0,372,"4,990"
Wapello,"8,519","4,946","7,002",40,"20,507",722,354,875,3,"1,954","22,461"
Warren,"9,216","10,659","11,076",82,"31,033",611,597,"1,076",8,"2,292","33,325"
Washington,"2,861","5,551","5,274",51,"13,737",162,210,424,2,798,"14,535"
Wayne,935,"1,320","1,148",3,"3,406",57,81,89,0,227,"3,633"
Webster,"8,143","6,358","8,449",59,"23,009",681,452,"1,079",6,"2,218","25,227"
Winnebago,"1,475","2,825","2,838",8,"7,146",129,120,252,0,501,"7,647"
Winneshiek,"3,456","4,246","5,292",25,"13,019",208,115,300,0,623,"13,642"
Woodbury,"17,614","18,526","19,012",169,"55,321","1,633","1,177","2,124",20,"4,954","60,275"
Worth,"1,429","1,692","2,043",4,"5,168",122,78,263,2,465,"5,633"
Wright,"1,845","3,408","2,615",12,"7,880",152,225,305,1,683,"8,563"
Totals,"584,404","609,427","711,472","6,892","1,912,195","48,828","35,866","74,421",647,"159,762","2,071,957"
