County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,1036,2255,1889,27,5207,24,61,96,3,184,5391
Adams,544,1148,974,13,2679,21,23,73,1,118,2797
Allamakee,2257,4277,2839,46,9419,70,95,148,3,316,9735
Appanoose,2112,3470,2678,56,8316,89,99,168,3,359,8675
Audubon,1000,2001,1126,17,4144,20,39,64,1,124,4268
Benton,4298,6326,6914,135,17673,106,135,268,8,517,18190
Black Hawk,33156,22620,27059,757,83592,1380,858,1597,57,3892,87484
Boone,5575,6613,6475,160,18823,177,209,437,15,838,19661
Bremer,4564,5726,6954,102,17346,130,138,291,7,566,17912
Buchanan,3767,3859,5856,65,13547,78,78,233,5,394,13941
Buena Vista,3127,4294,3999,83,11503,158,148,224,2,532,12035
Butler,1929,4780,3143,55,9907,47,89,133,2,271,10178
Calhoun,1305,2873,2334,46,6558,40,56,73,5,174,6732
Carroll,3627,5177,5455,93,14352,87,107,149,4,347,14699
Cass,1665,4743,2773,61,9242,48,125,135,1,309,9551
Cedar,3436,4581,4483,103,12603,92,101,180,10,383,12986
Cerro Gordo,9277,8545,11746,198,29766,305,326,737,10,1378,31144
Cherokee,1427,4266,2218,33,7944,92,109,202,2,405,8349
Chickasaw,2362,2752,2979,45,8138,58,47,115,2,222,8360
Clarke,1497,2392,1993,53,5935,43,72,115,2,232,6167
Clay,2166,5589,3407,79,11241,81,186,232,7,506,11747
Clayton,3254,4126,4278,76,11734,84,85,123,2,294,12028
Clinton,10170,9465,12011,225,31871,458,303,823,10,1594,33465
Crawford,2490,3782,3331,62,9665,80,78,169,3,330,9995
Dallas,19299,22658,22137,603,64697,874,1028,1537,46,3485,68182
Davis,1462,2140,1298,25,4925,44,69,70,3,186,5111
Decatur,1292,2029,1406,34,4761,84,58,82,2,226,4987
Delaware,2596,4784,4442,59,11881,49,82,155,5,291,12172
Des Moines,10289,7633,8456,215,26593,387,287,473,17,1164,27757
Dickinson,2841,6449,4161,97,13548,118,221,263,9,611,14159
Dubuque,26882,19734,19695,581,66892,1148,784,1388,33,3353,70245
Emmet,1683,2097,2416,38,6234,105,132,259,0,496,6730
Fayette,3518,4494,4198,80,12290,85,91,172,5,353,12643
Floyd,2924,3023,4384,72,10403,197,124,325,6,652,11055
Franklin,1303,3092,1955,39,6389,41,65,91,1,198,6587
