county,year_month,year,month,pop_est,adult_pop,democratic_active,republican_active,no_party_active,other_active,total_active,democratic_inactive,republican_inactive,no_party_inactive,other_inactive,total_inactive,grand_total,file_path,libertarian_active,libertarian_inactive,dem_active_pct,rep_active_pct,no_party_active_pct,lib_active_pct,two_party_active_pct,active_pct,inactive_pct,reg_pct,dem_reg_pct,rep_reg_pct,two_party_reg_pct
Hancock,2014-07,2014,7,11043,8535,1483,3260,2749,3,7495,123,144,261,1,529,8024,Voter Registration/data_csv/2014-07.csv,NA,NA,0.18482053838484547,0.40628115653040875,0.3425972083748754,NA,0.5911016949152542,0.9340727816550349,0.06592721834496511,0.9401288810779145,0.18816637375512596,0.39882835383714116,0.5869947275922671
Hardin,2014-07,2014,7,17338,13649,2525,4640,3814,15,10994,323,280,589,0,1192,12186,Voter Registration/data_csv/2014-07.csv,NA,NA,0.20720498933202036,0.3807648120794354,0.3129821106187428,NA,0.5879698014114558,0.9021828327589037,0.09781716724109633,0.8928126602681515,0.20865997508975018,0.36046596820279875,0.569125943292549
Harrison,2014-07,2014,7,14268,11010,2085,3597,2185,20,7887,34,33,37,0,104,7991,Voter Registration/data_csv/2014-07.csv,NA,NA,0.26091853335001874,0.45013139782255035,0.27343261168814914,NA,0.7110499311725691,0.9869853585283443,0.013014641471655613,0.725794732061762,0.1924613987284287,0.329700272479564,0.5221616712079927
Henry,2014-07,2014,7,19846,15362,2800,5210,4816,16,12842,338,297,606,2,1243,14085,Voter Registration/data_csv/2014-07.csv,NA,NA,0.19879304224352148,0.3698970536031239,0.34192403265885696,NA,0.5686900958466454,0.9117500887468939,0.08824991125310615,0.91687280302044,0.20427027730764225,0.35848196849368574,0.562752245801328
Howard,2014-07,2014,7,9357,7010,1803,1422,2522,4,5751,117,78,268,0,463,6214,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2901512713228194,0.22883810749919536,0.40585774058577406,NA,0.5189893788220148,0.9254908271644673,0.07450917283553267,0.8864479315263909,0.2738944365192582,0.21398002853067047,0.4878744650499287
Humboldt,2014-07,2014,7,9641,7429,1293,2647,2386,1,6327,123,138,337,1,599,6926,Voter Registration/data_csv/2014-07.csv,NA,NA,0.186687842910771,0.3821830782558475,0.3444989893156223,NA,0.5688709211666185,0.9135142939647705,0.08648570603522956,0.9322923677480145,0.19060438820837258,0.37488221833355767,0.5654866065419303
Ida,2014-07,2014,7,6971,5310,854,2202,1764,6,4826,58,126,207,0,391,5217,Voter Registration/data_csv/2014-07.csv,NA,NA,0.16369561050412115,0.42208165612420934,0.33812535940195515,NA,0.5857772666283305,0.9250527122867548,0.07494728771324516,0.9824858757062147,0.17175141242937852,0.4384180790960452,0.6101694915254237
Iowa,2014-07,2014,7,16325,12495,2649,3833,4740,9,11231,188,211,436,1,836,12067,Voter Registration/data_csv/2014-07.csv,NA,NA,0.21952432253252674,0.3176431590287561,0.392806828540648,NA,0.5371674815612828,0.9307201458523245,0.06927985414767548,0.9657462985194077,0.22705082032813126,0.3236494597839136,0.5507002801120449
Jackson,2014-07,2014,7,19430,15071,5373,2809,5481,16,13679,390,182,671,2,1245,14924,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3600241222192442,0.18822031626909674,0.3672607879924953,NA,0.5482444384883409,0.9165773251139104,0.08342267488608952,0.9902461681374826,0.38239002056930527,0.19846061973326257,0.5808506403025678
Jasper,2014-07,2014,7,36891,28541,8204,7060,7895,28,23187,1030,751,1605,4,3390,26577,Voter Registration/data_csv/2014-07.csv,NA,NA,0.30868796327651726,0.26564322534522333,0.2970613688527674,NA,0.5743311886217406,0.872446100011288,0.12755389998871206,0.9311867138502505,0.3235345643109912,0.273676465435689,0.5972110297466802
Jefferson,2014-07,2014,7,17795,14908,3359,3423,3340,61,10183,427,302,758,9,1496,11679,Voter Registration/data_csv/2014-07.csv,NA,NA,0.28761024060279133,0.2930901618289237,0.2859833889887833,NA,0.5807004024317151,0.8719068413391557,0.12809315866084425,0.7834048832841427,0.2539576066541454,0.24986584384223237,0.5038234504963778
Johnson,2014-07,2014,7,142874,113780,38387,18228,30619,443,87677,8080,3627,8802,111,20620,108297,Voter Registration/data_csv/2014-07.csv,NA,NA,0.35446041903284486,0.16831491177040916,0.28273174695513265,NA,0.522775330803254,0.8095976804528288,0.1904023195471712,0.951810511513447,0.4083933907540868,0.19208120935137984,0.6004746001054666
Jones,2014-07,2014,7,20553,16099,3362,3714,5818,14,12908,192,163,486,0,841,13749,Voter Registration/data_csv/2014-07.csv,NA,NA,0.24452687468179504,0.27012873663539166,0.423158047858026,NA,0.5146556113171867,0.9388319150483672,0.061168084951632846,0.8540282005093484,0.22075905335735138,0.24082241132989626,0.46158146468724764
Keokuk,2014-07,2014,7,10282,7905,2089,2291,2291,3,6674,158,104,293,1,556,7230,Voter Registration/data_csv/2014-07.csv,NA,NA,0.28893499308437065,0.3168741355463347,0.3168741355463347,NA,0.6058091286307054,0.9230982019363763,0.0769017980636238,0.9146110056925996,0.2842504743833017,0.3029728020240354,0.5872232764073371
Kossuth,2014-07,2014,7,15221,11897,3327,3400,4205,8,10940,177,152,473,1,803,11743,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2833177211956059,0.2895341905816231,0.3580856680575662,NA,0.572851911777229,0.9316188367538107,0.06838116324618922,0.9870555602252669,0.29452803227704466,0.2985626628561822,0.5930906951332269
Lee,2014-07,2014,7,35077,27482,9765,4011,7932,38,21746,737,341,1025,1,2104,23850,Voter Registration/data_csv/2014-07.csv,NA,NA,0.40943396226415096,0.16817610062893082,0.33257861635220126,NA,0.5776100628930818,0.9117819706498952,0.08821802935010482,0.8678407685030202,0.38214103777017683,0.15835819809329743,0.5404992358634743
Linn,2014-07,2014,7,218223,166224,49539,37845,51326,462,139172,5024,3020,5856,38,13938,153110,Voter Registration/data_csv/2014-07.csv,NA,NA,0.32355169485990465,0.24717523349226048,0.33522304225720073,NA,0.5707269283521651,0.9089674090523153,0.09103259094768468,0.9211064587544519,0.32824983155260373,0.2458429588988353,0.574092790451439
Louisa,2014-07,2014,7,11254,8593,1709,2405,2468,7,6589,242,147,455,0,844,7433,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2299206242432396,0.3235571101843132,0.33203282658415173,NA,0.5534777344275528,0.8864523072783533,0.1135476927216467,0.8650064005585942,0.22704526940532993,0.29698591877109276,0.5240311881764227
Lucas,2014-07,2014,7,8633,6615,1341,2208,1906,3,5458,128,139,300,0,567,6025,Voter Registration/data_csv/2014-07.csv,NA,NA,0.22257261410788381,0.36647302904564316,0.3163485477178423,NA,0.5890456431535269,0.9058921161825726,0.09410788381742738,0.9108087679516251,0.2220710506424792,0.3547996976568405,0.5768707482993197
Lyon,2014-07,2014,7,11709,8412,854,5399,1623,3,7879,109,226,268,0,603,8482,Voter Registration/data_csv/2014-07.csv,NA,NA,0.10068380099033247,0.6365244046215516,0.19134638057062014,NA,0.737208205611884,0.9289082763499175,0.07109172365008253,1.0083214455539704,0.1144793152639087,0.6686875891583453,0.783166904422254
Madison,2014-07,2014,7,15620,11529,2746,3932,3687,17,10382,220,268,465,0,953,11335,Voter Registration/data_csv/2014-07.csv,NA,NA,0.24225849139832378,0.34689016321129246,0.32527569475077195,NA,0.5891486546096163,0.9159241288045875,0.08407587119541243,0.98317286841877,0.2572642900511753,0.36429872495446264,0.6215630150056379
Mahaska,2014-07,2014,7,22466,17122,2982,5955,4852,28,13817,408,423,792,3,1626,15443,Voter Registration/data_csv/2014-07.csv,NA,NA,0.19309719614064624,0.38561160396296057,0.3141876578385029,NA,0.5787088001036068,0.8947095771546979,0.10529042284530207,0.9019390258147413,0.1979908889148464,0.3725032122415606,0.570494101156407
Marion,2014-07,2014,7,33280,25235,5295,9112,7461,28,21896,730,753,1239,2,2724,24620,Voter Registration/data_csv/2014-07.csv,NA,NA,0.21506904955320877,0.3701056051990252,0.3030463038180341,NA,0.585174654752234,0.8893582453290008,0.11064175467099918,0.9756290865860907,0.2387556964533386,0.39092530215969884,0.6296809986130374
Marshall,2014-07,2014,7,40712,30458,7122,7500,8919,21,23562,742,592,1162,2,2498,26060,Voter Registration/data_csv/2014-07.csv,NA,NA,0.27329240214888717,0.28779739063699156,0.3422486569455104,NA,0.5610897927858787,0.9041442824251726,0.09585571757482732,0.8556044388994681,0.2581916081160943,0.2656773261540482,0.5238689342701426
Mills,2014-07,2014,7,14763,11228,1868,4797,2946,19,9630,212,316,474,1,1003,10633,Voter Registration/data_csv/2014-07.csv,NA,NA,0.17567948838521583,0.4511426690491865,0.27706197686447853,NA,0.6268221574344023,0.9056710241700366,0.09432897582996332,0.9470074812967582,0.18525115781973636,0.4553794086213039,0.6406305664410402
Mitchell,2014-07,2014,7,10694,8105,1744,2484,2677,11,6916,112,108,206,0,426,7342,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2375374557341324,0.33832743121765185,0.3646145464451103,NA,0.5758648869517843,0.9419776627621902,0.05802233723780986,0.9058605798889574,0.22899444787168416,0.31980259099321406,0.5487970388648982
Monona,2014-07,2014,7,8898,6982,1947,1850,2316,6,6119,148,141,224,1,514,6633,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2935323383084577,0.27890848786371175,0.3491632745364089,NA,0.5724408261721694,0.9225086687773255,0.0774913312226745,0.9500143225436838,0.30005729017473504,0.2851618447436265,0.5852191349183615
Monroe,2014-07,2014,7,7952,6060,1677,1497,1513,6,4693,98,72,146,2,318,5011,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3346637397725005,0.29874276591498705,0.3019357413689882,NA,0.6334065056874876,0.9365396128517262,0.0634603871482738,0.8268976897689769,0.2929042904290429,0.2589108910891089,0.5518151815181518
Montgomery,2014-07,2014,7,10386,7996,976,3763,2023,5,6767,158,294,427,0,879,7646,Voter Registration/data_csv/2014-07.csv,NA,NA,0.12764844363065656,0.4921527596128695,0.26458278838608423,NA,0.61980120324352606,0.8850379283285378,0.1149620716714622,0.9562281140570286,0.1418209104552276,0.5073786893446723,0.6491995997998999
Muscatine,2014-07,2014,7,43032,32069,7553,8056,10210,36,25855,867,797,1534,1,3199,29054,Voter Registration/data_csv/2014-07.csv,NA,NA,0.25996420458456665,0.277276794933572,0.3514146072829903,NA,0.5372409995181386,0.8898946788738211,0.11010532112617884,0.9059839720602451,0.26255885746359414,0.2760609934828027,0.5386198509463969
O'Brien,2014-07,2014,7,14045,10740,1301,5335,2663,10,9309,171,277,451,0,899,10208,Voter Registration/data_csv/2014-07.csv,NA,NA,0.12744905956112854,0.5226293103448276,0.26087382445141066,NA,0.6500783699059561,0.9119318181818182,0.08806818181818182,0.9504655493482309,0.13705772811918063,0.5225325884543761,0.6595903165735567
Osceola,2014-07,2014,7,6231,4777,495,2561,1048,4,4108,62,148,246,0,456,4564,Voter Registration/data_csv/2014-07.csv,NA,NA,0.10845749342681858,0.5611305872042068,0.22962313759859773,NA,0.6695880806310254,0.9000876424189308,0.09991235758106924,0.9554113460330752,0.11660037680552648,0.5670923173539879,0.6836926941595144
Page,2014-07,2014,7,15487,12322,1517,4217,3246,8,8988,250,356,768,3,1377,10365,Voter Registration/data_csv/2014-07.csv,NA,NA,0.14635793535938255,0.40684997588036664,0.31316931982633867,NA,0.5532079112397492,0.8671490593342981,0.13285094066570188,0.8411783801330953,0.14340204512254504,0.37112481739977277,0.5145268625223178
Palo Alto,2014-07,2014,7,9120,7103,2294,1560,2103,5,5962,202,124,343,0,669,6631,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3459508369778314,0.2352586336902428,0.31714673503242347,NA,0.5812094706680742,0.8991102397828382,0.10088976021716181,0.933549204561453,0.3514008165563846,0.23708292270871462,0.5884837392650992
Plymouth,2014-07,2014,7,24918,18649,3102,7747,5423,22,16294,321,457,662,3,1443,17737,Voter Registration/data_csv/2014-07.csv,NA,NA,0.17488865084287084,0.4367705925466539,0.30574505271466423,NA,0.6116592433895247,0.9186446411456278,0.08135535885437221,0.9510965735428173,0.18354871574883372,0.4399163494021127,0.6234650651509465
Pocahontas,2014-07,2014,7,7099,5488,1071,1688,2215,16,4990,103,117,326,0,546,5536,Voter Registration/data_csv/2014-07.csv,NA,NA,0.19346098265895953,0.30491329479768786,0.4001083815028902,NA,0.4983742774566474,0.9013728323699421,0.0986271676300578,1.0087463556851313,0.21392128279883382,0.328899416909621,0.5428206997084548
Polk,2014-07,2014,7,461069,344634,101315,80685,80474,867,263341,6120,4025,6494,66,16705,280046,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3617798504531398,0.28811338137306014,0.2873599337251737,NA,0.6498932318262,0.9403490855073809,0.05965091449261907,0.8125895877945879,0.311736508876083,0.24579699043042763,0.5575334993065106
Pottawattamie,2014-07,2014,7,93332,71221,15547,20754,18801,150,55252,2095,1564,2843,18,6520,61772,Voter Registration/data_csv/2014-07.csv,NA,NA,0.25168361069740336,0.33597746551835783,0.30436119924885063,NA,0.5876610762157612,0.8944505601243282,0.10554943987567182,0.8673284564945732,0.2477078389800761,0.31336263180803414,0.5610704707881102
Poweshiek,2014-07,2014,7,18624,14863,3585,3706,5039,28,12358,1221,164,694,5,2084,14442,Voter Registration/data_csv/2014-07.csv,NA,NA,0.24823431657665143,0.25661265752665835,0.34891289295111483,NA,0.5048469741033098,0.8556986566957485,0.14430134330425148,0.9716746282715468,0.32335329341317365,0.26037812016416606,0.5837314135773397
Ringgold,2014-07,2014,7,4961,3795,884,1479,723,2,3088,32,38,60,0,130,3218,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2747047855811063,0.4596022374145432,0.22467371037911746,NA,0.7343070229956494,0.9596022374145432,0.040397762585456805,0.847957839262187,0.24137022397891963,0.3997364953886693,0.6411067193675889
Sac,2014-07,2014,7,10046,7798,1301,3092,2510,4,6907,136,196,404,0,736,7643,Voter Registration/data_csv/2014-07.csv,NA,NA,0.17022111736229228,0.4045531859217585,0.3284050765406254,NA,0.5747743032840508,0.9037027345283266,0.09629726547167343,0.9801231084893562,0.18427802000512952,0.4216465760451398,0.6059245960502693
Scott,2014-07,2014,7,171457,130121,34911,30556,44850,264,110581,5035,2987,7651,27,15700,126281,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2764548902843658,0.24196830877170755,0.35516031707065987,NA,0.5184231990560734,0.8756740919061459,0.12432590809385419,0.9704890063863635,0.30699118512768886,0.2577831403078673,0.5647743254355562
Shelby,2014-07,2014,7,11886,9194,1824,3534,2550,7,7915,276,252,629,0,1157,9072,Voter Registration/data_csv/2014-07.csv,NA,NA,0.20105820105820105,0.38955026455026454,0.2810846560846561,NA,0.5906084656084656,0.8724647266313933,0.1275352733686067,0.9867304763976507,0.22840983249945618,0.41179029802044814,0.6402001305199043
Sioux,2014-07,2014,7,34648,25256,1626,14441,3889,19,19975,134,528,406,2,1070,21045,Voter Registration/data_csv/2014-07.csv,NA,NA,0.07726300784034212,0.6861962461392255,0.18479448800190068,NA,0.7634592539795676,0.9491565692563554,0.05084343074364457,0.8332673424136838,0.06968641114982578,0.5926908457396263,0.662377256889452
Story,2014-07,2014,7,95894,79600,15923,15748,20490,263,52424,3450,2372,5166,87,11075,63499,Voter Registration/data_csv/2014-07.csv,NA,NA,0.25075985448589744,0.2480039055733161,0.32268224696451914,NA,0.4987637600592135,0.8255878045323548,0.17441219546764516,0.7977261306532664,0.2433793969849246,0.22763819095477386,0.4710175879396985
Tama,2014-07,2014,7,17309,13116,3257,3328,4551,10,11146,249,178,604,0,1031,12177,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2674714625934138,0.2733021269606635,0.37373737373737376,NA,0.5407735895540773,0.9153321836248666,0.08466781637513345,0.9284080512351327,0.26730710582494666,0.26730710582494666,0.5346142116498933
Taylor,2014-07,2014,7,6172,4735,732,1866,1185,6,3789,96,126,274,1,497,4286,Voter Registration/data_csv/2014-07.csv,NA,NA,0.17078861409239385,0.4353709752683154,0.2764815678954736,NA,0.6061595893607092,0.8840410639290714,0.11595893607092861,0.9051742344244984,0.17486800422386484,0.42069693769799366,0.5955649419218585
Union,2014-07,2014,7,12625,9717,1694,2787,3089,11,7581,90,97,226,0,413,7994,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2119089316987741,0.3486364773580185,0.38641481110833126,NA,0.5605454090567926,0.9483362521891419,0.05166374781085814,0.822681897705053,0.183595760008233,0.29679942369043943,0.4803951836986724
Van Buren,2014-07,2014,7,7390,5656,1006,2161,1505,10,4682,84,145,229,0,458,5140,Voter Registration/data_csv/2014-07.csv,NA,NA,0.19571984435797665,0.42042801556420234,0.2928015564202335,NA,0.616147859922179,0.9108949416342412,0.08910505836575876,0.9087694483734088,0.1927157001414427,0.4077086280056577,0.60042432814710045
Wapello,2014-07,2014,7,35421,27501,9032,5065,6883,30,21010,781,402,900,4,2087,23097,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3910464562497294,0.21929254881586352,0.29800406979261373,NA,0.6103390050655929,0.9096419448413214,0.09035805515867862,0.8398603687138649,0.35682338824042764,0.19879277117195737,0.555616159412385
Warren,2014-07,2014,7,47848,35743,9460,10735,10784,46,31025,696,657,1142,6,2501,33526,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2821690628169182,0.3201992483445684,0.32166080057268986,NA,0.6023683111614866,0.9254011811728211,0.0745988188271789,0.9379738690093166,0.2841395518003525,0.31871974932154545,0.6028593011218979
Washington,2014-07,2014,7,22040,16513,2925,5645,5081,37,13688,223,278,519,4,1024,14712,Voter Registration/data_csv/2014-07.csv,NA,NA,0.1988172920065253,0.38370038064165307,0.3453643284393692,NA,0.5825176726481783,0.9303969548667754,0.06960304513322457,0.8909344153091504,0.19063767940410586,0.35868709501604795,0.5493247744201538
Wayne,2014-07,2014,7,6375,4830,974,1351,1123,3,3451,97,96,154,0,347,3798,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2564507635597683,0.3557135334386519,0.2956819378620327,NA,0.6121642969984202,0.9086361242759347,0.09136387572406529,0.7863354037267081,0.2217391304347826,0.29958592132505174,0.5213250517598343
Webster,2014-07,2014,7,37085,29062,8539,6439,8260,31,23269,779,538,1181,5,2503,25772,Voter Registration/data_csv/2014-07.csv,NA,NA,0.3313285736458172,0.24984479279838584,0.32050287133322986,NA,0.581173366444203,0.9028790935899426,0.09712090641005743,0.8867937512903448,0.320624870965522,0.24007294749156974,0.5606978184570918
Winnebago,2014-07,2014,7,10567,8263,1528,2943,2732,5,7208,161,151,348,0,660,7868,Voter Registration/data_csv/2014-07.csv,NA,NA,0.1942043721403152,0.37404677173360446,0.3472292831723437,NA,0.5682511438739196,0.9161159125571937,0.0838840874428063,0.9521965387873653,0.20440517971680988,0.3744402759288394,0.5788454556456493
Winneshiek,2014-07,2014,7,20708,16787,3517,4374,5146,19,13056,847,307,911,7,2072,15128,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2324828133262824,0.2891327340031729,0.3401639344262295,NA,0.5216155473294553,0.8630354309888948,0.13696456901110524,0.9011735271340918,0.25996306665872404,0.27884672663370463,0.5388097932924287
Woodbury,2014-07,2014,7,102333,75440,18223,18906,18462,121,55712,1986,1409,2509,12,5916,61628,Voter Registration/data_csv/2014-07.csv,NA,NA,0.2956935159343156,0.30677614071525927,0.2995716232881158,NA,0.6024696566495749,0.9040046732004933,0.09599532679950672,0.8169141039236479,0.2678817603393425,0.2692868504772004,0.537168610816543
Worth,2014-07,2014,7,7558,5901,1475,1722,1983,2,5182,137,91,254,1,483,5665,Voter Registration/data_csv/2014-07.csv,NA,NA,0.26037069726390116,0.30397175639894086,0.3500441306266549,NA,0.5643424536628421,0.9147396293027361,0.0852603706972639,0.9600067785121166,0.27317403829859344,0.30723606168446027,0.5804100999830537
Wright,2014-07,2014,7,12905,9903,1925,3526,2655,9,8115,147,205,327,0,679,8794,Voter Registration/data_csv/2014-07.csv,NA,NA,0.21889924948828746,0.4009551967250398,0.3019103934500796,NA,0.6198544462133273,0.9227882647259495,0.0772117352740505,0.8880137332121579,0.20922952640613957,0.37675451883267697,0.5859840452388165
Adair,2014-08,2014,8,7365,5742,1067,1965,1985,6,5023,115,118,287,1,521,5544,Voter Registration/data_csv/2014-08.csv,NA,NA,0.19246031746031747,0.35443722943722944,0.35804473304473305,NA,0.5468975468975469,0.9060245310245311,0.09397546897546898,0.9655172413793104,0.2058516196447231,0.36276558690351796,0.5686172065482411
Adams,2014-08,2014,8,3874,3050,636,989,1150,4,2779,46,48,182,0,276,3055,Voter Registration/data_csv/2014-08.csv,NA,NA,0.20818330605564647,0.3237315875613748,0.37643207855973815,NA,0.5319148936170213,0.9096563011456629,0.09034369885433716,1.001639344262295,0.22360655737704918,0.34,0.5636065573770492
Allamakee,2014-08,2014,8,14067,10904,2166,4246,3122,5,9539,134,150,306,0,590,10129,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2138414453549215,0.4191924178102478,0.30822391154111956,NA,0.6330338631651693,0.9417514068516142,0.058248593148385826,0.9289251650770359,0.21093176815847395,0.4031548055759354,0.6140865737344093
Appanoose,2014-08,2014,8,12678,9845,2464,2800,3024,6,8294,263,230,460,0,953,9247,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2664647993943982,0.3028009084027252,0.3270249810749432,NA,0.5692657077971235,0.896939547961501,0.10306045203849898,0.9392585068562722,0.2769933976637887,0.30777044184865415,0.5847638395124428
Audubon,2014-08,2014,8,5768,4588,1249,1572,1404,5,4230,75,85,181,0,341,4571,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2732443666593743,0.34390724130387224,0.3071537956683439,NA,0.6171516079632465,0.9253992561802669,0.0746007438197331,0.9962946817785527,0.2885789014821273,0.3611595466434176,0.6497384481255448
Benton,2014-08,2014,8,25620,19503,4400,4999,7447,28,16874,315,232,644,2,1193,18067,Voter Registration/data_csv/2014-08.csv,NA,NA,0.24353794210438923,0.276692311949964,0.41218796701167876,NA,0.5202302540543533,0.9339680079703326,0.06603199202966735,0.9263703020048197,0.24175767830590167,0.2682151463877352,0.5099728246936368
Black Hawk,2014-08,2014,8,133433,104584,29187,20590,31382,266,81425,2488,1284,3392,22,7186,88611,Voter Registration/data_csv/2014-08.csv,NA,NA,0.32938348512035753,0.23236392772906297,0.35415467605602013,NA,0.5617474128494205,0.9189039735473022,0.08109602645269774,0.8472710930926337,0.30286659527269943,0.2091524516178383,0.5120190468905377
Boone,2014-08,2014,8,26303,20313,5134,5493,6901,37,17565,289,328,681,1,1299,18864,Voter Registration/data_csv/2014-08.csv,NA,NA,0.27215860899067007,0.29118956743002544,0.36582909245122985,NA,0.5633481764206956,0.9311386768447837,0.06886132315521629,0.9286663712893221,0.2669718899227096,0.28656525377836856,0.5535371437010781
Bremer,2014-08,2014,8,24678,19241,3674,4999,7400,24,16097,396,307,799,3,1505,17602,Voter Registration/data_csv/2014-08.csv,NA,NA,0.20872628110441996,0.2840018179752301,0.4204067719577321,NA,0.4927280990796501,0.9144983524599477,0.08550164754005227,0.9148173171872563,0.21152746738734993,0.27576529286419627,0.4872927602515462
Buchanan,2014-08,2014,8,21135,15486,3798,3112,6310,14,13234,207,150,548,0,905,14139,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2686187141947804,0.22010043143079425,0.44628332979701535,NA,0.4887191456255746,0.9359926444585898,0.06400735554141028,0.9130182099961255,0.25862068965517243,0.21064187007619786,0.4692625597313703
Buena Vista,2014-08,2014,8,20608,15361,2922,4075,4629,12,11638,230,177,351,2,760,12398,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2356831747055977,0.3286820454912083,0.373366672043878,NA,0.5643652201968059,0.9386997902887563,0.061300209711243746,0.8071089121801966,0.2051949742855283,0.27680489551461496,0.48199986980014325
Butler,2014-08,2014,8,14958,11429,1710,4540,3433,11,9694,126,146,275,0,547,10241,Voter Registration/data_csv/2014-08.csv,NA,NA,0.16697588126159554,0.44331608241382675,0.335221169807636,NA,0.6102919636754223,0.946587247339127,0.05341275266087296,0.8960538979788258,0.1606439758509056,0.41000962463907603,0.5706536004899816
Calhoun,2014-08,2014,8,9845,7808,1392,2387,2727,12,6518,112,114,326,1,553,7071,Voter Registration/data_csv/2014-08.csv,NA,NA,0.19686041578277472,0.3375760147079621,0.3856597369537548,NA,0.5344364304907369,0.921793239994343,0.0782067600056569,0.905609631147541,0.19262295081967212,0.3203125,0.5129354508196722
Carroll,2014-08,2014,8,20495,15530,3974,3888,6030,42,13934,250,225,626,1,1102,15036,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2642990156956637,0.25857940941739826,0.40103750997605747,NA,0.522878425113062,0.9267092311785049,0.07329076882149507,0.968190598840953,0.2719896973599485,0.2648422408242112,0.5368319381841598
Cass,2014-08,2014,8,13394,10368,1530,4800,2988,9,9327,162,321,513,1,997,10324,Voter Registration/data_csv/2014-08.csv,NA,NA,0.14819837272375047,0.4649360712901976,0.289422704378148,NA,0.6131344440139481,0.9034289035257652,0.0965710964742348,0.9957561728395061,0.16319444444444445,0.4939236111111111,0.6571180555555556
Cedar,2014-08,2014,8,18278,14090,3085,3679,4584,20,11368,239,157,456,0,852,12220,Voter Registration/data_csv/2014-08.csv,NA,NA,0.25245499181669395,0.30106382978723406,0.3751227495908347,NA,0.553518821603928,0.930278232405892,0.06972176759410802,0.8672817601135557,0.23591199432221432,0.272249822569198,0.5081618168914124
Cerro Gordo,2014-08,2014,8,43224,34286,9252,8015,12363,34,29664,697,513,1330,1,2541,32205,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2872845831392641,0.2488743983853439,0.38388448998602703,NA,0.536158981524608,0.9210992081974848,0.07890079180251514,0.9393046724610629,0.29017674852709563,0.24873126057282857,0.5389080090999242
Cherokee,2014-08,2014,8,11803,9303,1898,3206,2988,13,8105,126,159,356,2,643,8748,Voter Registration/data_csv/2014-08.csv,NA,NA,0.21696387745770462,0.36648376771833563,0.34156378600823045,NA,0.5834476451760402,0.9264974851394604,0.07350251486053955,0.9403418252176717,0.21756422659357197,0.3617112759324949,0.5792755025260669
Chickasaw,2014-08,2014,8,12250,9333,2727,2209,3491,5,8432,144,122,354,1,621,9053,Voter Registration/data_csv/2014-08.csv,NA,NA,0.30122611289075446,0.24400751132221363,0.3856180271733127,NA,0.5452336242129681,0.9314039544902243,0.06859604550977577,0.9699989285331619,0.3076181292189007,0.24975891996142718,0.5573770491803278
Clarke,2014-08,2014,8,9192,6940,1539,1797,2152,9,5497,145,138,349,1,633,6130,Voter Registration/data_csv/2014-08.csv,NA,NA,0.25106035889070144,0.2931484502446982,0.3510603588907015,NA,0.5442088091353996,0.8967373572593801,0.1032626427406199,0.8832853025936599,0.2426512968299712,0.2788184438040346,0.5214697406340058
Clay,2014-08,2014,8,16483,12709,2375,4507,4164,11,11057,272,294,528,0,1094,12151,Voter Registration/data_csv/2014-08.csv,NA,NA,0.19545716401942226,0.37091597399390996,0.3426878446218418,NA,0.5663731380133322,0.9099662579211587,0.09003374207884125,0.9560941065386733,0.2082775985522071,0.37776378944055394,0.5860413879927611
Clayton,2014-08,2014,8,17771,13851,3345,3276,4713,18,11352,234,201,508,2,945,12297,Voter Registration/data_csv/2014-08.csv,NA,NA,0.27201756525981946,0.26640644059526714,0.38326421078311784,NA,0.5384240058550867,0.9231519882898268,0.07684801171017322,0.8878059345895604,0.2583928958197964,0.25102880658436216,0.5094217024041585
Clinton,2014-08,2014,8,47921,36988,10183,7320,12890,34,30427,1301,554,1778,6,3639,34066,Voter Registration/data_csv/2014-08.csv,NA,NA,0.2989197440263019,0.21487700346386426,0.3783831386132801,NA,0.5137967474901661,0.8931779486878413,0.10682205131215874,0.9210014058613605,0.3104790742943657,0.21287985292527306,0.5233589272196388
