county,year_month,year,month,pop_est,adult_pop,democratic_active,republican_active,no_party_active,other_active,total_active,democratic_inactive,republican_inactive,no_party_inactive,other_inactive,total_inactive,grand_total,file_path,libertarian_active,libertarian_inactive,dem_active_pct,rep_active_pct,no_party_active_pct,lib_active_pct,two_party_active_pct,active_pct,inactive_pct,reg_pct,dem_reg_pct,rep_reg_pct,two_party_reg_pct
Chickasaw,2014-05,2014,5,12250,9333,2759,2071,3553,6,8389,148,127,355,1,631,9020,Voter Registration/data_csv/2014-05.csv,NA,NA,0.30587583148558756,0.2296008869179601,0.39390243902439026,NA,0.5354767184035476,0.9300443458980044,0.06995565410199557,0.9664630879674274,0.3114754098360656,0.2355084110146791,0.5469838208507447
Clarke,2014-05,2014,5,9192,6940,1578,1698,2181,8,5465,149,150,362,1,662,6127,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2575485555736902,0.2771339970621838,0.3559653990533703,NA,0.534682552635874,0.8919536477884772,0.10804635221152277,0.8828530259365994,0.24884726224783862,0.26628242074927955,0.5151296829971181
Clay,2014-05,2014,5,16483,12709,2411,4339,4270,12,11032,286,313,544,0,1143,12175,Voter Registration/data_csv/2014-05.csv,NA,NA,0.19802874743326487,0.35638603696098564,0.3507186858316222,NA,0.5544147843942505,0.9061190965092403,0.09388090349075975,0.9579825320638917,0.21221181839641198,0.36603981430482335,0.5782516327012354
Clayton,2014-05,2014,5,17771,13851,3307,3220,4789,7,11323,243,205,516,2,966,12289,Voter Registration/data_csv/2014-05.csv,NA,NA,0.26910244934494265,0.2620229473512898,0.3896981039954431,NA,0.5311253966962324,0.921393115794613,0.07860688420538693,0.8872283589632517,0.2562991841744278,0.24727456501335643,0.5035737491877843
Clinton,2014-05,2014,5,47921,36988,10262,6947,12929,32,30170,1362,577,1835,5,3779,33949,Voter Registration/data_csv/2014-05.csv,NA,NA,0.30227694482900824,0.20463047512445137,0.38083595982208607,NA,0.5069074199534596,0.8886859701316681,0.11131402986833192,0.9178382178003677,0.3142640856493998,0.2034173245376879,0.5176814101870877
Crawford,2014-05,2014,5,17156,12738,2680,3019,3461,9,9169,229,166,422,1,818,9987,Voter Registration/data_csv/2014-05.csv,NA,NA,0.26834885350956245,0.3022929808751377,0.3465505156703715,NA,0.5706418343847002,0.9180935215780515,0.08190647842194854,0.7840320301460197,0.228371800910661,0.2500392526299262,0.4784110535405872
Dallas,2014-05,2014,5,77758,55432,10157,16032,18364,81,44634,1435,1910,3432,8,6785,51419,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1975339854917443,0.3117913611699955,0.3571442462902818,NA,0.5093253466617398,0.8680448861315856,0.1319551138684144,0.9276049935055564,0.20912108529369317,0.3236758551017463,0.5327969403954395
Davis,2014-05,2014,5,8755,6240,1809,1496,1460,3,4768,149,90,229,0,468,5236,Voter Registration/data_csv/2014-05.csv,NA,NA,0.3454927425515661,0.2857142857142857,0.27883880825057294,NA,0.6312070282658517,0.9106187929717342,0.08938120702826585,0.8391025641025641,0.3137820512820513,0.25416666666666665,0.5679487179487179
Decatur,2014-05,2014,5,8216,6402,1505,1596,1540,9,4650,329,244,566,4,1143,5793,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2597963058864146,0.27550491973070945,0.26583808044191265,NA,0.5353012256171241,0.8026929052304506,0.19730709476954947,0.9048734770384255,0.28647297719462667,0.2874101843174008,0.5738831615120275
Delaware,2014-05,2014,5,17397,13208,2513,3789,4937,3,11242,154,157,411,0,722,11964,Voter Registration/data_csv/2014-05.csv,NA,NA,0.21004680708793047,0.31670010030090273,0.4126546305583417,NA,0.5267469073888332,0.9396522902039451,0.06034770979605483,0.9058146577831617,0.20192307692307693,0.29875832828588733,0.5006814052089643
Des Moines,2014-05,2014,5,40127,30833,11085,5902,8528,38,25553,1002,465,1142,3,2612,28165,Voter Registration/data_csv/2014-05.csv,NA,NA,0.3935735842357536,0.20955086099769218,0.3027871471684715,NA,0.6031244452334458,0.9072607846618143,0.09273921533818569,0.9134693348036195,0.3920150488113385,0.20649952972464566,0.5985145785359841
Dickinson,2014-05,2014,5,16845,13597,2431,4978,4444,16,11869,149,214,316,2,681,12550,Voter Registration/data_csv/2014-05.csv,NA,NA,0.19370517928286854,0.39665338645418324,0.35410358565737055,NA,0.5903585657370518,0.9457370517928286,0.05426294820717131,0.9229977200853129,0.18974773847172172,0.3818489372655733,0.571596675737295
Dubuque,2014-05,2014,5,96544,74167,24417,14640,22851,129,62037,1898,1087,2329,20,5334,67371,Voter Registration/data_csv/2014-05.csv,NA,NA,0.36242596963085005,0.21730418132430868,0.33918154695640557,NA,0.5797301509551587,0.9208264683617581,0.07917353163824198,0.9083689511507813,0.35480739412407136,0.21204848517534752,0.5668558792994189
Emmet,2014-05,2014,5,9830,7680,1956,1599,2833,6,6394,231,162,554,1,948,7342,Voter Registration/data_csv/2014-05.csv,NA,NA,0.266412421683465,0.21778806864614547,0.3858621628983928,NA,0.4842004903296105,0.8708798692454373,0.1291201307545628,0.9559895833333333,0.284765625,0.229296875,0.5140625000000001
Fayette,2014-05,2014,5,20288,16008,3588,3914,4162,27,11691,227,137,314,1,679,12370,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2900565885206144,0.316410670978173,0.3364591754244139,NA,0.6064672594987874,0.945109135004042,0.05489086499595796,0.7727386306846576,0.2383183408295852,0.2530609695152424,0.49137931034482757
Floyd,2014-05,2014,5,16008,12326,3067,2606,4755,11,10439,174,131,324,4,633,11072,Voter Registration/data_csv/2014-05.csv,NA,NA,0.27700505780346824,0.2353684971098266,0.42946170520231214,NA,0.5123735549132948,0.9428287572254336,0.05717124277456647,0.8982638325490833,0.26294012656173943,0.2220509492130456,0.48499107577478506
Franklin,2014-05,2014,5,10433,8033,1269,3009,2354,7,6639,100,109,274,1,484,7123,Voter Registration/data_csv/2014-05.csv,NA,NA,0.17815527165520145,0.4224343675417661,0.33047873087182367,NA,0.6005896391969676,0.9320511020637372,0.06794889793626281,0.8867172911739076,0.17042200921200049,0.3881488858458857,0.5585708950578862
Fremont,2014-05,2014,5,7029,5473,1193,1958,1669,6,4826,179,302,403,0,884,5710,Voter Registration/data_csv/2014-05.csv,NA,NA,0.20893169877408055,0.34290718038528895,0.29229422066549915,NA,0.5518388791593695,0.8451838879159369,0.15481611208406304,1.0433034898593094,0.25068518180157134,0.4129362324136671,0.6636214142152385
Greene,2014-05,2014,5,9127,7006,1876,2030,2278,8,6192,132,141,293,2,568,6760,Voter Registration/data_csv/2014-05.csv,NA,NA,0.2775147928994083,0.30029585798816566,0.33698224852071007,NA,0.577810650887574,0.9159763313609467,0.08402366863905325,0.9648872395089922,0.286611475877819,0.3098772480730802,0.5964887239508991
Grundy,2014-05,2014,5,12388,9486,1414,4000,3007,11,8432,79,160,262,4,505,8937,Voter Registration/data_csv/2014-05.csv,NA,NA,0.1582186416023274,0.44757748685241133,0.33646637574130023,NA,0.6057961284547387,0.943493342284883,0.05650665771511693,0.9421252371916509,0.1573898376554923,0.43854100780096983,0.5959308454564621
Guthrie,2014-05,2014,5,10690,8284,1834,2585,2835,15,7269,142,161,335,1,639,7908,Voter Registration/data_csv/2014-05.csv,NA,NA,0.23191704602933738,0.3268841679312089,0.3584977238239757,NA,0.5588012139605463,0.919195751138088,0.08080424886191198,0.9546112988894254,0.23853211009174313,0.33148237566393046,0.5700144857556736
Hamilton,2014-05,2014,5,15222,11683,2624,3416,3795,12,9847,217,244,515,1,977,10824,Voter Registration/data_csv/2014-05.csv,NA,NA,0.24242424242424243,0.3155949741315595,0.35060975609756095,NA,0.558019216555802,0.9097376201034738,0.09026237989652623,0.9264743644611829,0.24317384233501668,0.3132756997346572,0.5564495420696739
