State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 076,"6,148","6,720",72,"8,447",17,"21,404",599,185,7,611,1,"1,403","22,807"
State Representative District 077,"8,198","5,933",138,"8,080",31,"22,380",659,498,9,847,4,"2,017","24,397"
State Representative District 078,"4,707","7,962",77,"6,883",30,"19,659",164,185,1,317,1,668,"20,327"
State Representative District 079,"3,569","10,318",74,"6,241",14,"20,216",251,371,5,506,0,"1,133","21,349"
State Representative District 080,"5,447","7,204",51,"6,769",18,"19,489",192,190,2,365,1,750,"20,239"
State Representative District 081,"7,304","4,528",47,"5,814",36,"17,729",304,151,0,407,1,863,"18,592"
State Representative District 082,"6,385","6,693",60,"5,869",61,"19,068",310,213,12,400,7,942,"20,010"
State Representative District 083,"7,952","3,585",77,"6,675",22,"18,311",487,224,7,686,0,"1,404","19,715"
State Representative District 084,"4,471","7,306",60,"7,289",16,"19,142",220,235,3,462,1,921,"20,063"
State Representative District 085,"12,664","4,212",195,"7,389",69,"24,529","1,749",813,29,"2,100",17,"4,708","29,237"
State Representative District 086,"10,519","3,324",153,"6,495",81,"20,572","1,422",590,25,"1,598",8,"3,643","24,215"
State Representative District 087,"8,340","4,281",78,"6,497",38,"19,234",471,236,3,550,2,"1,262","20,496"
State Representative District 088,"5,630","6,481",54,"7,303",17,"19,485",240,264,2,535,1,"1,042","20,527"
State Representative District 089,"7,382","4,721",103,"8,461",32,"20,699",390,205,6,509,2,"1,112","21,811"
State Representative District 090,"7,902","2,977",131,"7,667",44,"18,721",476,194,11,615,3,"1,299","20,020"
State Representative District 091,"5,923","6,012",54,"7,297",31,"19,317",597,595,2,"1,103",0,"2,297","21,614"
State Representative District 092,"6,043","6,203",97,"8,705",34,"21,082",234,199,1,447,3,884,"21,966"
State Representative District 093,"7,296","6,445",113,"8,254",32,"22,140",415,340,11,661,4,"1,431","23,571"
State Representative District 094,"6,216","9,088",124,"9,490",32,"24,950",387,456,13,658,1,"1,515","26,465"
State Representative District 095,"6,259","6,474",97,"8,161",22,"21,013",188,153,3,316,1,661,"21,674"
State Representative District 096,"4,310","6,538",37,"8,200",12,"19,097",107,112,3,317,1,540,"19,637"
State Representative District 097,"5,627","6,919",77,"9,337",24,"21,984",174,187,3,372,0,736,"22,720"
State Representative District 098,"6,571","4,160",46,"8,099",30,"18,906",295,135,3,429,1,863,"19,769"
State Representative District 099,"9,247","5,338",88,"6,901",33,"21,607",405,250,7,430,2,"1,094","22,701"
State Representative District 100,"8,273","4,168",101,"6,309",41,"18,892",481,203,6,498,7,"1,195","20,087"
Totals,"625,936","665,165","9,100","717,650","2,930","2,020,781","31,796","25,116",579,"46,868",204,"104,563","2,125,344"
