State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 001,"3,065","12,790","5,855",85,"21,795",230,462,557,12,"1,261","23,056"
State Representative District 002,"4,282","8,373","7,180",106,"19,941",251,364,661,9,"1,285","21,226"
State Representative District 003,"2,799","10,799","5,871",98,"19,567",189,335,482,6,"1,012","20,579"
State Representative District 004,"1,623","14,004","3,762",60,"19,449",102,446,261,14,823,"20,272"
State Representative District 005,"3,621","9,868","6,710",119,"20,318",191,379,422,10,"1,002","21,320"
State Representative District 006,"5,126","7,713","6,894",144,"19,877",389,460,644,12,"1,505","21,382"
State Representative District 007,"4,784","6,572","8,371",89,"19,816",278,344,804,5,"1,431","21,247"
State Representative District 008,"4,206","8,043","6,921",89,"19,259",202,283,510,9,"1,004","20,263"
State Representative District 009,"5,986","5,261","7,053",151,"18,451",519,324,867,7,"1,717","20,168"
State Representative District 010,"3,797","8,053","7,642",119,"19,611",206,272,500,7,985,"20,596"
State Representative District 011,"4,075","7,236","6,766",109,"18,186",393,335,697,5,"1,430","19,616"
State Representative District 012,"4,921","7,015","8,237",117,"20,290",175,208,405,8,796,"21,086"
State Representative District 013,"5,280","4,825","5,611",130,"15,846",587,450,822,23,"1,882","17,728"
State Representative District 014,"5,690","4,118","5,217",124,"15,149",574,318,596,9,"1,497","16,646"
State Representative District 015,"5,248","4,460","6,357",240,"16,305",628,414,799,39,"1,880","18,185"
State Representative District 016,"5,047","5,748","6,388",260,"17,443",671,569,"1,084",48,"2,372","19,815"
State Representative District 017,"4,059","7,883","6,560",140,"18,642",170,280,434,9,893,"19,535"
State Representative District 018,"4,237","7,256","6,151",82,"17,726",190,250,424,4,868,"18,594"
State Representative District 019,"5,990","10,251","10,538",224,"27,003",192,405,612,8,"1,217","28,220"
State Representative District 020,"4,497","6,653","7,785",146,"19,081",196,277,545,9,"1,027","20,108"
State Representative District 021,"3,617","8,261","7,262",105,"19,245",260,411,794,8,"1,473","20,718"
State Representative District 022,"4,740","10,313","7,271",172,"22,496",298,454,546,16,"1,314","23,810"
State Representative District 023,"3,732","9,957","6,070",170,"19,929",204,324,465,11,"1,004","20,933"
State Representative District 024,"3,210","9,114","5,609",94,"18,027",215,386,552,9,"1,162","19,189"
State Representative District 025,"5,805","8,667","8,433",183,"23,088",287,441,642,16,"1,386","24,474"
State Representative District 026,"6,380","7,046","7,679",153,"21,258",371,344,625,15,"1,355","22,613"
State Representative District 027,"4,344","6,647","6,110",109,"17,210",317,313,572,13,"1,215","18,425"
State Representative District 028,"4,805","7,413","7,335",100,"19,653",217,266,475,5,963,"20,616"
State Representative District 029,"7,078","5,868","7,982",120,"21,048",255,195,431,3,884,"21,932"
State Representative District 030,"7,257","8,100","8,518",257,"24,132",202,237,347,8,794,"24,926"
State Representative District 031,"7,612","4,486","6,038",184,"18,320",288,184,304,12,788,"19,108"
State Representative District 032,"7,902","2,511","4,870",211,"15,494",509,120,400,8,"1,037","16,531"
State Representative District 033,"8,378","3,109","5,537",197,"17,221",437,153,362,12,964,"18,185"
State Representative District 034,"9,405","3,373","5,930",225,"18,933",714,257,563,27,"1,561","20,494"
State Representative District 035,"7,366","1,983","4,239",194,"13,782",680,172,468,24,"1,344","15,126"
State Representative District 036,"9,810","4,114","6,086",243,"20,253",502,224,377,12,"1,115","21,368"
State Representative District 037,"7,782","10,343","10,255",284,"28,664",307,529,529,29,"1,394","30,058"
State Representative District 038,"7,200","7,461","7,992",240,"22,893",317,308,361,20,"1,006","23,899"
State Representative District 039,"7,521","9,515","9,565",268,"26,869",394,520,541,29,"1,484","28,353"
State Representative District 040,"7,190","6,870","6,470",202,"20,732",345,292,349,15,"1,001","21,733"
State Representative District 041,"11,711","3,870","4,952",233,"20,766",987,345,668,31,"2,031","22,797"
State Representative District 042,"7,373","6,530","6,635",238,"20,776",536,419,567,20,"1,542","22,318"
State Representative District 043,"7,801","6,516","6,053",181,"20,551",486,327,432,20,"1,265","21,816"
State Representative District 044,"7,803","10,111","12,128",292,"30,334",532,751,"1,090",34,"2,407","32,741"
State Representative District 045,"7,928","4,881","8,002",348,"21,159","1,076",648,"1,375",66,"3,165","24,324"
State Representative District 046,"7,499","5,257","8,544",279,"21,579",998,693,"1,538",68,"3,297","24,876"
State Representative District 047,"5,606","6,825","7,822",177,"20,430",270,313,689,12,"1,284","21,714"
State Representative District 048,"5,225","7,556","7,935",149,"20,865",230,267,528,12,"1,037","21,902"
State Representative District 049,"4,775","7,535","7,989",221,"20,520",229,298,434,11,972,"21,492"
State Representative District 050,"3,804","8,846","7,190",107,"19,947",177,320,422,6,925,"20,872"
State Representative District 051,"4,729","6,388","8,187",84,"19,388",234,212,578,4,"1,028","20,416"
State Representative District 052,"5,350","5,412","8,720",82,"19,564",349,255,707,11,"1,322","20,886"
State Representative District 053,"6,113","4,369","8,625",85,"19,192",361,260,776,8,"1,405","20,597"
State Representative District 054,"3,805","8,124","7,408",100,"19,437",193,294,519,2,"1,008","20,445"
State Representative District 055,"5,590","6,343","7,086",94,"19,113",542,270,745,14,"1,571","20,684"
State Representative District 056,"4,610","7,168","7,145",94,"19,017",283,281,547,9,"1,120","20,137"
State Representative District 057,"7,744","6,702","8,496",123,"23,065",227,231,430,5,893,"23,958"
State Representative District 058,"6,449","5,273","9,554",59,"21,335",250,181,543,6,980,"22,315"
State Representative District 059,"6,499","5,225","7,765",222,"19,711",623,461,"1,079",29,"2,192","21,903"
State Representative District 060,"6,743","7,084","7,998",175,"22,000",447,449,672,17,"1,585","23,585"
State Representative District 061,"6,900","3,831","6,486",182,"17,399",556,232,580,24,"1,392","18,791"
State Representative District 062,"8,018","2,450","5,784",192,"16,444",598,159,523,6,"1,286","17,730"
State Representative District 063,"4,931","6,510","9,233",132,"20,806",294,273,668,12,"1,247","22,053"
State Representative District 064,"5,023","4,600","8,464",80,"18,167",227,130,568,8,933,"19,100"
State Representative District 065,"8,852","3,853","6,233",267,"19,205",572,203,493,24,"1,292","20,497"
State Representative District 066,"7,335","5,441","7,358",231,"20,365",393,252,452,17,"1,114","21,479"
State Representative District 067,"6,661","7,083","8,689",245,"22,678",277,343,440,12,"1,072","23,750"
State Representative District 068,"7,047","6,099","8,742",255,"22,143",300,289,406,20,"1,015","23,158"
State Representative District 069,"7,577","4,203","7,974",271,"20,025",435,234,533,20,"1,222","21,247"
State Representative District 070,"8,112","4,604","7,716",235,"20,667",413,215,405,25,"1,058","21,725"
State Representative District 071,"5,484","4,675","6,093",141,"16,393",357,273,680,9,"1,319","17,712"
State Representative District 072,"4,920","6,402","8,218",109,"19,649",210,212,502,6,930,"20,579"
State Representative District 073,"6,402","6,137","8,156",133,"20,828",236,224,440,17,917,"21,745"
State Representative District 074,"10,118","3,734","6,660",181,"20,693","1,016",361,758,25,"2,160","22,853"
State Representative District 075,"4,526","6,680","8,723",125,"20,054",207,236,490,8,941,"20,995"
State Representative District 076,"5,838","6,659","8,703",127,"21,327",666,275,655,13,"1,609","22,936"
State Representative District 077,"8,664","5,813","9,224",211,"23,912",478,368,616,27,"1,489","25,401"
State Representative District 078,"4,541","7,451","7,167",135,"19,294",248,307,541,15,"1,111","20,405"
State Representative District 079,"3,257","9,984","6,167",128,"19,536",359,505,765,12,"1,641","21,177"
State Representative District 080,"4,948","7,175","6,521",102,"18,746",313,328,732,12,"1,385","20,131"
State Representative District 081,"6,673","4,358","5,623",85,"16,739",501,273,696,7,"1,477","18,216"
State Representative District 082,"6,349","6,288","5,831",140,"18,608",454,283,593,20,"1,350","19,958"
State Representative District 083,"7,249","3,549","6,646",123,"17,567",526,254,879,22,"1,681","19,248"
State Representative District 084,"4,175","7,136","7,271",100,"18,682",310,350,733,10,"1,403","20,085"
State Representative District 085,"12,336","3,533","7,190",233,"23,292","2,034",859,"1,796",73,"4,762","28,054"
State Representative District 086,"10,506","2,907","6,807",238,"20,458","1,637",561,"1,436",50,"3,684","24,142"
State Representative District 087,"7,789","4,189","6,631",164,"18,773",626,275,789,19,"1,709","20,482"
State Representative District 088,"5,378","6,304","7,598",98,"19,378",236,214,465,8,923,"20,301"
State Representative District 089,"6,903","4,322","8,652",174,"20,051",698,307,926,19,"1,950","22,001"
State Representative District 090,"6,928","2,712","7,511",199,"17,350","1,201",377,"1,404",36,"3,018","20,368"
State Representative District 091,"5,602","5,721","7,589",122,"19,034",397,314,711,10,"1,432","20,466"
State Representative District 092,"5,607","5,867","9,091",150,"20,715",572,384,869,18,"1,843","22,558"
State Representative District 093,"6,900","5,835","8,496",201,"21,432",785,515,"1,152",28,"2,480","23,912"
State Representative District 094,"6,286","8,567","10,433",155,"25,441",576,747,"1,088",30,"2,441","27,882"
State Representative District 095,"6,201","6,440","8,773",165,"21,579",315,216,429,13,973,"22,552"
