State Representative District,Dem_Active,Rep_Active,NoParty_Active,Other_Active,Total_Active,Dem_Inactive,Rep_Inactive,NoParty_Inactive,Other_Inactive,Total_Inactive,GrandTotal_All
State Representative District 079,"3,727","8,989","6,453",33,"19,202",626,758,"1,126",4,"2,514","21,716"
State Representative District 080,"5,976","6,292","6,758",20,"19,046",492,435,861,2,"1,790","20,836"
State Representative District 081,"7,655","4,093","5,818",20,"17,586",715,352,790,4,"1,861","19,447"
State Representative District 082,"5,903","6,381","6,094",67,"18,445",645,522,"1,171",9,"2,347","20,792"
State Representative District 083,"8,257","3,163","6,644",32,"18,096",697,316,948,1,"1,962","20,058"
State Representative District 084,"4,468","7,094","7,222",22,"18,806",443,388,861,1,"1,693","20,499"
State Representative District 085,"10,277","3,978","8,304",185,"22,744","2,932","1,266","3,205",49,"7,452","30,196"
State Representative District 086,"9,212","3,261","7,213",126,"19,812","2,550","1,115","2,936",41,"6,642","26,454"
State Representative District 087,"8,650","3,889","6,287",30,"18,856",881,337,961,2,"2,181","21,037"
State Representative District 088,"5,759","5,923","6,888",15,"18,585",519,394,904,2,"1,819","20,404"
State Representative District 089,"7,106","4,336","8,458",32,"19,932",878,394,"1,223",4,"2,499","22,431"
State Representative District 090,"7,649","2,654","7,216",48,"17,567","1,459",460,"1,822",7,"3,748","21,315"
State Representative District 091,"5,540","5,604","7,479",29,"18,652",663,625,"1,110",0,"2,398","21,050"
State Representative District 092,"5,731","5,521","8,617",24,"19,893",852,512,"1,365",3,"2,732","22,625"
State Representative District 093,"6,775","6,039","8,014",51,"20,879","1,015",743,"1,610",10,"3,378","24,257"
State Representative District 094,"5,462","8,179","9,140",43,"22,824",717,737,"1,300",1,"2,755","25,579"
State Representative District 095,"6,350","6,142","8,267",60,"20,819",578,358,740,7,"1,683","22,502"
State Representative District 096,"4,531","5,743","8,370",10,"18,654",292,271,731,0,"1,294","19,948"
State Representative District 097,"5,766","5,940","9,024",27,"20,757",487,409,921,3,"1,820","22,577"
State Representative District 098,"6,650","3,824","7,691",23,"18,188","1,047",373,"1,343",4,"2,767","20,955"
State Representative District 099,"8,575","4,860","7,261",50,"20,746",708,409,833,7,"1,957","22,703"
State Representative District 100,"7,959","3,617","6,455",48,"18,079",860,386,905,9,"2,160","20,239"
Totals,"600,745","603,243","707,027","4,061","1,915,076","63,292","45,308","95,122",526,"204,248","2,119,324"
