State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 072,"5,170","6,144","8,310",36,"19,660",300,254,641,0,"1,195","20,855"
State Representative District 073,"6,134","5,898","7,832",62,"19,926",308,239,504,6,"1,057","20,983"
State Representative District 074,"8,312","3,993","6,046",116,"18,467","1,174",495,"1,141",14,"2,824","21,291"
State Representative District 075,"4,893","5,916","9,046",49,"19,904",306,213,691,3,"1,213","21,117"
State Representative District 076,"5,568","6,514","8,859",78,"21,019",638,285,728,5,"1,656","22,675"
State Representative District 077,"7,047","5,179","7,741",109,"20,076",976,637,"1,187",8,"2,808","22,884"
State Representative District 078,"4,602","7,160","7,290",58,"19,110",300,292,661,4,"1,257","20,367"
State Representative District 079,"3,486","9,116","6,597",71,"19,270",430,527,716,4,"1,677","20,947"
State Representative District 080,"5,644","6,391","6,864",40,"18,939",406,333,706,3,"1,448","20,387"
State Representative District 081,"7,296","4,103","5,893",35,"17,327",626,297,742,3,"1,668","18,995"
State Representative District 082,"5,867","6,327","6,079",102,"18,375",430,334,757,14,"1,535","19,910"
State Representative District 083,"7,990","3,162","6,753",49,"17,954",680,281,962,3,"1,926","19,880"
State Representative District 084,"4,262","7,010","7,347",35,"18,654",458,390,882,3,"1,733","20,387"
State Representative District 085,"10,628","3,822","8,527",245,"23,222","1,900",822,"2,101",41,"4,864","28,086"
State Representative District 086,"8,962","2,907","6,675",165,"18,709","1,681",767,"2,100",44,"4,592","23,301"
State Representative District 087,"8,333","3,909","6,570",57,"18,869",705,304,803,5,"1,817","20,686"
State Representative District 088,"5,547","5,943","7,179",42,"18,711",357,306,689,2,"1,354","20,065"
State Representative District 089,"6,988","4,444","8,568",89,"20,089",636,309,870,3,"1,818","21,907"
State Representative District 090,"7,513","2,678","7,269",124,"17,584",895,298,"1,066",8,"2,267","19,851"
State Representative District 091,"5,438","5,814","7,549",39,"18,840",534,490,996,2,"2,022","20,862"
State Representative District 092,"5,689","5,743","8,767",93,"20,292",527,353,894,4,"1,778","22,070"
State Representative District 093,"6,625","6,089","8,213",109,"21,036",746,547,"1,098",13,"2,404","23,440"
State Representative District 094,"5,527","8,414","9,615",131,"23,687",540,631,"1,016",8,"2,195","25,882"
State Representative District 095,"5,906","6,082","8,300",99,"20,387",489,292,726,11,"1,518","21,905"
State Representative District 096,"4,387","5,766","8,517",21,"18,691",154,182,427,1,764,"19,455"
State Representative District 097,"5,573","6,330","9,338",66,"21,307",321,260,655,5,"1,241","22,548"
State Representative District 098,"6,325","3,848","8,081",44,"18,298",809,268,"1,047",5,"2,129","20,427"
State Representative District 099,"8,558","4,939","7,219",91,"20,807",631,373,792,10,"1,806","22,613"
State Representative District 100,"7,695","3,608","6,350",83,"17,736",797,322,836,10,"1,965","19,701"
Totals,"584,307","611,433","724,797","7,479","1,928,016","49,242","35,659","74,294",669,"159,864","2,087,880"
