State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 076,"6,060","6,780",101,"8,427",17,"21,385",788,287,7,890,4,"1,976","23,361"
State Representative District 077,"8,547","5,729",148,"8,425",29,"22,878",772,628,21,"1,012",5,"2,438","25,316"
State Representative District 078,"4,665","7,533",99,"6,917",24,"19,238",273,318,5,592,1,"1,189","20,427"
State Representative District 079,"3,306","10,176",108,"5,945",15,"19,550",375,546,10,737,1,"1,669","21,219"
State Representative District 080,"5,143","7,158",76,"6,455",16,"18,848",374,335,7,724,2,"1,442","20,290"
State Representative District 081,"6,937","4,314",55,"5,489",26,"16,821",527,294,3,781,0,"1,605","18,426"
State Representative District 082,"6,600","6,349",96,"5,604",41,"18,690",447,298,14,635,12,"1,406","20,096"
State Representative District 083,"7,566","3,557",106,"6,609",19,"17,857",577,274,10,933,2,"1,796","19,653"
State Representative District 084,"4,306","7,154",91,"7,008",15,"18,574",336,363,6,793,2,"1,500","20,074"
State Representative District 085,"12,522","3,750",181,"6,890",56,"23,399","2,554","1,178",52,"2,938",19,"6,741","30,140"
State Representative District 086,"10,044","2,940",172,"6,003",52,"19,211","2,264",856,42,"2,364",20,"5,546","24,757"
State Representative District 087,"8,022","4,261",116,"6,467",27,"18,893",730,309,10,878,5,"1,932","20,825"
State Representative District 088,"5,527","6,304",69,"7,410",16,"19,326",264,269,4,561,3,"1,101","20,427"
State Representative District 089,"7,108","4,470",121,"8,513",34,"20,246",700,356,11,880,4,"1,951","22,197"
State Representative District 090,"7,119","2,772",144,"7,437",39,"17,511","1,170",375,26,"1,345",7,"2,923","20,434"
State Representative District 091,"5,706","5,793",78,"7,352",32,"18,961",496,370,8,856,0,"1,730","20,691"
State Representative District 092,"5,776","5,923",119,"8,765",31,"20,614",523,395,6,862,7,"1,793","22,407"
State Representative District 093,"7,056","6,020",139,"8,258",31,"21,504",764,586,27,"1,202",6,"2,585","24,089"
State Representative District 094,"6,268","8,686",138,"9,787",25,"24,904",614,784,20,"1,103",3,"2,524","27,428"
State Representative District 095,"6,376","6,440",122,"8,288",23,"21,249",293,226,6,477,1,"1,003","22,252"
State Representative District 096,"4,187","6,530",59,"8,077",14,"18,867",183,187,4,508,2,884,"19,751"
State Representative District 097,"5,499","6,884",96,"9,433",20,"21,932",284,342,3,629,1,"1,259","23,191"
State Representative District 098,"6,140","4,104",63,"8,093",18,"18,418",521,204,6,833,7,"1,571","19,989"
State Representative District 099,"9,323","5,004",126,"6,817",28,"21,298",663,380,14,716,7,"1,780","23,078"
State Representative District 100,"8,004","3,975",132,"6,400",38,"18,549",766,362,15,837,11,"1,991","20,540"
Totals,"620,639","644,142","11,876","710,580","2,720","1,989,957","49,316","37,356","1,124","73,515",377,"161,688","2,151,645"
