State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 065,8616,3671,4576,222,17085,1607,649,1616,75,3947,21032
State Representative District 066,7852,5274,5773,215,19114,1054,633,1461,61,3209,22323
State Representative District 067,7716,7404,7209,210,22539,807,722,1441,57,3027,25566
State Representative District 068,7737,6285,7003,201,21226,847,672,1393,51,2963,24189
State Representative District 069,7813,4584,6438,247,19082,1298,670,1868,77,3913,22995
State Representative District 070,8240,4564,5986,212,19002,1151,585,1556,79,3371,22373
State Representative District 071,5418,4620,3952,99,14089,991,581,1831,40,3443,17532
State Representative District 072,4777,6775,6097,130,17779,617,573,1697,24,2911,20690
State Representative District 073,6698,6834,6557,153,20242,656,545,1365,41,2607,22849
State Representative District 074,11379,3624,5897,188,21088,1624,571,1524,53,3772,24860
State Representative District 075,4499,7209,6881,137,18726,557,547,1746,34,2884,21610
State Representative District 076,5531,7178,6680,124,19513,1514,640,1806,39,3999,23512
State Representative District 077,9905,6028,8081,199,24213,1064,681,1682,50,3477,27690
State Representative District 078,4422,7591,5624,129,17766,617,784,1583,39,3023,20789
State Representative District 079,3355,9877,4943,146,18321,591,964,1516,29,3100,21421
State Representative District 080,4136,7932,5260,121,17449,741,721,1499,33,2994,20443
State Representative District 081,5467,4662,4437,101,14667,1222,654,1709,35,3620,18287
State Representative District 082,5820,7096,4250,118,17284,861,685,1392,39,2977,20261
State Representative District 083,6166,4297,4636,117,15216,1199,518,2048,54,3819,19035
State Representative District 084,4037,7472,5339,109,16957,707,821,2058,49,3635,20592
State Representative District 085,12414,2446,4708,168,19736,3095,1229,2605,118,7047,26783
State Representative District 086,10520,2364,5036,165,18085,2500,863,2356,82,5801,23886
State Representative District 087,6845,4321,4782,151,16099,1504,675,2020,47,4246,20345
State Representative District 088,4962,6792,5523,101,17378,847,674,1792,32,3345,20723
State Representative District 089,6569,4302,5970,173,17014,1635,726,2764,54,5179,22193
State Representative District 090,5948,2753,4872,185,13758,2358,765,3356,90,6569,20327
State Representative District 091,5226,5816,5337,156,16535,1216,814,2203,62,4295,20830
State Representative District 092,5693,6162,7100,169,19124,1165,753,2313,60,4291,23415
State Representative District 093,7292,5477,6263,184,19216,1532,977,2607,78,5194,24410
State Representative District 094,7403,8683,8507,154,24747,1175,1195,2489,63,4922,29669
State Representative District 095,6581,7019,7146,152,20898,761,524,1438,36,2759,23657
State Representative District 096,4165,7017,6551,80,17813,444,508,1407,19,2378,20191
State Representative District 097,5592,7600,7478,160,20830,687,674,1864,44,3269,24099
State Representative District 098,5599,4655,5623,111,15988,1178,563,2351,41,4133,20121
State Representative District 099,8810,5399,5251,197,19657,1280,664,1549,57,3550,23207
State Representative District 100,7258,4319,4704,168,16449,1439,766,1860,60,4125,20574
Totals,"610,600","665,051","570,565","15,206","1,861,422","99,985","73,752","170,492","4,837","349,066","2,210,488"
