State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 073,"6,121","5,897","7,845",61,"19,924",306,237,502,6,"1,051","20,975"
State Representative District 074,"8,255","3,950","5,952",111,"18,268","1,271",544,"1,259",17,"3,091","21,359"
State Representative District 075,"4,882","5,924","9,054",51,"19,911",306,214,688,3,"1,211","21,122"
State Representative District 076,"5,613","6,524","8,865",78,"21,080",638,286,723,5,"1,652","22,732"
State Representative District 077,"7,015","5,179","7,697",109,"20,000","1,022",669,"1,234",9,"2,934","22,934"
State Representative District 078,"4,604","7,152","7,315",58,"19,129",298,289,658,4,"1,249","20,378"
State Representative District 079,"3,483","9,141","6,614",73,"19,311",429,522,711,4,"1,666","20,977"
State Representative District 080,"5,628","6,390","6,861",38,"18,917",403,331,704,3,"1,441","20,358"
State Representative District 081,"7,294","4,109","5,914",36,"17,353",626,293,738,3,"1,660","19,013"
State Representative District 082,"5,878","6,332","6,086",103,"18,399",428,330,757,14,"1,529","19,928"
State Representative District 083,"7,977","3,157","6,767",50,"17,951",677,281,958,3,"1,919","19,870"
State Representative District 084,"4,248","6,981","7,378",35,"18,642",456,389,873,3,"1,721","20,363"
State Representative District 085,"10,608","3,810","8,464",240,"23,122","1,959",849,"2,163",47,"5,018","28,140"
State Representative District 086,"8,932","2,911","6,652",162,"18,657","1,722",784,"2,133",45,"4,684","23,341"
State Representative District 087,"8,323","3,911","6,596",60,"18,890",699,303,802,5,"1,809","20,699"
State Representative District 088,"5,532","5,946","7,210",43,"18,731",354,305,687,2,"1,348","20,079"
State Representative District 089,"6,981","4,447","8,589",89,"20,106",635,309,864,3,"1,811","21,917"
State Representative District 090,"7,510","2,679","7,308",125,"17,622",892,298,"1,063",8,"2,261","19,883"
State Representative District 091,"5,424","5,818","7,588",41,"18,871",530,488,991,2,"2,011","20,882"
State Representative District 092,"5,686","5,749","8,811",96,"20,342",523,352,891,4,"1,770","22,112"
State Representative District 093,"6,646","6,085","8,242",110,"21,083",744,545,"1,096",12,"2,397","23,480"
State Representative District 094,"5,542","8,437","9,676",132,"23,787",538,630,"1,012",8,"2,188","25,975"
State Representative District 095,"5,908","6,094","8,341",98,"20,441",487,289,724,11,"1,511","21,952"
State Representative District 096,"4,381","5,764","8,535",22,"18,702",153,181,420,1,755,"19,457"
State Representative District 097,"5,582","6,330","9,365",66,"21,343",316,257,650,5,"1,228","22,571"
State Representative District 098,"6,332","3,849","8,124",47,"18,352",801,266,"1,034",5,"2,106","20,458"
State Representative District 099,"8,552","4,936","7,248",90,"20,826",629,369,784,10,"1,792","22,618"
State Representative District 100,"7,684","3,625","6,377",83,"17,769",795,319,825,10,"1,949","19,718"
Totals,"584,111","612,112","726,815","7,555","1,930,593","49,265","35,584","74,172",680,"159,701","2,090,294"
