State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 076,"6,689","7,621","7,716",131,"22,157",651,262,630,15,"1,558","23,715"
State Representative District 077,"10,695","6,412","8,460",227,"25,794",502,413,676,23,"1,614","27,408"
State Representative District 078,"5,063","8,160","6,660",144,"20,027",231,300,507,19,"1,057","21,084"
State Representative District 079,"3,877","10,602","5,691",143,"20,313",371,513,733,10,"1,627","21,940"
State Representative District 080,"4,960","8,339","6,033",133,"19,465",286,324,688,13,"1,311","20,776"
State Representative District 081,"6,697","5,101","5,428",116,"17,342",484,262,678,5,"1,429","18,771"
State Representative District 082,"6,666","7,638","5,110",145,"19,559",434,275,559,19,"1,287","20,846"
State Representative District 083,"7,343","4,644","6,034",147,"18,168",532,278,891,20,"1,721","19,889"
State Representative District 084,"4,644","7,961","6,333",133,"19,071",275,365,713,13,"1,366","20,437"
State Representative District 085,"13,747","2,882","5,134",189,"21,952","2,651","1,215","2,520",100,"6,486","28,438"
State Representative District 086,"11,815","2,709","5,389",197,"20,110","2,125",827,"2,018",65,"5,035","25,145"
State Representative District 087,"8,380","4,918","6,172",175,"19,645",571,250,699,16,"1,536","21,181"
State Representative District 088,"5,867","7,376","6,814",116,"20,173",210,214,435,9,868,"21,041"
State Representative District 089,"7,910","4,936","7,746",195,"20,787",717,336,956,16,"2,025","22,812"
State Representative District 090,"7,855","3,225","6,952",245,"18,277","1,158",382,"1,425",44,"3,009","21,286"
State Representative District 091,"6,354","6,503","6,818",184,"19,859",389,334,705,14,"1,442","21,301"
State Representative District 092,"6,605","6,661","8,377",176,"21,819",570,381,871,22,"1,844","23,663"
State Representative District 093,"8,491","6,241","7,547",220,"22,499",789,546,"1,191",34,"2,560","25,059"
State Representative District 094,"8,226","9,407","9,435",195,"27,263",621,777,"1,168",27,"2,593","29,856"
State Representative District 095,"7,232","7,326","7,871",168,"22,597",309,233,424,9,975,"23,572"
State Representative District 096,"4,673","7,350","7,447",89,"19,559",160,207,477,6,850,"20,409"
State Representative District 097,"6,201","8,036","8,406",177,"22,820",322,344,717,6,"1,389","24,209"
State Representative District 098,"6,681","5,146","7,090",129,"19,046",557,229,872,13,"1,671","20,717"
State Representative District 099,"9,956","5,873","5,955",211,"21,995",743,402,852,26,"2,023","24,018"
State Representative District 100,"8,408","4,853","5,682",204,"19,147",767,444,932,18,"2,161","21,308"
Totals,"699,000","719,590","659,485","17,501","2,095,576","45,474","35,431","66,803","1,808","149,516","2,245,092"
