State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 083,6884,7523,7423,171,22001,787,542,1309,38,2676,24677
State Representative District 084,5196,7608,7655,162,20621,523,509,1567,30,2629,23250
State Representative District 085,9300,4605,6897,188,20990,1130,615,1443,48,3236,24226
State Representative District 086,10304,2940,5852,146,19242,1868,621,1580,45,4114,23356
State Representative District 087,5508,7463,4970,147,18088,1081,882,1946,52,3961,22049
State Representative District 088,3715,9377,5154,153,18399,660,800,1595,28,3083,21482
State Representative District 089,10380,2083,5427,183,18073,2870,947,2586,102,6505,24578
State Representative District 090,12142,2522,5191,136,19991,3024,1081,2398,94,6597,26588
State Representative District 091,6378,8193,7462,149,22182,598,555,1351,40,2544,24726
State Representative District 092,5241,7557,5792,148,18738,630,675,1461,48,2814,21552
State Representative District 093,6095,8000,7724,154,21973,963,1102,2077,50,4192,26165
State Representative District 094,6162,7047,7216,147,20572,1163,963,2239,66,4431,25003
State Representative District 095,4643,8561,6385,125,19714,782,732,1919,31,3464,23178
State Representative District 096,5160,6072,5790,157,17179,1171,807,2188,64,4230,21409
State Representative District 097,7010,3710,5788,184,16692,2301,894,3185,81,6461,23153
State Representative District 098,6337,4276,6337,197,17147,1977,837,3169,90,6073,23220
State Representative District 099,7154,5485,5754,178,18571,1474,726,2048,51,4299,22870
State Representative District 100,6548,5429,5718,139,17834,1161,569,2123,51,3904,21738
Totals,"601,821","695,420","596,142","15,586","1,908,969","99,049","71,195","164,267","4,761","339,272","2,248,241"
