State Representative District,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 085,8945,4831,7531,186,21493,800,366,1112,41,2319,23812
State Representative District 086,9604,3182,6711,151,19648,1392,375,1292,49,3108,22756
State Representative District 087,4665,7589,4828,150,17232,589,496,1097,36,2218,19450
State Representative District 088,3046,9495,4815,150,17506,390,644,942,36,2012,19518
State Representative District 089,9409,2290,5939,184,17822,1950,515,1842,64,4371,22193
State Representative District 090,11550,2942,6295,177,20964,1621,427,1284,35,3367,24331
State Representative District 091,5970,8537,7715,169,22391,461,435,1063,16,1975,24366
State Representative District 092,4780,7609,5602,130,18121,458,483,1040,35,2016,20137
State Representative District 093,5671,8510,8078,169,22428,579,553,1144,24,2300,24728
State Representative District 094,5644,7367,7453,176,20640,653,471,1137,34,2295,22935
State Representative District 095,3896,8768,6256,147,19067,479,572,1116,22,2189,21256
State Representative District 096,4348,6169,5843,177,16537,753,553,1358,47,2711,19248
State Representative District 097,6235,3896,5954,184,16269,1061,401,1657,59,3178,19447
State Representative District 098,5438,4467,6346,197,16448,1022,465,1616,57,3160,19608
State Representative District 099,6054,5631,5970,193,17848,810,482,1275,35,2602,20450
State Representative District 100,5478,6003,5729,123,17333,697,482,1218,37,2434,19767
Totals,"534,684","726,311","602,957","16,196","1,880,148","66,382","50,304","109,707","3,398","229,791","2,109,939"
