State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 067,"6,106","7,187",155,"8,204",34,"21,686",392,449,9,656,2,"1,508","23,194"
State Representative District 068,"6,647","6,189",166,"8,326",42,"21,370",412,334,18,619,5,"1,388","22,758"
State Representative District 069,"7,206","4,120",162,"7,482",58,"19,028",638,255,18,697,6,"1,614","20,642"
State Representative District 070,"7,805","4,671",185,"7,373",43,"20,077",551,286,15,633,7,"1,492","21,569"
State Representative District 071,"5,203","4,784",49,"6,180",22,"16,238",430,282,6,683,1,"1,402","17,640"
State Representative District 072,"4,901","6,391",57,"8,291",16,"19,656",262,216,3,575,0,"1,056","20,712"
State Representative District 073,"6,163","6,187",84,"7,883",19,"20,336",274,226,7,478,6,991,"21,327"
State Representative District 074,"8,892","3,811",129,"5,968",42,"18,842","1,348",513,26,"1,104",10,"3,001","21,843"
State Representative District 075,"4,462","6,725",74,"8,701",15,"19,977",253,274,6,616,3,"1,152","21,129"
State Representative District 076,"5,757","6,585",80,"8,456",18,"20,896",809,298,9,923,4,"2,043","22,939"
State Representative District 077,"8,000","5,727",138,"8,392",31,"22,288",824,657,20,"1,037",5,"2,543","24,831"
State Representative District 078,"4,421","7,623",77,"6,903",29,"19,053",284,346,6,611,1,"1,248","20,301"
State Representative District 079,"3,262","9,872",86,"6,101",14,"19,335",395,577,8,755,1,"1,736","21,071"
State Representative District 080,"5,067","6,998",62,"6,602",18,"18,747",387,343,7,740,3,"1,480","20,227"
State Representative District 081,"6,749","4,273",49,"5,605",31,"16,707",563,313,4,806,0,"1,686","18,393"
State Representative District 082,"6,094","6,377",64,"5,809",55,"18,399",451,307,14,660,12,"1,444","19,843"
State Representative District 083,"7,516","3,451",79,"6,682",19,"17,747",589,283,9,950,2,"1,833","19,580"
State Representative District 084,"4,159","7,043",67,"7,138",15,"18,422",356,379,6,817,2,"1,560","19,982"
State Representative District 085,"11,603","3,665",178,"6,854",65,"22,365","2,635","1,191",50,"2,986",22,"6,884","29,249"
State Representative District 086,"9,626","2,979",143,"6,211",64,"19,023","2,080",786,35,"2,166",20,"5,087","24,110"
State Representative District 087,"7,907","4,197",91,"6,495",32,"18,722",758,315,11,894,5,"1,983","20,705"
State Representative District 088,"5,366","6,289",55,"7,395",14,"19,119",274,276,4,584,3,"1,141","20,260"
State Representative District 089,"6,859","4,419",98,"8,544",34,"19,954",708,361,11,905,4,"1,989","21,943"
State Representative District 090,"6,959","2,712",127,"7,497",46,"17,341","1,177",375,26,"1,368",7,"2,953","20,294"
State Representative District 091,"5,555","5,782",63,"7,347",32,"18,779",509,377,8,875,1,"1,770","20,549"
State Representative District 092,"5,602","5,904",103,"8,753",32,"20,394",536,413,7,873,7,"1,836","22,230"
State Representative District 093,"6,704","6,017",123,"8,289",36,"21,169",767,574,27,"1,210",5,"2,583","23,752"
State Representative District 094,"5,893","8,619",129,"9,871",31,"24,543",619,789,19,"1,114",3,"2,544","27,087"
State Representative District 095,"5,996","6,422",107,"8,435",24,"20,984",304,231,6,489,2,"1,032","22,016"
State Representative District 096,"4,050","6,356",38,"8,242",13,"18,699",205,184,5,535,2,931,"19,630"
State Representative District 097,"5,343","6,677",82,"9,537",22,"21,661",300,353,5,650,0,"1,308","22,969"
State Representative District 098,"6,094","4,008",46,"8,129",23,"18,300",522,213,6,840,8,"1,589","19,889"
State Representative District 099,"8,672","5,063",92,"7,016",29,"20,872",682,391,14,729,7,"1,823","22,695"
State Representative District 100,"7,733","3,936",116,"6,362",38,"18,185",789,373,15,861,11,"2,049","20,234"
Totals,"590,036","638,565","9,669","718,871","2,862","1,960,003","51,138","38,700","1,176","75,713",392,"167,119","2,127,122"
