State Representative District,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
State Representative District 065,5780,6860,73,5115,10,17838,1461,1551,46,2699,16,5773,23611
State Representative District 066,4492,6709,57,5324,5,16587,1158,1369,37,3622,11,6197,22784
State Representative District 067,4086,6900,67,5817,12,16882,1032,1253,34,3238,13,5570,22452
State Representative District 068,3964,5771,56,4974,11,14776,1237,1247,46,3214,16,5760,20536
State Representative District 069,4602,4718,63,4818,19,14220,2378,1477,72,4724,27,8678,22898
State Representative District 070,4448,6726,68,5527,14,16783,1449,1466,50,3797,31,6793,23576
State Representative District 071,6068,3716,115,3552,19,13470,2900,1492,105,3741,35,8273,21743
State Representative District 072,6475,4896,79,4115,23,15588,2246,1337,101,3018,28,6730,22318
State Representative District 073,5852,5745,117,5717,21,17452,1570,1418,69,2794,15,5866,23318
State Representative District 074,6064,4246,92,4790,20,15212,2123,1257,113,3082,31,6606,21818
State Representative District 075,5655,4739,90,4589,27,15100,2081,1346,74,3147,20,6668,21768
State Representative District 076,4762,6388,97,5351,18,16616,1636,1464,54,3123,25,6302,22918
State Representative District 077,5004,3082,98,4114,34,12332,2582,1155,91,3340,40,7208,19540
State Representative District 078,6681,2828,123,3607,34,13273,3232,1214,98,3269,46,7859,21132
State Representative District 079,6200,3686,88,4436,29,14439,2369,1124,101,3250,30,6874,21313
State Representative District 080,5968,5484,99,5037,34,16622,1958,1296,92,3013,31,6390,23012
State Representative District 081,4765,4202,91,4560,19,13637,2911,1394,82,4628,30,9045,22682
State Representative District 082,4134,6354,88,5128,15,15719,1450,1385,51,3298,22,6206,21925
State Representative District 083,5724,6695,108,5897,11,18435,1596,1272,70,3025,12,5975,24410
State Representative District 084,4395,6776,88,6232,14,17505,1073,1273,68,3289,14,5717,23222
State Representative District 085,7891,3857,108,5483,12,17351,2042,1113,77,2985,21,6238,23589
State Representative District 086,8283,2349,73,4427,25,15157,3156,963,56,3068,30,7273,22430
State Representative District 087,4348,6239,74,3512,27,14200,1760,1748,62,3373,31,6974,21174
State Representative District 088,2818,7803,83,3404,10,14118,1351,2217,79,3242,13,6902,21020
State Representative District 089,7907,1471,58,3513,41,12990,4061,1127,107,3799,41,9135,22125
State Representative District 090,10053,1910,75,3747,33,15818,3611,1077,62,2956,26,7732,23550
State Representative District 091,5382,7177,103,5912,18,18592,1398,1438,60,3232,17,6145,24737
State Representative District 092,4257,6434,68,4028,17,14804,1390,1653,81,3186,16,6326,21130
State Representative District 093,4972,7036,96,6121,20,18245,1731,1796,74,3633,13,7247,25492
State Representative District 094,4947,6066,77,5601,22,16713,1930,1555,90,3767,25,7367,24080
State Representative District 095,3444,7292,74,4546,7,15363,1695,1864,68,3842,13,7482,22845
State Representative District 096,3652,5067,69,3752,25,12565,2415,1690,87,4183,45,8420,20985
State Representative District 097,5058,2985,91,3835,22,11991,3511,1368,117,4913,29,9938,21929
State Representative District 098,4404,3401,87,4186,21,12099,3273,1485,114,5107,50,10029,22128
State Representative District 099,5316,4464,92,3917,19,13808,2863,1649,86,4079,31,8708,22516
State Representative District 100,5040,4491,74,4027,8,13640,2242,1442,75,3778,25,7562,21202
Totals,"471,059","590,305","8,471","436,213","1,793","1,507,841","194,629","160,460","7,345","329,298","2,426","694,158","2,201,999"
