State Representative District,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
State Representative District 091,"5,554","5,925","7,498",33,"19,010",622,591,"1,069",0,"2,282","21,292"
State Representative District 092,"5,725","5,696","8,616",52,"20,089",859,510,"1,364",5,"2,738","22,827"
State Representative District 093,"6,811","6,240","8,146",73,"21,270",973,695,"1,542",10,"3,220","24,490"
State Representative District 094,"5,556","8,579","9,408",85,"23,628",681,686,"1,234",0,"2,601","26,229"
State Representative District 095,"5,958","6,078","7,934",69,"20,039",885,510,"1,217",14,"2,626","22,665"
State Representative District 096,"4,544","5,901","8,374",13,"18,832",267,247,689,0,"1,203","20,035"
State Representative District 097,"5,714","6,315","9,058",46,"21,133",445,371,867,3,"1,686","22,819"
State Representative District 098,"6,629","3,943","7,880",29,"18,481",949,340,"1,271",5,"2,565","21,046"
State Representative District 099,"8,847","5,034","7,144",72,"21,097",658,391,790,6,"1,845","22,942"
State Representative District 100,"8,125","3,739","6,458",63,"18,385",808,359,856,8,"2,031","20,416"
Totals,"602,048","620,353","709,443","5,446","1,937,290","64,079","43,967","96,347",617,"205,010","2,142,300"
