County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,022","1,891","2,055",9,"4,977",66,67,162,0,295,"5,272"
Adams,597,947,"1,179",4,"2,727",30,31,105,0,166,"2,893"
Allamakee,"2,066","4,111","3,177",14,"9,368",126,131,252,0,509,"9,877"
Appanoose,"2,373","2,773","3,004",11,"8,161",214,184,394,0,792,"8,953"
Audubon,"1,202","1,517","1,432",11,"4,162",45,52,106,0,203,"4,365"
Benton,"4,195","4,958","7,551",42,"16,746",276,188,603,3,"1,070","17,816"
Black Hawk,"28,125","20,179","31,484",405,"80,193","1,988","1,025","2,496",37,"5,546","85,739"
Boone,"4,997","5,396","7,104",59,"17,556",275,290,624,3,"1,192","18,748"
Bremer,"3,554","4,909","7,638",40,"16,141",202,182,467,4,855,"16,996"
Buchanan,"3,581","3,063","6,536",18,"13,198",178,128,448,1,755,"13,953"
Buena Vista,"2,854","3,928","4,684",21,"11,487",169,180,252,2,603,"12,090"
Butler,"1,639","4,407","3,569",13,"9,628",88,104,195,0,387,"10,015"
Calhoun,"1,293","2,330","2,630",13,"6,266",97,100,240,4,441,"6,707"
Carroll,"3,810","3,870","6,223",47,"13,950",205,200,541,4,950,"14,900"
Cass,"1,495","4,639","3,050",13,"9,197",111,234,333,0,678,"9,875"
Cedar,"3,000","3,646","4,677",29,"11,352",171,133,297,2,603,"11,955"
Cerro Gordo,"8,832","7,782","12,563",52,"29,229",596,401,"1,143",3,"2,143","31,372"
Cherokee,"1,770","3,118","3,045",17,"7,950",136,166,367,2,671,"8,621"
Chickasaw,"2,627","2,171","3,608",15,"8,421",133,109,291,1,534,"8,955"
Clarke,"1,496","1,748","2,229",11,"5,484",103,118,276,1,498,"5,982"
Clay,"2,299","4,407","4,233",18,"10,957",241,265,486,0,992,"11,949"
Clayton,"3,262","3,276","4,853",28,"11,419",138,118,268,2,526,"11,945"
Clinton,"9,831","7,167","13,351",59,"30,408","1,048",396,"1,440",6,"2,890","33,298"
Crawford,"2,524","3,096","3,527",7,"9,154",143,105,257,0,505,"9,659"
Dallas,"10,314","17,243","20,369",176,"48,102",910,"1,361","2,184",11,"4,466","52,568"
Davis,"1,769","1,500","1,467",4,"4,740",112,70,179,1,362,"5,102"
Decatur,"1,362","1,528","1,471",11,"4,372",65,47,79,0,191,"4,563"
Delaware,"2,458","3,739","5,002",7,"11,206",82,106,201,0,389,"11,595"
Des Moines,"10,713","5,963","8,863",67,"25,606",789,402,948,6,"2,145","27,751"
Dickinson,"2,353","5,115","4,659",30,"12,157",138,210,293,3,644,"12,801"
Dubuque,"24,199","14,900","22,556",223,"61,878","1,695",920,"2,086",24,"4,725","66,603"
Emmet,"1,838","1,616","2,777",8,"6,239",242,168,534,0,944,"7,183"
Fayette,"3,439","3,863","4,190",37,"11,529",195,124,305,5,629,"12,158"
Floyd,"3,036","2,576","4,795",14,"10,421",167,105,324,3,599,"11,020"
Franklin,"1,218","3,011","2,310",6,"6,545",61,67,170,2,300,"6,845"
Fremont,"1,093","1,955","1,631",7,"4,686",154,216,318,1,689,"5,375"
Greene,"1,770","2,071","2,308",12,"6,161",103,125,246,1,475,"6,636"
Grundy,"1,374","3,949","3,084",18,"8,425",67,123,235,3,428,"8,853"
Guthrie,"1,707","2,616","2,990",26,"7,339",106,137,294,0,537,"7,876"
Hamilton,"2,450","3,418","3,838",30,"9,736",139,168,293,1,601,"10,337"
Hancock,"1,450","3,188","2,850",8,"7,496",117,119,292,1,529,"8,025"
Hardin,"2,472","4,536","3,944",17,"10,969",231,220,414,3,868,"11,837"
Harrison,"2,056","3,531","2,345",32,"7,964",35,47,58,2,142,"8,106"
Henry,"2,655","4,990","4,874",26,"12,545",384,321,705,2,"1,412","13,957"
Howard,"1,712","1,375","2,671",4,"5,762",108,80,278,0,466,"6,228"
Humboldt,"1,220","2,576","2,383",4,"6,183",86,89,195,0,370,"6,553"
Ida,822,"2,153","1,792",12,"4,779",52,105,202,0,359,"5,138"
Iowa,"2,572","3,822","4,983",27,"11,404",152,197,370,3,722,"12,126"
Jackson,"5,177","2,767","5,754",21,"13,719",282,158,535,3,978,"14,697"
Jasper,"7,970","7,073","8,754",45,"23,842",480,373,842,3,"1,698","25,540"
Jefferson,"3,314","3,303","3,323",74,"10,014",275,180,433,13,901,"10,915"
Johnson,"37,369","17,437","30,967",640,"86,413","5,963","2,876","6,810",114,"15,763","102,176"
Jones,"3,174","3,625","5,995",18,"12,812",130,116,351,1,598,"13,410"
Keokuk,"1,973","2,240","2,334",8,"6,555",144,93,277,2,516,"7,071"
Kossuth,"3,182","3,321","4,349",14,"10,866",103,108,272,1,484,"11,350"
Lee,"9,174","3,991","8,221",50,"21,436",742,330,"1,097",4,"2,173","23,609"
Linn,"46,233","36,687","51,141",757,"134,818","4,976","2,684","6,043",77,"13,780","148,598"
Louisa,"1,610","2,318","2,545",12,"6,485",202,140,393,1,736,"7,221"
Lucas,"1,298","2,156","1,997",9,"5,460",77,103,206,1,387,"5,847"
Lyon,822,"5,338","1,728",6,"7,894",90,187,166,0,443,"8,337"
Madison,"2,664","3,897","3,879",22,"10,462",154,221,340,0,715,"11,177"
