County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,734,2211,1348,24,4317,105,220,430,12,767,5084
Adams,378,1148,731,9,2266,53,109,247,1,410,2676
Allamakee,1493,4237,1955,42,7727,309,561,919,20,1809,9536
Appanoose,1331,3567,1964,48,6910,245,411,676,14,1346,8256
Audubon,736,1851,824,23,3434,87,139,213,11,450,3884
Benton,3055,6695,5536,92,15378,372,555,1332,37,2296,17674
Black Hawk,23340,20910,21447,628,66325,4915,2417,6746,203,14281,80606
Boone,4087,6361,5884,120,16452,517,665,1468,37,2687,19139
Bremer,3405,5810,6107,84,15406,450,485,1197,18,2150,17556
Buchanan,2832,4078,4534,65,11509,341,366,1140,19,1866,13375
Buena Vista,1892,3824,2394,55,8165,688,652,1099,24,2463,10628
Butler,1431,4551,2537,47,8566,187,382,599,18,1186,9752
Calhoun,846,2930,1683,37,5496,149,302,428,5,884,6380
Carroll,2390,5507,4128,110,12135,349,557,980,25,1911,14046
Cass,1180,4355,1978,46,7559,188,455,653,16,1312,8871
Cedar,2665,4672,3799,83,11219,317,367,823,24,1531,12750
Cerro Gordo,6797,9032,8465,186,24480,1123,980,2679,61,4843,29323
Cherokee,900,4060,1494,40,6494,188,344,550,9,1091,7585
Chickasaw,1608,2843,2211,29,6691,179,237,531,8,955,7646
Clarke,961,2399,1324,44,4728,194,238,507,17,956,5684
Clay,1513,5199,2371,81,9164,291,626,778,28,1723,10887
Clayton,2182,4841,2966,53,10042,338,488,730,22,1578,11620
Clinton,6857,9417,9274,171,25719,1176,1054,3305,71,5606,31325
Crawford,1390,3717,1931,43,7081,430,507,846,25,1808,8889
Dallas,18091,24310,23266,565,66232,2389,2587,5461,140,10577,76809
Davis,819,2482,848,23,4172,122,219,309,9,659,4831
Decatur,739,2114,992,28,3873,190,238,330,11,769,4642
Delaware,1994,4861,3843,55,10753,189,359,752,10,1310,12063
Des Moines,6588,7207,6542,192,20529,1258,935,2458,57,4708,25237
Dickinson,2091,6470,3512,84,12157,322,734,876,32,1964,14121
Dubuque,19992,19769,16044,492,56297,3171,2294,5299,185,10949,67246
Emmet,1081,2411,1623,27,5142,188,262,511,11,972,6114
Fayette,2304,4795,3351,59,10509,366,409,804,18,1597,12106
Floyd,2002,2982,3235,39,8258,347,310,918,20,1595,9853
Franklin,887,2841,1464,28,5220,151,244,524,9,928,6148
Fremont,668,2493,868,30,4059,109,328,309,17,763,4822
Greene,1100,2490,1586,44,5220,174,285,389,18,866,6086
Grundy,1228,4225,2178,54,7685,158,334,491,14,997,8682
Guthrie,1322,3281,2298,46,6947,152,281,539,14,986,7933
Hamilton,1646,4154,2284,43,8127,285,397,731,14,1427,9554
Hancock,1047,3567,1644,49,6307,179,339,522,12,1052,7359
Hardin,1873,4718,2426,64,9081,311,551,737,21,1620,10701
Harrison,1485,4645,2006,85,8221,237,505,488,23,1253,9474
Henry,1966,4964,3231,69,10230,312,604,1098,34,2048,12278
Howard,1194,1805,2207,24,5230,117,159,518,8,802,6032
Humboldt,775,2788,1689,34,5286,143,333,555,5,1036,6322
