County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,030","1,898","2,010",9,"4,947",68,66,174,0,308,"5,255"
Adams,599,957,"1,161",3,"2,720",30,33,107,0,170,"2,890"
Allamakee,"2,086","4,142","3,097",11,"9,336",131,137,258,0,526,"9,862"
Appanoose,"2,401","2,776","2,978",9,"8,164",227,191,400,0,818,"8,982"
Audubon,"1,216","1,527","1,401",8,"4,152",46,54,109,0,209,"4,361"
Benton,"4,253","4,947","7,441",37,"16,678",285,202,617,3,"1,107","17,785"
Black Hawk,"28,125","20,119","31,078",351,"79,673","2,020","1,036","2,525",37,"5,618","85,291"
Boone,"5,073","5,388","6,974",55,"17,490",254,277,593,3,"1,127","18,617"
Bremer,"3,568","4,928","7,456",39,"15,991",212,192,496,4,904,"16,895"
Buchanan,"3,630","3,049","6,391",16,"13,086",190,133,460,1,784,"13,870"
Buena Vista,"2,828","3,926","4,653",19,"11,426",174,180,257,2,613,"12,039"
Butler,"1,652","4,421","3,465",12,"9,550",91,103,198,0,392,"9,942"
Calhoun,"1,318","2,337","2,634",14,"6,303",90,94,217,3,404,"6,707"
Carroll,"3,841","3,847","6,141",47,"13,876",214,205,556,4,979,"14,855"
Cass,"1,491","4,661","2,980",13,"9,145",118,243,334,0,695,"9,840"
Cedar,"3,028","3,636","4,631",30,"11,325",176,139,307,2,624,"11,949"
Cerro Gordo,"8,878","7,806","12,301",51,"29,036",616,415,"1,195",3,"2,229","31,265"
Cherokee,"1,802","3,137","2,974",18,"7,931",138,176,378,2,694,"8,625"
Chickasaw,"2,644","2,181","3,547",13,"8,385",133,110,298,1,542,"8,927"
Clarke,"1,499","1,752","2,188",10,"5,449",106,123,278,1,508,"5,957"
Clay,"2,322","4,418","4,133",14,"10,887",247,274,494,0,"1,015","11,902"
Clayton,"3,271","3,267","4,782",24,"11,344",142,120,271,2,535,"11,879"
Clinton,"9,901","7,161","13,094",51,"30,207","1,271",534,"1,787",6,"3,598","33,805"
Crawford,"2,546","3,087","3,426",7,"9,066",145,113,265,0,523,"9,589"
Dallas,"10,170","16,880","19,464",152,"46,666",946,"1,411","2,262",11,"4,630","51,296"
Davis,"1,801","1,491","1,418",3,"4,713",114,76,184,1,375,"5,088"
Decatur,"1,358","1,537","1,471",10,"4,376",72,48,85,0,205,"4,581"
Delaware,"2,465","3,759","4,943",4,"11,171",85,108,208,0,401,"11,572"
Des Moines,"10,764","5,938","8,616",55,"25,373",803,419,967,6,"2,195","27,568"
Dickinson,"2,333","5,047","4,494",26,"11,900",138,216,302,3,659,"12,559"
Dubuque,"24,338","14,823","22,183",201,"61,545","1,655",914,"2,045",21,"4,635","66,180"
Emmet,"1,861","1,599","2,746",8,"6,214",247,170,547,0,964,"7,178"
Fayette,"3,479","3,879","4,172",34,"11,564",208,128,311,5,652,"12,216"
Floyd,"3,037","2,568","4,701",13,"10,319",171,110,327,3,611,"10,930"
Franklin,"1,225","3,025","2,274",6,"6,530",60,72,175,2,309,"6,839"
Fremont,"1,095","1,956","1,603",6,"4,660",157,217,325,1,700,"5,360"
Greene,"1,775","2,075","2,263",10,"6,123",109,129,258,1,497,"6,620"
Grundy,"1,380","3,955","3,010",16,"8,361",70,128,242,4,444,"8,805"
Guthrie,"1,723","2,636","2,779",25,"7,163",112,144,302,1,559,"7,722"
Hamilton,"2,471","3,434","3,766",23,"9,694",146,171,303,1,621,"10,315"
Hancock,"1,445","3,202","2,763",7,"7,417",123,124,293,1,541,"7,958"
Hardin,"2,478","4,545","3,908",16,"10,947",238,207,403,2,850,"11,797"
Harrison,"2,067","3,537","2,296",31,"7,931",37,48,63,2,150,"8,081"
Henry,"2,652","5,009","4,761",25,"12,447",386,326,722,2,"1,436","13,883"
Howard,"1,734","1,386","2,600",4,"5,724",111,80,278,0,469,"6,193"
Humboldt,"1,235","2,578","2,378",5,"6,196",89,95,205,0,389,"6,585"
Ida,830,"2,146","1,764",11,"4,751",54,106,210,0,370,"5,121"
Iowa,"2,589","3,797","4,886",23,"11,295",160,202,383,2,747,"12,042"
Jackson,"5,207","2,771","5,599",19,"13,596",295,159,541,3,998,"14,594"
Jasper,"8,037","7,072","8,464",40,"23,613",504,386,889,3,"1,782","25,395"
Jefferson,"3,305","3,331","3,289",70,"9,995",277,182,437,11,907,"10,902"
Johnson,"37,321","17,564","31,101",580,"86,566","5,482","2,568","6,170",99,"14,319","100,885"
Jones,"3,211","3,640","5,867",17,"12,735",139,117,369,1,626,"13,361"
Keokuk,"1,997","2,234","2,293",5,"6,529",143,92,273,2,510,"7,039"
Kossuth,"3,210","3,328","4,294",11,"10,843",107,110,290,1,508,"11,351"
Lee,"9,277","3,971","8,013",46,"21,307",760,337,"1,106",5,"2,208","23,515"
Linn,"46,063","36,454","49,946",666,"133,129","5,168","2,785","6,271",78,"14,302","147,431"
Louisa,"1,628","2,327","2,473",12,"6,440",206,147,397,1,751,"7,191"
Lucas,"1,303","2,152","1,954",8,"5,417",83,109,224,1,417,"5,834"
Lyon,826,"5,333","1,668",4,"7,831",95,195,171,0,461,"8,292"
Madison,"2,690","3,888","3,773",21,"10,372",159,227,350,0,736,"11,108"
Mahaska,"2,819","5,807","4,794",48,"13,468",292,280,497,3,"1,072","14,540"
Marion,"5,064","8,936","7,551",42,"21,593",416,568,744,5,"1,733","23,326"
Marshall,"6,843","7,280","8,967",33,"23,123",661,528,"1,088",2,"2,279","25,402"
Mills,"1,878","4,769","3,007",26,"9,680",184,290,400,3,877,"10,557"
Mitchell,"1,703","2,399","2,711",10,"6,823",108,110,183,1,402,"7,225"
Monona,"1,889","1,826","2,337",8,"6,060",128,127,227,0,482,"6,542"
Monroe,"1,602","1,484","1,517",6,"4,609",101,76,143,3,323,"4,932"
Montgomery,975,"3,637","2,051",5,"6,668",97,206,266,1,570,"7,238"
Muscatine,"7,456","7,856","10,357",49,"25,718",617,589,"1,156",1,"2,363","28,081"
O'Brien,"1,262","5,239","2,608",15,"9,124",100,229,307,2,638,"9,762"
Osceola,488,"2,482","1,076",4,"4,050",32,102,131,0,265,"4,315"
Page,"1,492","4,192","3,346",13,"9,043",175,252,544,5,976,"10,019"
Palo Alto,"2,191","1,585","2,149",12,"5,937",129,88,230,0,447,"6,384"
Plymouth,"3,045","7,646","5,403",33,"16,127",297,445,623,3,"1,368","17,495"
Pocahontas,"1,041","1,647","2,188",15,"4,891",54,74,174,1,303,"5,194"
Polk,"100,744","80,977","83,961","1,390","267,072","5,895","4,014","6,439",87,"16,435","283,507"
Pottawattamie,"14,686","19,859","18,348",202,"53,095","2,022","1,715","2,985",34,"6,756","59,851"
Poweshiek,"3,538","3,623","5,175",47,"12,383",549,128,496,2,"1,175","13,558"
Ringgold,830,"1,437",739,2,"3,008",48,53,72,0,173,"3,181"
Sac,"1,279","3,052","2,498",6,"6,835",82,122,218,0,422,"7,257"
Scott,"34,109","30,124","45,032",480,"109,745","3,484","2,322","5,269",36,"11,111","120,856"
Shelby,"1,754","3,536","2,603",10,"7,903",68,71,131,1,271,"8,174"
Sioux,"1,602","14,271","3,813",26,"19,712",110,504,417,3,"1,034","20,746"
Story,"15,365","15,745","21,623",370,"53,103","2,300","1,589","3,511",64,"7,464","60,567"
Tama,"3,101","3,227","4,567",16,"10,911",164,133,388,0,685,"11,596"
Taylor,697,"1,798","1,213",7,"3,715",80,111,242,0,433,"4,148"
Union,"1,637","2,682","3,109",13,"7,441",84,104,245,0,433,"7,874"
Van Buren,968,"2,091","1,531",19,"4,609",71,110,194,0,375,"4,984"
Wapello,"8,578","4,961","6,893",42,"20,474",739,366,886,3,"1,994","22,468"
Warren,"9,238","10,667","10,954",74,"30,933",628,616,"1,098",6,"2,348","33,281"
Washington,"2,873","5,541","5,190",47,"13,651",166,213,430,2,811,"14,462"
Wayne,939,"1,330","1,148",3,"3,420",56,79,92,0,227,"3,647"
Webster,"8,188","6,359","8,375",56,"22,978",689,457,"1,093",6,"2,245","25,223"
Winnebago,"1,477","2,831","2,789",8,"7,105",132,126,254,0,512,"7,617"
Winneshiek,"3,463","4,273","5,263",24,"13,023",209,117,303,0,629,"13,652"
Woodbury,"17,723","18,553","18,766",157,"55,199","1,742","1,283","2,249",18,"5,292","60,491"
Worth,"1,429","1,695","2,029",3,"5,156",122,78,269,2,471,"5,627"
Wright,"1,830","3,390","2,598",11,"7,829",155,223,307,1,686,"8,515"
Totals,"585,178","609,042","703,208","6,406","1,903,834","49,819","36,711","75,763",643,"162,936","2,066,770"
