County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,023","1,961","2,082",16,"5,082",70,63,138,0,271,"5,353"
Adams,593,995,"1,190",7,"2,785",28,28,93,0,149,"2,934"
Allamakee,"2,170","4,315","3,193",26,"9,704",112,127,253,0,492,"10,196"
Appanoose,"2,410","3,002","3,097",23,"8,532",193,177,362,1,733,"9,265"
Audubon,976,"2,061","1,260",15,"4,312",34,43,99,0,176,"4,488"
Benton,"4,097","6,038","7,314",75,"17,524",237,189,536,3,965,"18,489"
Black Hawk,"30,829","22,121","30,418",605,"83,973","1,892","1,040","2,360",37,"5,329","89,302"
Boone,"5,392","5,923","6,985",99,"18,399",238,291,560,1,"1,090","19,489"
Bremer,"4,044","5,443","7,509",73,"17,069",202,199,468,8,877,"17,946"
Buchanan,"3,662","3,353","6,536",36,"13,587",143,123,432,1,699,"14,286"
Buena Vista,"3,067","4,224","4,663",48,"12,002",181,182,289,2,654,"12,656"
Butler,"1,729","4,608","3,469",27,"9,833",73,90,175,0,338,"10,171"
Calhoun,"1,310","2,590","2,634",19,"6,553",85,86,188,4,363,"6,916"
Carroll,"3,783","4,279","6,147",65,"14,274",208,179,492,3,882,"15,156"
Cass,"1,518","4,865","2,994",30,"9,407",111,225,323,0,659,"10,066"
Cedar,"3,186","3,989","4,883",67,"12,125",151,122,266,3,542,"12,667"
Cerro Gordo,"9,055","8,470","12,632",82,"30,239",564,377,"1,063",2,"2,006","32,245"
Cherokee,"1,604","3,784","2,779",24,"8,191",126,157,326,2,611,"8,802"
Chickasaw,"2,594","2,494","3,418",27,"8,533",108,108,284,1,501,"9,034"
Clarke,"1,574","1,909","2,287",24,"5,794",101,96,247,1,445,"6,239"
Clay,"1,985","5,838","3,597",38,"11,458",232,260,474,1,967,"12,425"
Clayton,"3,467","3,552","4,539",35,"11,593",161,136,319,3,619,"12,212"
Clinton,"10,245","7,898","13,688",114,"31,945",902,369,"1,280",6,"2,557","34,502"
Crawford,"2,544","3,367","3,656",24,"9,591",159,141,307,2,609,"10,200"
Dallas,"13,127","20,336","20,856",306,"54,625",822,"1,279","1,986",10,"4,097","58,722"
Davis,"1,725","1,766","1,441",12,"4,944",109,72,160,1,342,"5,286"
Decatur,"1,484","1,871","1,524",26,"4,905",57,40,77,1,175,"5,080"
Delaware,"2,399","4,513","4,740",31,"11,683",76,94,171,0,341,"12,024"
Des Moines,"10,775","6,771","9,034",140,"26,720",766,407,938,6,"2,117","28,837"
Dickinson,"2,486","5,615","4,825",48,"12,974",131,209,280,4,624,"13,598"
Dubuque,"26,504","16,718","22,227",338,"65,787","1,670",926,"2,019",28,"4,643","70,430"
Emmet,"1,823","1,861","2,850",19,"6,553",231,165,516,0,912,"7,465"
Fayette,"3,559","4,228","4,422",52,"12,261",167,102,279,3,551,"12,812"
Floyd,"3,055","2,801","4,804",31,"10,691",179,108,310,6,603,"11,294"
Franklin,"1,220","3,207","2,192",16,"6,635",52,79,174,1,306,"6,941"
Fremont,"1,040","2,295","1,557",17,"4,909",137,195,294,0,626,"5,535"
Greene,"1,622","2,444","2,248",27,"6,341",92,113,227,2,434,"6,775"
Grundy,"1,420","4,150","3,045",24,"8,639",64,109,218,3,394,"9,033"
Guthrie,"1,696","2,875","3,025",36,"7,632",100,125,260,0,485,"8,117"
Hamilton,"2,410","4,091","3,511",40,"10,052",129,153,270,2,554,"10,606"
Hancock,"1,497","3,343","2,853",20,"7,713",95,116,265,2,478,"8,191"
Hardin,"2,563","4,744","3,889",51,"11,247",225,196,387,2,810,"12,057"
Harrison,"2,141","3,899","2,726",52,"8,818",31,48,57,1,137,"8,955"
Henry,"2,825","5,219","5,050",49,"13,143",361,327,664,2,"1,354","14,497"
Howard,"1,767","1,485","2,746",15,"6,013",101,84,262,0,447,"6,460"
Humboldt,"1,216","2,722","2,482",15,"6,435",86,87,184,0,357,"6,792"
Ida,814,"2,308","1,713",17,"4,852",44,95,177,0,316,"5,168"
Iowa,"2,706","4,007","4,994",46,"11,753",133,198,329,1,661,"12,414"
Jackson,"5,120","3,247","5,751",32,"14,150",250,145,516,5,916,"15,066"
Jasper,"8,585","7,509","8,744",77,"24,915",411,345,768,3,"1,527","26,442"
Jefferson,"4,041","3,433","3,176",97,"10,747",271,175,380,13,839,"11,586"
Johnson,"44,999","20,003","30,713",885,"96,600","6,568","3,220","7,689",138,"17,615","114,215"
Jones,"3,253","3,835","6,099",29,"13,216",113,121,347,2,583,"13,799"
Keokuk,"1,941","2,426","2,302",17,"6,686",137,87,241,1,466,"7,152"
Kossuth,"3,088","3,606","4,386",29,"11,109",73,83,187,0,343,"11,452"
Lee,"9,339","4,457","7,997",100,"21,893",765,348,"1,077",6,"2,196","24,089"
Linn,"49,844","38,244","49,225","1,146","138,459","5,859","3,391","6,986",122,"16,358","154,817"
Louisa,"1,689","2,533","2,646",21,"6,889",186,130,374,1,691,"7,580"
Lucas,"1,303","2,344","2,049",13,"5,709",73,95,179,1,348,"6,057"
Lyon,880,"5,519","1,717",13,"8,129",90,189,169,0,448,"8,577"
Madison,"2,718","4,354","3,725",45,"10,842",149,215,335,3,702,"11,544"
Mahaska,"2,671","7,011","4,499",71,"14,252",266,257,473,2,998,"15,250"
Marion,"5,427","9,719","7,791",90,"23,027",360,512,669,5,"1,546","24,573"
Marshall,"7,382","7,718","9,077",82,"24,259",604,501,"1,005",4,"2,114","26,373"
Mills,"2,053","5,178","3,121",68,"10,420",174,260,377,3,814,"11,234"
Mitchell,"1,694","2,574","2,821",12,"7,101",94,102,186,0,382,"7,483"
Monona,"1,772","2,109","2,275",20,"6,176",79,95,127,1,302,"6,478"
Monroe,"1,552","1,760","1,608",11,"4,931",90,66,111,2,269,"5,200"
Montgomery,"1,059","3,694","2,220",19,"6,992",84,197,244,1,526,"7,518"
Muscatine,"8,166","8,317","10,421",118,"27,022",706,644,"1,270",1,"2,621","29,643"
O'Brien,"1,225","5,850","2,479",34,"9,588",95,202,276,2,575,"10,163"
Osceola,491,"2,569","1,146",8,"4,214",23,95,114,0,232,"4,446"
Page,"1,523","5,265","2,907",37,"9,732",150,244,454,6,854,"10,586"
Palo Alto,"2,058","1,833","2,289",18,"6,198",110,76,186,1,373,"6,571"
Plymouth,"3,095","8,480","5,557",75,"17,207",270,414,552,3,"1,239","18,446"
Pocahontas,978,"2,089","1,953",17,"5,037",52,69,156,1,278,"5,315"
Polk,"114,061","87,865","86,724","2,478","291,128","6,416","4,378","6,692",119,"17,605","308,733"
Pottawattamie,"15,795","21,540","19,925",465,"57,725","1,927","1,602","2,829",32,"6,390","64,115"
Poweshiek,"4,263","3,798","4,891",55,"13,007",831,155,662,8,"1,656","14,663"
Ringgold,842,"1,570",808,5,"3,225",40,39,58,0,137,"3,362"
Sac,"1,284","3,190","2,555",17,"7,046",68,122,193,0,383,"7,429"
Scott,"37,394","32,992","45,797",793,"116,976","3,564","2,559","5,501",51,"11,675","128,651"
Shelby,"1,800","3,674","2,681",24,"8,179",51,74,113,1,239,"8,418"
Sioux,"1,764","15,637","3,966",72,"21,439",108,458,372,2,940,"22,379"
Story,"20,247","18,968","24,397",718,"64,330","2,234","1,631","3,362",70,"7,297","71,627"
Tama,"3,198","3,455","4,741",30,"11,424",144,118,369,2,633,"12,057"
Taylor,704,"1,944","1,294",19,"3,961",74,111,201,0,386,"4,347"
Union,"1,735","2,818","3,358",27,"7,938",78,97,216,0,391,"8,329"
Van Buren,"1,013","2,147","1,641",22,"4,823",62,100,163,2,327,"5,150"
Wapello,"8,549","5,563","7,094",98,"21,304",657,338,813,4,"1,812","23,116"
Warren,"9,847","11,974","11,797",165,"33,783",529,537,894,6,"1,966","35,749"
Washington,"3,075","6,299","5,106",96,"14,576",151,211,389,3,754,"15,330"
Wayne,949,"1,485","1,275",11,"3,720",48,74,73,0,195,"3,915"
Webster,"8,142","7,042","9,015",114,"24,313",637,424,994,6,"2,061","26,374"
Winnebago,"1,552","2,913","3,019",24,"7,508",159,126,260,0,545,"8,053"
Winneshiek,"4,218","4,587","5,560",53,"14,418",198,110,317,0,625,"15,043"
Woodbury,"18,347","20,736","18,951",281,"58,315","1,550","1,139","2,055",22,"4,766","63,081"
Worth,"1,398","2,005","2,068",6,"5,477",105,69,232,3,409,"5,886"
Wright,"1,890","3,486","2,713",27,"8,116",138,192,300,5,635,"8,751"
Totals,"634,744","671,712","717,794","11,811","2,036,061","50,040","37,077","74,344",819,"162,280","2,198,341"
