County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,871,2266,22,1595,4,4758,87,131,5,346,1,570,5328
Adams,466,1148,4,845,1,2464,42,67,0,196,0,305,2769
Allamakee,1925,4089,36,2449,6,8505,230,333,8,611,4,1186,9691
Appanoose,1688,3531,45,2262,13,7539,289,279,6,588,1,1163,8702
Audubon,867,1887,16,934,3,3707,74,141,3,222,1,441,4148
Benton,3745,6339,95,6232,21,16432,365,351,12,1204,7,1939,18371
Black Hawk,28334,21243,503,24019,139,74238,4311,1856,105,5542,50,11864,86102
Boone,4894,6447,117,5843,23,17324,467,446,23,1332,9,2277,19601
Bremer,3974,5747,69,6220,18,16028,432,364,11,1038,3,1848,17876
Buchanan,3275,4009,58,5017,7,12366,266,221,8,1093,4,1592,13958
Buena Vista,2513,4138,55,3038,21,9765,626,424,12,1062,5,2129,11894
Butler,1701,4631,48,2676,12,9068,152,266,7,618,1,1044,10112
Calhoun,1115,2829,37,1994,3,5978,118,163,5,381,3,670,6648
Carroll,3028,5245,80,4694,13,13060,337,375,14,930,4,1660,14720
Cass,1399,4495,37,2345,10,8286,166,396,12,607,3,1184,9470
Cedar,3081,4505,76,3921,18,11601,254,272,11,682,7,1226,12827
Cerro Gordo,8151,8741,122,9791,47,26852,937,681,25,2276,18,3937,30789
Cherokee,1167,4114,23,1817,6,7127,163,241,7,529,1,941,8068
Chickasaw,1987,2808,31,2408,6,7240,185,148,6,597,3,939,8179
Clarke,1251,2320,26,1648,11,5256,174,183,7,459,5,828,6084
Clay,1863,5423,68,2824,16,10194,246,413,14,747,2,1422,11616
Clayton,2811,4336,55,3690,18,10910,248,282,9,638,3,1180,12090
Clinton,8455,9419,136,10457,45,28512,1244,702,42,2701,17,4706,33218
Crawford,1981,3586,43,2743,10,8363,419,326,10,761,9,1525,9888
