County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,030","1,900","2,028",8,"4,966",67,62,166,0,295,"5,261"
Adams,598,961,"1,158",3,"2,720",30,32,105,0,167,"2,887"
Allamakee,"2,103","4,153","3,178",10,"9,444",113,123,195,0,431,"9,875"
Appanoose,"2,431","2,784","3,002",9,"8,226",215,184,380,0,779,"9,005"
Audubon,"1,217","1,534","1,406",8,"4,165",43,52,105,0,200,"4,365"
Benton,"4,279","4,970","7,484",33,"16,766",266,185,568,3,"1,022","17,788"
Black Hawk,"28,334","20,180","31,346",344,"80,204","1,879","1,000","2,299",35,"5,213","85,417"
Boone,"5,109","5,415","7,027",53,"17,604",225,256,524,3,"1,008","18,612"
Bremer,"3,584","4,948","7,452",38,"16,022",204,186,477,4,871,"16,893"
Buchanan,"3,651","3,050","6,414",17,"13,132",180,129,429,0,738,"13,870"
Buena Vista,"2,835","3,950","4,675",18,"11,478",163,164,239,2,568,"12,046"
Butler,"1,666","4,441","3,479",12,"9,598",82,95,180,0,357,"9,955"
Calhoun,"1,327","2,342","2,637",14,"6,320",89,92,209,3,393,"6,713"
Carroll,"3,877","3,859","6,165",46,"13,947",197,196,535,4,932,"14,879"
Cass,"1,504","4,674","2,989",12,"9,179",116,232,308,0,656,"9,835"
Cedar,"3,051","3,650","4,644",28,"11,373",159,130,283,2,574,"11,947"
Cerro Gordo,"8,956","7,861","12,431",51,"29,299",554,374,"1,053",3,"1,984","31,283"
Cherokee,"1,815","3,148","3,010",18,"7,991",136,165,344,2,647,"8,638"
Chickasaw,"2,653","2,180","3,544",13,"8,390",132,107,285,1,525,"8,915"
Clarke,"1,501","1,760","2,201",10,"5,472",108,119,267,1,495,"5,967"
Clay,"2,339","4,443","4,180",14,"10,976",235,252,448,0,935,"11,911"
Clayton,"3,289","3,278","4,774",23,"11,364",128,115,237,2,482,"11,846"
Clinton,"9,942","7,172","13,092",49,"30,255","1,259",532,"1,762",6,"3,559","33,814"
Crawford,"2,570","3,106","3,453",7,"9,136",125,98,238,0,461,"9,597"
Dallas,"10,174","16,864","19,393",148,"46,579",936,"1,401","2,222",11,"4,570","51,149"
Davis,"1,811","1,508","1,441",3,"4,763",106,60,155,1,322,"5,085"
Decatur,"1,373","1,550","1,491",10,"4,424",60,40,67,0,167,"4,591"
Delaware,"2,476","3,779","4,980",4,"11,239",77,98,182,0,357,"11,596"
Des Moines,"10,840","5,947","8,657",56,"25,500",746,408,898,5,"2,057","27,557"
Dickinson,"2,343","5,061","4,496",25,"11,925",123,199,278,3,603,"12,528"
Dubuque,"24,675","14,972","22,589",197,"62,433","1,445",840,"1,739",20,"4,044","66,477"
