County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,738,2151,25,1288,3,4205,179,336,10,686,3,1214,5419
Adams,394,1114,8,697,2,2215,73,172,0,392,0,637,2852
Allamakee,1536,4277,39,1889,10,7751,411,689,17,1185,3,2305,10056
Appanoose,1341,3417,40,1785,7,6590,440,680,14,1175,7,2316,8906
Audubon,751,1797,18,798,3,3367,144,282,9,395,1,831,4198
Benton,3056,6591,78,5222,14,14961,638,814,43,2254,12,3761,18722
Black Hawk,22453,19809,503,19239,102,62106,8866,4032,210,11391,99,24598,86704
Boone,4137,6175,105,5367,15,15799,871,1085,49,2568,11,4584,20383
Bremer,3384,5493,57,5559,12,14505,794,841,24,2126,6,3791,18296
Buchanan,2836,3882,60,4101,5,10884,567,572,22,2147,3,3311,14195
Buena Vista,1743,3756,36,2240,14,7789,1289,968,28,1973,13,4271,12060
Butler,1432,4388,35,2228,8,8091,332,665,23,1161,5,2186,10277
Calhoun,883,2843,28,1568,2,5324,222,429,11,727,4,1393,6717
Carroll,2422,5396,98,3938,14,11868,593,810,27,1697,7,3134,15002
Cass,1200,4242,32,1782,11,7267,325,813,21,1202,6,2367,9634
Cedar,2629,4498,75,3461,10,10673,545,629,21,1426,13,2634,13307
Cerro Gordo,6699,8826,149,7763,29,23466,1929,1476,56,4553,32,8046,31512
Cherokee,890,3991,36,1377,4,6298,336,576,11,969,5,1897,8195
Chickasaw,1632,2753,21,2089,1,6496,327,401,15,1053,6,1802,8298
Clarke,953,2344,39,1212,5,4553,356,398,17,902,10,1683,6236
Clay,1529,4979,58,2242,12,8820,484,1026,37,1389,6,2942,11762
Clayton,2204,4716,46,2812,8,9786,546,757,21,1322,9,2655,12441
Clinton,6811,9094,126,8923,41,24995,2226,1650,76,5194,30,9176,34171
Crawford,1265,3610,39,1672,6,6592,864,772,22,1580,16,3254,9846
Dallas,17797,23502,462,21084,69,62914,3519,3664,183,8086,37,15489,78403
Davis,833,2417,22,754,3,4029,223,351,9,536,4,1123,5152
Decatur,740,1994,28,783,4,3549,360,385,8,613,5,1371,4920
Delaware,2005,4648,42,3451,9,10155,380,585,14,1333,6,2318,12473
Des Moines,6463,6965,150,6203,33,19814,2556,1567,81,3921,22,8147,27961
Dickinson,2100,6377,63,3368,11,11919,534,1021,43,1381,7,2986,14905
Dubuque,19643,18815,415,15049,74,53996,5480,3692,205,8194,60,17631,71627
Emmet,1054,2304,22,1464,8,4852,370,424,17,1045,0,1856,6708
Fayette,2323,4585,45,3021,14,9988,614,635,24,1362,10,2645,12633
Floyd,1999,2854,31,2975,7,7866,658,511,24,1699,11,2903,10769
Franklin,851,2713,15,1260,4,4843,296,487,18,955,6,1762,6605
Fremont,658,2376,22,785,5,3846,237,580,20,510,7,1354,5200
Greene,1100,2422,36,1475,11,5044,298,407,15,726,3,1449,6493
Grundy,1195,4122,43,1947,9,7316,301,577,16,922,2,1818,9134
Guthrie,1347,3221,46,2101,3,6718,276,465,15,975,0,1731,8449
Hamilton,1654,4049,33,2153,4,7893,486,622,20,1181,8,2317,10210
Hancock,1047,3392,42,1470,4,5955,301,588,13,973,7,1882,7837
Hardin,1864,4475,46,2163,13,8561,567,959,25,1410,7,2968,11529
Harrison,1449,4470,62,1746,10,7737,346,639,20,701,9,1715,9452
Henry,1925,4870,63,2969,13,9840,607,971,34,2075,8,3695,13535
Howard,1194,1691,22,2027,3,4937,256,309,13,921,3,1502,6439
Humboldt,806,2761,22,1611,4,5204,209,465,12,835,3,1524,6728
Ida,522,2123,12,1061,1,3719,154,378,5,636,3,1176,4895
Iowa,2065,4584,64,3132,6,9851,488,659,27,1519,9,2702,12553
Jackson,3137,4713,45,3232,11,11138,808,633,12,2137,7,3597,14735
Jasper,5586,8646,117,6060,19,20428,1558,1416,52,3484,12,6522,26950
Jefferson,3117,3276,67,2061,15,8536,968,590,27,1291,15,2891,11427
Johnson,42902,16518,541,26448,186,86595,11697,4238,282,12324,113,28654,115249
Jones,2488,4633,48,3905,5,11079,506,683,23,1995,6,3213,14292
Keokuk,1013,2839,27,1255,5,5139,339,485,10,788,1,1623,6762
Kossuth,1721,4547,50,2271,9,8598,406,661,20,1306,4,2397,10995
Lee,5368,6007,97,4989,15,16476,1870,1254,56,3369,25,6574,23050
Linn,45258,37204,998,40986,222,124668,12782,7232,510,18680,174,39378,164046
Louisa,1021,2522,29,1650,3,5225,509,495,13,1157,4,2178,7403
Lucas,823,2612,22,1221,5,4683,225,497,8,726,2,1458,6141
Lyon,527,5811,12,854,2,7206,214,900,9,556,3,1682,8888
Madison,2053,4908,85,2972,7,10025,448,823,26,1325,6,2628,12653
Mahaska,1677,6309,80,2477,11,10554,751,1379,48,1982,10,4170,14724
Marion,3804,10170,108,5778,22,19882,989,1637,50,2702,15,5393,25275
Marshall,5041,7135,111,5286,24,17597,2206,1318,62,3524,22,7132,24729
Mills,1510,5164,110,1700,18,8502,562,1211,55,1343,9,3180,11682
Mitchell,1254,2686,28,1770,3,5741,302,454,21,843,9,1629,7370
Monona,1044,2523,35,1130,4,4736,216,350,13,465,4,1048,5784
Monroe,826,2276,22,1095,1,4220,240,357,10,560,3,1170,5390
Montgomery,851,3026,33,1057,4,4971,330,810,19,1128,12,2299,7270
Muscatine,5326,7718,135,6438,49,19666,2647,1909,98,4826,48,9528,29194
O'Brien,851,5234,44,1348,10,7487,361,909,25,946,4,2245,9732
Osceola,292,2217,12,642,0,3163,120,449,5,488,2,1064,4227
Page,1096,5074,44,1612,8,7834,456,1029,32,1207,5,2729,10563
Palo Alto,1278,2289,25,1288,4,4884,351,370,8,783,4,1516,6400
Plymouth,2120,8184,53,3701,12,14070,776,1550,42,1984,15,4367,18437
Pocahontas,626,2126,32,1006,4,3794,188,320,7,543,6,1064,4858
Polk,100740,79114,2077,75376,430,257737,29836,15422,1019,35193,329,81799,339536
Pottawattamie,11856,20841,427,12075,102,45301,5058,5555,330,9161,117,20221,65522
Poweshiek,3028,3743,42,3726,15,10554,1603,645,30,1807,3,4088,14642
Ringgold,445,1800,11,463,2,2721,104,272,2,243,2,623,3344
Sac,791,3296,15,1469,5,5576,224,576,9,874,5,1688,7264
Scott,28414,31340,659,32084,163,92660,11442,6778,421,20134,126,38901,131561
Shelby,1192,3842,40,1558,5,6637,369,696,19,958,6,2048,8685
Sioux,1396,14502,59,3099,12,19068,599,2238,37,1808,10,4692,23760
Story,16529,14744,399,16092,104,47868,6702,4625,340,10242,90,21999,69867
Tama,2010,3943,41,2424,16,8434,710,557,17,1675,4,2963,11397
Taylor,439,1894,19,653,5,3010,139,362,16,476,2,995,4005
Union,1152,3116,36,1954,4,6262,341,508,23,1236,4,2112,8374
Van Buren,550,2261,23,983,8,3825,155,379,9,588,2,1133,4958
Wapello,4512,5743,84,4429,20,14788,2006,1415,50,3200,28,6699,21487
Warren,8752,13652,218,9403,38,32063,1965,2446,120,4316,23,8870,40933
Washington,2679,5760,64,3372,17,11892,628,1047,47,1953,9,3684,15576
Wayne,499,1975,21,676,2,3173,150,263,6,366,1,786,3959
Webster,4522,8023,124,4828,24,17521,1837,1629,65,3770,29,7330,24851
Winnebago,1153,2772,23,1837,2,5787,430,496,19,1210,3,2158,7945
Winneshiek,3765,4547,39,4089,18,12458,901,486,25,1369,13,2794,15252
Woodbury,11076,18666,300,11261,69,41372,6755,5458,194,10668,73,23148,64520
Worth,960,2046,23,1224,4,4257,248,309,10,733,1,1301,5558
Wright,1129,3194,33,1632,7,5995,401,554,12,970,6,1943,7938
Totals,"495,751","669,053","11,346","502,243","2,410","1,680,803","158,301","128,489","6,008","277,388","1,970","572,156","2,252,959"
