County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,981,"1,936",14,"2,058",3,"4,992",46,41,1,112,0,200,"5,192"
Adams,569,971,7,"1,164",1,"2,712",40,41,0,129,0,210,"2,922"
Allamakee,"2,038","4,185",21,"2,973",6,"9,223",150,150,2,339,0,641,"9,864"
Appanoose,"2,250","2,911",15,"2,915",9,"8,100",160,133,1,339,0,633,"8,733"
Audubon,932,"2,015",9,"1,223",5,"4,184",37,48,0,82,0,167,"4,351"
Benton,"3,956","5,934",59,"7,243",18,"17,210",165,156,3,403,0,727,"17,937"
Black Hawk,"29,511","21,553",414,"30,134",169,"81,781","2,080","1,136",42,"2,616",15,"5,889","87,670"
Boone,"5,219","5,824",80,"6,944",25,"18,092",225,265,5,544,0,"1,039","19,131"
Bremer,"3,821","5,252",57,"7,270",12,"16,412",219,186,6,500,1,912,"17,324"
Buchanan,"3,500","3,290",31,"6,365",5,"13,191",144,84,0,413,1,642,"13,833"
Buena Vista,"2,875","4,083",35,"4,364",21,"11,378",289,222,3,479,0,993,"12,371"
Butler,"1,684","4,528",23,"3,483",7,"9,725",84,109,0,207,0,400,"10,125"
Calhoun,"1,283","2,552",16,"2,653",6,"6,510",42,44,0,88,2,176,"6,686"
Carroll,"3,635","4,225",50,"5,939",15,"13,864",110,101,6,233,0,450,"14,314"
Cass,"1,448","4,702",23,"2,867",8,"9,048",103,209,3,312,0,627,"9,675"
Cedar,"3,067","3,910",47,"4,765",14,"11,803",110,106,6,219,2,443,"12,246"
Cerro Gordo,"8,670","8,262",63,"12,449",21,"29,465",420,305,2,827,3,"1,557","31,022"
Cherokee,"1,534","3,678",19,"2,674",5,"7,910",73,93,0,207,0,373,"8,283"
Chickasaw,"2,445","2,427",16,"3,341",9,"8,238",99,95,2,246,0,442,"8,680"
Clarke,"1,516","1,857",19,"2,234",5,"5,631",89,84,2,230,0,405,"6,036"
Clay,"1,872","5,660",34,"3,462",5,"11,033",143,209,0,344,1,697,"11,730"
