County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,022","1,964","2,087",16,"5,089",68,60,133,0,261,"5,350"
Adams,594,992,"1,188",7,"2,781",28,28,92,0,148,"2,929"
Allamakee,"2,164","4,309","3,182",26,"9,681",113,125,254,0,492,"10,173"
Appanoose,"2,402","3,009","3,106",23,"8,540",192,175,360,1,728,"9,268"
Audubon,972,"2,057","1,260",15,"4,304",34,42,96,0,172,"4,476"
Benton,"4,093","6,031","7,328",77,"17,529",228,179,512,1,920,"18,449"
Black Hawk,"31,067","22,477","31,327",617,"85,488","1,826","1,003","2,259",39,"5,127","90,615"
Boone,"5,386","5,947","7,093",100,"18,526",232,278,543,1,"1,054","19,580"
Bremer,"4,023","5,421","7,490",72,"17,006",194,188,449,8,839,"17,845"
Buchanan,"3,647","3,348","6,518",36,"13,549",141,121,425,1,688,"14,237"
Buena Vista,"3,077","4,219","4,653",47,"11,996",172,174,282,2,630,"12,626"
Butler,"1,739","4,641","3,541",30,"9,951",71,86,165,0,322,"10,273"
Calhoun,"1,309","2,583","2,637",19,"6,548",85,83,187,4,359,"6,907"
Carroll,"3,774","4,264","6,139",65,"14,242",208,180,490,4,882,"15,124"
Cass,"1,516","4,866","3,001",31,"9,414",111,225,323,0,659,"10,073"
Cedar,"3,162","3,982","4,865",64,"12,073",151,121,261,2,535,"12,608"
Cerro Gordo,"9,058","8,497","12,726",82,"30,363",561,374,"1,051",2,"1,988","32,351"
Cherokee,"1,599","3,772","2,781",25,"8,177",123,155,327,2,607,"8,784"
Chickasaw,"2,577","2,503","3,465",28,"8,573",106,106,272,1,485,"9,058"
Clarke,"1,569","1,903","2,291",24,"5,787",101,95,241,1,438,"6,225"
Clay,"1,983","5,840","3,596",36,"11,455",229,255,469,1,954,"12,409"
Clayton,"3,480","3,590","4,636",36,"11,742",156,127,306,3,592,"12,334"
Clinton,"10,208","7,877","13,712",116,"31,913",904,364,"1,277",6,"2,551","34,464"
Crawford,"2,539","3,362","3,660",24,"9,585",161,142,311,2,616,"10,201"
Dallas,"13,075","20,301","20,883",309,"54,568",833,"1,291","1,988",11,"4,123","58,691"
Davis,"1,720","1,773","1,452",12,"4,957",107,71,156,1,335,"5,292"
Decatur,"1,478","1,858","1,514",27,"4,877",57,45,82,1,185,"5,062"
Delaware,"2,380","4,501","4,734",32,"11,647",77,93,167,0,337,"11,984"
Des Moines,"10,750","6,753","9,024",139,"26,666",754,408,932,6,"2,100","28,766"
Dickinson,"2,476","5,616","4,814",48,"12,954",132,212,283,4,631,"13,585"
Dubuque,"26,413","16,700","22,216",353,"65,682","1,693",943,"2,040",30,"4,706","70,388"
Emmet,"1,816","1,870","2,877",20,"6,583",230,164,511,0,905,"7,488"
Fayette,"3,543","4,227","4,419",53,"12,242",167,101,277,3,548,"12,790"
Floyd,"3,041","2,800","4,796",31,"10,668",179,109,315,6,609,"11,277"
Franklin,"1,215","3,209","2,181",16,"6,621",51,75,170,1,297,"6,918"
Fremont,"1,041","2,301","1,562",17,"4,921",137,194,293,0,624,"5,545"
Greene,"1,627","2,451","2,287",28,"6,393",87,111,223,2,423,"6,816"
Grundy,"1,424","4,172","3,126",24,"8,746",63,104,204,3,374,"9,120"
Guthrie,"1,691","2,862","3,015",36,"7,604",102,129,264,0,495,"8,099"
Hamilton,"2,407","4,089","3,515",39,"10,050",123,144,264,2,533,"10,583"
Hancock,"1,493","3,350","2,858",20,"7,721",91,110,256,1,458,"8,179"
Hardin,"2,567","4,771","3,964",51,"11,353",225,196,392,3,816,"12,169"
Harrison,"2,140","3,906","2,738",53,"8,837",28,51,54,1,134,"8,971"
Henry,"2,821","5,224","5,062",51,"13,158",361,329,660,3,"1,353","14,511"
Howard,"1,769","1,486","2,754",15,"6,024",94,82,251,0,427,"6,451"
Humboldt,"1,215","2,721","2,481",15,"6,432",83,87,180,0,350,"6,782"
Ida,812,"2,302","1,723",17,"4,854",44,94,172,0,310,"5,164"
Iowa,"2,712","4,003","4,979",45,"11,739",124,195,315,1,635,"12,374"
Jackson,"5,115","3,258","5,763",33,"14,169",246,142,505,5,898,"15,067"
Jasper,"8,569","7,511","8,746",77,"24,903",407,342,761,3,"1,513","26,416"
Jefferson,"4,037","3,430","3,167",97,"10,731",269,175,378,13,835,"11,566"
Johnson,"44,950","20,041","30,755",896,"96,642","6,473","3,134","7,542",137,"17,286","113,928"
Jones,"3,240","3,842","6,111",30,"13,223",109,110,332,1,552,"13,775"
Keokuk,"1,930","2,427","2,306",17,"6,680",135,86,237,1,459,"7,139"
Kossuth,"3,074","3,595","4,387",30,"11,086",73,83,184,0,340,"11,426"
Lee,"9,373","4,560","8,219",113,"22,265",743,338,"1,043",6,"2,130","24,395"
Linn,"50,593","38,849","50,662","1,242","141,346","5,423","3,193","6,570",116,"15,302","156,648"
Louisa,"1,685","2,534","2,651",21,"6,891",182,124,368,1,675,"7,566"
Lucas,"1,307","2,347","2,057",13,"5,724",67,94,173,1,335,"6,059"
Lyon,886,"5,540","1,720",13,"8,159",86,183,165,0,434,"8,593"
Madison,"2,737","4,410","3,835",46,"11,028",145,211,328,3,687,"11,715"
Mahaska,"2,667","6,996","4,507",71,"14,241",260,247,464,2,973,"15,214"
Marion,"5,428","9,737","7,870",92,"23,127",352,502,655,6,"1,515","24,642"
Marshall,"7,361","7,722","9,106",83,"24,272",595,488,990,4,"2,077","26,349"
Mills,"2,054","5,177","3,131",68,"10,430",172,258,373,3,806,"11,236"
Mitchell,"1,691","2,576","2,817",12,"7,096",90,101,184,0,375,"7,471"
Monona,"1,763","2,120","2,305",21,"6,209",73,91,121,0,285,"6,494"
Monroe,"1,546","1,757","1,609",11,"4,923",88,65,110,2,265,"5,188"
Montgomery,"1,059","3,688","2,213",19,"6,979",83,195,243,1,522,"7,501"
Muscatine,"8,171","8,320","10,424",121,"27,036",680,632,"1,263",1,"2,576","29,612"
O'Brien,"1,212","5,827","2,471",35,"9,545",99,208,279,2,588,"10,133"
Osceola,491,"2,569","1,153",8,"4,221",23,95,114,0,232,"4,453"
Page,"1,516","5,266","2,914",36,"9,732",154,247,457,6,864,"10,596"
Palo Alto,"2,049","1,828","2,293",18,"6,188",105,73,183,1,362,"6,550"
Plymouth,"3,107","8,496","5,563",75,"17,241",253,399,535,3,"1,190","18,431"
Pocahontas,975,"2,086","1,945",17,"5,023",54,69,159,1,283,"5,306"
Polk,"114,405","88,187","87,463","2,508","292,563","6,002","4,128","6,349",109,"16,588","309,151"
Pottawattamie,"15,855","21,604","20,146",472,"58,077","1,904","1,591","2,791",33,"6,319","64,396"
Poweshiek,"4,261","3,802","4,922",53,"13,038",822,142,642,9,"1,615","14,653"
Ringgold,843,"1,573",814,5,"3,235",35,37,49,0,121,"3,356"
Sac,"1,286","3,185","2,549",17,"7,037",68,121,192,0,381,"7,418"
Scott,"37,576","33,211","46,695",805,"118,287","3,410","2,464","5,280",45,"11,199","129,486"
Shelby,"1,800","3,692","2,716",24,"8,232",49,72,100,1,222,"8,454"
Sioux,"1,766","15,645","3,999",72,"21,482",104,442,352,2,900,"22,382"
Story,"20,233","18,975","24,505",729,"64,442","2,174","1,586","3,254",66,"7,080","71,522"
Tama,"3,186","3,450","4,759",33,"11,428",140,114,351,1,606,"12,034"
Taylor,702,"1,939","1,294",21,"3,956",74,112,202,0,388,"4,344"
Union,"1,731","2,816","3,373",28,"7,948",78,97,207,0,382,"8,330"
Van Buren,"1,009","2,139","1,639",22,"4,809",62,99,162,2,325,"5,134"
Wapello,"8,533","5,591","7,213",101,"21,438",655,335,819,4,"1,813","23,251"
Warren,"9,826","11,965","11,828",167,"33,786",513,513,883,5,"1,914","35,700"
Washington,"3,065","6,294","5,106",99,"14,564",149,204,383,2,738,"15,302"
Wayne,949,"1,485","1,285",13,"3,732",47,72,70,0,189,"3,921"
Webster,"8,121","7,037","9,022",114,"24,294",636,424,987,6,"2,053","26,347"
Winnebago,"1,552","2,912","3,018",26,"7,508",158,123,254,0,535,"8,043"
Winneshiek,"4,207","4,569","5,554",52,"14,382",196,106,316,0,618,"15,000"
Woodbury,"18,483","20,940","19,588",299,"59,310","1,526","1,114","2,011",20,"4,671","63,981"
Worth,"1,393","2,003","2,063",6,"5,465",104,70,232,3,409,"5,874"
Wright,"1,894","3,489","2,719",30,"8,132",135,184,298,2,619,"8,751"
Totals,"635,848","673,712","724,226","12,078","2,045,864","48,517","36,059","72,434",789,"157,799","2,203,663"
