County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,705,1936,21,1103,2,3767,237,457,11,870,3,1578,5345
Adams,395,985,5,583,2,1970,111,222,0,469,0,802,2772
Allamakee,1575,3424,19,1671,4,6693,545,962,22,1453,6,2988,9681
Appanoose,1305,2868,26,1434,3,5636,613,923,24,1463,10,3033,8669
Audubon,720,1647,12,666,2,3047,211,376,8,499,2,1096,4143
Benton,3173,5558,56,4697,12,13496,869,1118,49,2882,16,4934,18430
Black Hawk,21028,17702,336,16198,70,55334,11073,5200,283,13761,121,30438,85772
Boone,4044,5402,77,4155,17,13695,1232,1464,62,3256,15,6029,19724
Bremer,3298,4927,47,4636,11,12919,1033,1133,30,2736,8,4940,17859
Buchanan,2736,3505,39,3547,4,9831,747,734,28,2631,8,4148,13979
Buena Vista,1524,3276,29,1791,8,6628,1588,1295,37,2330,19,5269,11897
Butler,1397,3989,30,1869,8,7293,432,897,27,1452,6,2814,10107
Calhoun,877,2415,27,1458,1,4778,318,574,17,929,5,1843,6621
Carroll,2455,4466,54,3430,9,10414,850,1162,39,2238,8,4297,14711
Cass,1099,3771,25,1421,5,6321,437,1098,24,1516,9,3084,9405
Cedar,2548,3898,56,2869,10,9381,734,843,32,1792,15,3416,12797
Cerro Gordo,6438,7393,78,6638,20,20567,2494,1967,76,5621,45,10203,30770
Cherokee,870,3446,18,1199,3,5536,434,834,13,1205,6,2492,8028
Chickasaw,1666,2395,16,1781,1,5859,452,533,20,1272,8,2285,8144
Clarke,946,1963,16,1066,5,3996,462,534,21,1079,11,2107,6103
Clay,1454,4519,40,1899,14,7926,639,1306,39,1693,6,3683,11609
Clayton,2342,3680,39,2700,9,8770,702,954,31,1650,12,3349,12119
Clinton,6480,7843,89,6937,21,21370,3040,2242,96,6551,39,11968,33338
Crawford,1306,2913,21,1601,5,5846,1062,994,30,1891,16,3993,9839
Dallas,15691,19591,319,17105,39,52745,4849,5124,236,10427,55,20691,73436
Davis,985,1906,11,732,4,3638,284,478,12,682,6,1462,5100
Decatur,751,1653,15,717,4,3140,437,469,13,725,5,1649,4789
Delaware,1936,4183,33,3015,8,9175,537,798,19,1679,7,3040,12215
Des Moines,6181,6021,98,4535,20,16855,3416,2079,100,4962,30,10587,27442
Dickinson,1997,5466,39,2693,7,10202,734,1556,59,1876,10,4235,14437
Dubuque,18801,15743,258,12321,47,47170,7111,4753,261,10138,84,22347,69517
Emmet,1059,1760,15,1341,8,4183,461,544,21,1255,0,2281,6464
Fayette,2389,3833,28,2645,10,8905,815,878,28,1731,15,3467,12372
Floyd,1916,2541,31,2532,3,7023,841,676,30,2076,11,3634,10657
Franklin,825,2500,11,1022,3,4361,380,618,22,1143,7,2170,6531
Fremont,633,2029,6,579,3,3250,303,756,23,636,9,1727,4977
Greene,1101,2087,32,1196,7,4423,417,589,19,933,6,1964,6387
Grundy,1166,3654,28,1720,5,6573,414,805,21,1155,3,2398,8971
Guthrie,1260,2891,37,1651,3,5842,399,673,18,1303,1,2394,8236
Hamilton,1614,3526,30,1840,3,7013,635,897,24,1464,10,3030,10043
Hancock,1005,3066,19,1233,4,5327,397,764,14,1161,12,2348,7675
Hardin,1794,4069,30,1813,7,7713,730,1236,31,1734,8,3739,11452
Harrison,1338,3866,39,1399,6,6648,490,933,28,931,12,2394,9042
Henry,1879,4267,44,2360,8,8558,810,1286,50,2540,13,4699,13257
Howard,1188,1465,19,1604,1,4277,344,417,14,1184,5,1964,6241
Humboldt,815,2457,17,1439,3,4731,274,588,16,987,4,1869,6600
Ida,529,1909,6,875,2,3321,205,515,6,778,3,1507,4828
Iowa,1981,4092,41,2781,7,8902,654,879,33,1881,11,3458,12360
Jackson,3380,3669,34,2744,5,9832,1121,892,20,2653,11,4697,14529
Jasper,5463,7206,78,5123,16,17886,2151,1952,65,4351,19,8538,26424
Jefferson,3056,2911,38,1595,14,7614,1257,828,37,1566,20,3708,11322
Johnson,38744,13464,368,19634,117,72327,14663,5378,363,15552,134,36090,108417
Jones,2419,4151,36,3282,2,9890,678,916,31,2475,9,4109,13999
Keokuk,1069,2299,15,1144,5,4532,452,683,12,1002,2,2151,6683
Kossuth,1833,3917,23,2126,4,7903,503,869,26,1592,4,2994,10897
Lee,5302,4750,77,3987,7,14123,2415,1595,84,4087,30,8211,22334
Linn,42614,32807,723,32911,178,109233,16219,9331,686,23171,211,49618,158851
Louisa,974,2217,13,1239,0,4443,675,641,19,1437,6,2778,7221
Lucas,816,2208,14,1103,5,4146,318,639,14,901,2,1874,6020
Lyon,525,5053,6,705,1,6290,288,1355,11,705,3,2362,8652
Madison,2028,4133,62,2457,4,8684,624,1132,31,1707,10,3504,12188
Mahaska,1588,5767,62,2040,4,9461,911,1728,58,2319,11,5027,14488
