County,Dem_Active,Rep_Active,NoParty_Active,Other_Active,Total_Active,Dem_Inactive,Rep_Inactive,NoParty_Inactive,Other_Inactive,Total_Inactive,GrandTotal_All
Sioux,"1,626","14,323","3,894",19,"19,862",139,540,416,2,"1,097","20,959"
Story,"15,860","15,374","20,933",255,"52,422","3,447","2,390","5,143",86,"11,066","63,488"
Tama,"3,248","3,265","4,598",9,"11,120",257,181,612,0,"1,050","12,170"
Taylor,745,"1,834","1,211",5,"3,795",94,129,276,2,501,"4,296"
Union,"1,713","2,728","3,128",10,"7,579",94,103,231,0,428,"8,007"
Van Buren,"1,001","2,047","1,579",9,"4,636",86,150,236,0,472,"5,108"
Wapello,"8,882","4,971","7,038",26,"20,917",798,411,914,4,"2,127","23,044"
Warren,"9,496","10,403","10,885",43,"30,827",699,676,"1,156",6,"2,537","33,364"
Washington,"2,890","5,524","5,184",36,"13,634",232,285,525,4,"1,046","14,680"
Wayne,980,"1,317","1,152",3,"3,452",98,99,156,0,353,"3,805"
Webster,"8,237","6,368","8,518",28,"23,151",789,552,"1,195",5,"2,541","25,692"
Winnebago,"1,510","2,911","2,735",4,"7,160",161,156,356,0,673,"7,833"
Winneshiek,"3,474","4,362","5,157",18,"13,011",851,315,914,7,"2,087","15,098"
Woodbury,"18,124","18,251","19,040",116,"55,531","2,014","1,450","2,530",12,"6,006","61,537"
Worth,"1,470","1,699","1,987",2,"5,158",139,95,264,1,499,"5,657"
Wright,"1,933","3,447","2,698",8,"8,086",148,205,334,0,687,"8,773"
Totals,"600,745","603,243","707,031","4,061","1,915,080","63,292","45,308","95,122",526,"204,248","2,119,328"
