County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,996,"1,981","2,027",26,"5,030",54,91,171,4,320,"5,350"
Adams,528,988,"1,089",9,"2,614",45,44,124,2,215,"2,829"
Allamakee,"2,100","3,968","2,979",39,"9,086",180,184,379,7,750,"9,836"
Appanoose,"2,111","2,953","2,857",36,"7,957",183,210,442,4,839,"8,796"
Audubon,959,"1,877","1,198",15,"4,049",43,58,110,1,212,"4,261"
Benton,"3,960","5,572","7,273",98,"16,903",202,237,512,10,961,"17,864"
Black Hawk,"30,774","20,353","29,059",730,"80,916","2,607","1,625","3,411",90,"7,733","88,649"
Boone,"5,218","5,678","7,000",151,"18,047",324,370,784,19,"1,497","19,544"
Bremer,"4,152","4,982","7,303",97,"16,534",286,285,672,14,"1,257","17,791"
Buchanan,"3,511","3,156","6,388",44,"13,099",164,112,512,9,797,"13,896"
Buena Vista,"3,013","3,955","4,172",81,"11,221",361,293,569,4,"1,227","12,448"
Butler,"1,725","4,309","3,387",46,"9,467",87,162,239,3,491,"9,958"
Calhoun,"1,261","2,487","2,543",44,"6,335",54,98,143,6,301,"6,636"
Carroll,"3,508","4,328","5,948",86,"13,870",147,169,288,7,611,"14,481"
Cass,"1,512","4,496","2,881",42,"8,931",115,285,376,2,778,"9,709"
Cedar,"3,183","3,718","4,778",75,"11,754",145,192,300,16,653,"12,407"
Cerro Gordo,"8,514","7,672","12,422",128,"28,736",518,507,"1,204",10,"2,239","30,975"
Cherokee,"1,476","3,552","2,637",38,"7,703",79,114,268,3,464,"8,167"
Chickasaw,"2,263","2,373","3,245",30,"7,911",128,128,307,4,567,"8,478"
Clarke,"1,443","1,966","2,126",28,"5,563",83,103,247,6,439,"6,002"
Clay,"1,987","5,162","3,598",59,"10,806",154,329,437,8,928,"11,734"
Clayton,"3,090","3,616","4,561",56,"11,323",167,165,251,4,587,"11,910"
Clinton,"9,276","7,602","13,631",146,"30,655",776,433,"1,384",19,"2,612","33,267"
Crawford,"2,442","3,263","3,564",41,"9,310",115,126,283,2,526,"9,836"
Dallas,"16,099","19,529","22,196",500,"58,324","1,083","1,559","2,436",63,"5,141","63,465"
Davis,"1,597","1,790","1,382",22,"4,791",89,98,144,2,333,"5,124"
Decatur,"1,298","1,706","1,380",31,"4,415",185,130,218,6,539,"4,954"
Delaware,"2,264","4,269","4,707",50,"11,290",101,140,290,6,537,"11,827"
Des Moines,"10,111","6,599","9,169",174,"26,053",684,350,889,21,"1,944","27,997"
Dickinson,"2,566","5,777","4,398",58,"12,799",194,355,494,11,"1,054","13,853"
Dubuque,"25,681","15,842","22,123",476,"64,122","1,915","1,224","2,462",52,"5,653","69,775"
Emmet,"1,651","1,807","2,594",26,"6,078",113,155,330,2,600,"6,678"
Fayette,"3,350","3,851","4,273",64,"11,538",218,151,330,6,705,"12,243"
Floyd,"2,761","2,653","4,736",49,"10,199",265,162,501,7,935,"11,134"
Franklin,"1,175","2,831","2,115",32,"6,153",73,114,191,0,378,"6,531"
Fremont,990,"2,243","1,324",23,"4,580",104,169,212,6,491,"5,071"
Greene,"1,641","2,292","2,153",45,"6,131",79,98,196,6,379,"6,510"
Grundy,"1,431","3,846","3,127",42,"8,446",63,165,210,5,443,"8,889"
Guthrie,"1,614","2,826","3,001",52,"7,493",77,148,268,6,499,"7,992"
Hamilton,"2,297","3,788","3,482",57,"9,624",114,154,302,3,573,"10,197"
Hancock,"1,392","3,243","2,630",38,"7,303",92,131,228,3,454,"7,757"
Hardin,"2,502","4,619","3,767",61,"10,949",167,224,325,6,722,"11,671"
Harrison,"2,000","3,729","2,573",71,"8,373",45,92,80,3,220,"8,593"
Henry,"2,632","4,856","4,809",60,"12,357",275,325,646,4,"1,250","13,607"
Howard,"1,584","1,467","2,651",26,"5,728",95,76,243,0,414,"6,142"
Humboldt,"1,172","2,640","2,313",28,"6,153",70,114,187,3,374,"6,527"
Ida,753,"2,169","1,732",25,"4,679",39,71,109,2,221,"4,900"
Iowa,"2,594","3,989","4,744",79,"11,406",157,199,342,12,710,"12,116"
Jackson,"4,701","3,096","6,019",33,"13,849",212,142,461,2,817,"14,666"
Jasper,"8,002","7,510","9,223",114,"24,849",346,291,628,7,"1,272","26,121"
Jefferson,"4,313","3,102","2,866",94,"10,375",354,159,384,12,909,"11,284"
Johnson,"47,133","16,173","27,300",687,"91,293","7,826","3,478","7,490",274,"19,068","110,361"
Jones,"3,021","3,856","6,041",41,"12,959",140,153,431,7,731,"13,690"
Keokuk,"1,708","2,374","2,240",25,"6,347",104,106,179,4,393,"6,740"
Kossuth,"2,808","3,470","4,207",39,"10,524",119,181,351,4,655,"11,179"
Lee,"8,427","4,541","7,974",136,"21,078",620,339,"1,068",26,"2,053","23,131"
Linn,"54,111","36,561","53,004","1,514","145,190","3,210","2,214","3,926",166,"9,516","154,706"
Louisa,"1,645","2,361","2,672",32,"6,710",93,84,219,5,401,"7,111"
Lucas,"1,201","2,277","1,959",25,"5,462",82,132,194,3,411,"5,873"
Lyon,819,"5,693","1,532",20,"8,064",70,200,153,4,427,"8,491"
Madison,"2,645","4,237","3,754",79,"10,715",178,303,419,6,906,"11,621"
Mahaska,"2,494","6,701","4,295",95,"13,585",270,343,559,7,"1,179","14,764"
