County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,894,2122,1553,21,4590,128,211,459,10,808,5398
Adams,495,1117,828,10,2450,46,68,253,0,367,2817
Allamakee,1996,3984,2317,38,8335,274,388,737,12,1411,9746
Appanoose,1722,3241,2228,56,7247,398,386,795,11,1590,8837
Audubon,900,1861,928,20,3709,89,169,278,2,538,4247
Benton,3807,5930,5958,117,15812,502,539,1527,33,2601,18413
Black Hawk,28237,20473,23055,604,72369,5424,2625,6966,207,15222,87591
Boone,5015,6216,5673,133,17037,565,596,1626,38,2825,19862
Bremer,4081,5403,6241,92,15817,512,407,1238,19,2176,17993
Buchanan,3409,3651,4972,58,12090,331,270,1315,14,1930,14020
Buena Vista,2485,3885,2932,71,9373,805,600,1343,20,2768,12141
Butler,1715,4430,2607,56,8808,200,394,765,11,1370,10178
Calhoun,1138,2683,1974,38,5833,169,244,499,17,929,6762
Carroll,3102,4876,4617,85,12680,449,514,1153,21,2137,14817
Cass,1473,4325,2320,47,8165,203,504,723,17,1447,9612
Cedar,3065,4215,3854,85,11219,360,393,879,28,1660,12879
Cerro Gordo,8192,8009,9982,160,26343,1154,836,2804,43,4837,31180
Cherokee,1223,3945,1775,28,6971,240,365,731,10,1346,8317
Chickasaw,2077,2564,2409,38,7088,266,214,739,11,1230,8318
Clarke,1251,2170,1580,35,5036,241,263,587,18,1109,6145
Clay,1887,5131,2758,79,9855,324,630,1024,21,1999,11854
Clayton,2932,3904,3756,78,10670,321,352,778,15,1466,12136
Clinton,8830,8869,10023,193,27915,1510,844,3328,63,5745,33660
Crawford,2011,3495,2720,57,8283,498,373,891,21,1783,10066
Dallas,18468,21928,21474,539,62409,1748,1945,4180,134,8007,70416
Davis,1312,2031,1132,19,4494,144,192,303,11,650,5144
Decatur,1072,1869,1218,21,4180,266,186,308,15,775,4955
Delaware,2303,4543,3973,48,10867,281,315,732,17,1345,12212
Des Moines,8683,6990,6823,182,22678,1709,894,2452,58,5113,27791
Dickinson,2496,6115,3618,82,12311,397,707,997,34,2135,14446
Dubuque,23735,18180,17216,480,59611,3742,2316,4956,165,11179,70790
Emmet,1432,1917,1938,35,5322,285,301,778,7,1371,6693
Fayette,3106,4211,3628,63,11008,397,336,810,23,1566,12574
Floyd,2476,2752,3629,56,8913,573,381,1215,22,2191,11104
Franklin,1125,2815,1613,33,5586,178,270,513,6,967,6553
Fremont,853,2442,866,30,4191,174,306,364,15,859,5050
Greene,1476,2415,1682,47,5620,187,230,508,7,932,6552
Grundy,1512,4124,2338,49,8023,161,292,563,6,1022,9045
Guthrie,1567,2929,2438,55,6989,226,326,700,7,1259,8248
Hamilton,2095,4045,2420,48,8608,303,391,811,17,1522,10130
Hancock,1311,3354,1943,36,6644,200,324,590,14,1128,7772
Hardin,2363,4748,2822,61,9994,385,471,894,17,1767,11761
Harrison,1884,4453,2135,77,8549,164,276,353,14,807,9356
Henry,2513,5033,3626,77,11249,547,645,1625,35,2852,14101
Howard,1467,1718,2278,29,5492,174,128,509,7,818,6310
Humboldt,1064,2779,1978,31,5852,126,222,431,7,786,6638
