County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,770,2275,1466,25,4536,78,160,293,9,540,5076
Adams,404,1176,801,10,2391,33,83,168,0,284,2675
Allamakee,1590,4449,2230,51,8320,224,365,609,12,1210,9530
Appanoose,1424,3678,2144,55,7301,166,301,464,10,941,8242
Audubon,771,1893,892,26,3582,58,99,145,8,310,3892
Benton,3200,6951,6005,106,16262,247,300,793,25,1365,17627
Black Hawk,24600,21711,23230,701,70242,3863,1728,4756,136,10483,80725
Boone,4249,6599,6286,126,17260,399,454,978,28,1859,19119
Bremer,3532,5977,6424,89,16022,353,350,819,13,1535,17557
Buchanan,2938,4185,4809,74,12006,264,261,811,9,1345,13351
Buena Vista,2062,4083,2719,62,8926,520,406,762,18,1706,10632
Butler,1491,4672,2703,52,8918,142,256,396,12,806,9724
Calhoun,914,3042,1820,38,5814,94,190,265,3,552,6366
Carroll,2514,5725,4445,123,12807,248,326,608,13,1195,14002
Cass,1240,4516,2146,54,7956,150,313,475,8,946,8902
Cedar,2764,4817,4034,92,11707,226,244,579,14,1063,12770
Cerro Gordo,7082,9340,9171,201,25794,890,688,1869,44,3491,29285
Cherokee,948,4171,1636,42,6797,151,257,399,8,815,7612
Chickasaw,1685,2918,2373,29,7005,122,161,344,7,634,7639
Clarke,1016,2476,1469,48,5009,147,171,362,13,693,5702
Clay,1598,5376,2612,87,9673,224,450,533,20,1227,10900
Clayton,2286,5021,3202,64,10573,246,303,495,14,1058,11631
Clinton,7201,9750,10302,193,27446,901,729,2181,48,3859,31305
Crawford,1492,3912,2115,46,7565,335,326,648,19,1328,8893
Dallas,18687,25069,24741,609,69106,1858,1889,3696,100,7543,76649
Davis,868,2561,924,30,4383,85,146,217,3,451,4834
Decatur,780,2193,1066,36,4075,160,169,253,3,585,4660
Delaware,2065,4982,4059,61,11167,147,239,513,5,904,12071
Des Moines,6954,7535,7279,214,21982,976,643,1569,38,3226,25208
Dickinson,2173,6688,3771,93,12725,249,483,556,23,1311,14036
Dubuque,20769,20390,17344,554,59057,2500,1670,3739,121,8030,67087
