County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,"1,068","2,070","1,877",22,"5,037",50,89,164,4,307,"5,344"
Adams,579,"1,071",960,9,"2,619",44,42,121,2,209,"2,828"
Allamakee,"2,293","4,093","2,665",33,"9,084",170,168,374,5,717,"9,801"
Appanoose,"2,141","3,136","2,643",37,"7,957",177,205,441,4,827,"8,784"
Audubon,"1,018","1,952","1,079",14,"4,063",41,55,109,1,206,"4,269"
Benton,"4,277","5,938","6,638",94,"16,947",193,238,496,9,936,"17,883"
Black Hawk,"32,284","21,371","26,584",635,"80,874","2,558","1,591","3,346",87,"7,582","88,456"
Boone,"5,537","6,044","6,373",134,"18,088",310,356,769,19,"1,454","19,542"
Bremer,"4,582","5,388","6,665",85,"16,720",233,218,572,12,"1,035","17,755"
Buchanan,"3,823","3,638","5,606",43,"13,110",160,112,496,9,777,"13,887"
Buena Vista,"3,118","4,078","3,934",75,"11,205",358,288,562,4,"1,212","12,417"
Butler,"1,889","4,504","3,044",43,"9,480",80,160,233,3,476,"9,956"
Calhoun,"1,342","2,716","2,238",37,"6,333",52,95,137,6,290,"6,623"
Carroll,"3,700","4,831","5,270",76,"13,877",141,166,283,7,597,"14,474"
Cass,"1,661","4,579","2,649",39,"8,928",110,282,369,2,763,"9,691"
Cedar,"3,381","4,185","4,141",72,"11,779",141,183,291,16,631,"12,410"
Cerro Gordo,"9,199","8,095","11,264",117,"28,675",503,479,"1,167",10,"2,159","30,834"
Cherokee,"1,444","4,030","2,232",28,"7,734",76,111,264,3,454,"8,188"
Chickasaw,"2,402","2,603","2,883",26,"7,914",124,126,293,4,547,"8,461"
Clarke,"1,482","2,159","1,902",28,"5,571",82,102,240,6,430,"6,001"
Clay,"2,158","5,350","3,241",56,"10,805",148,321,426,8,903,"11,708"
Clayton,"3,320","3,842","4,084",53,"11,299",163,161,250,4,578,"11,877"
Clinton,"10,023","8,689","11,874",129,"30,715",764,426,"1,367",17,"2,574","33,289"
Crawford,"2,464","3,590","3,204",42,"9,300",112,120,275,2,509,"9,809"
Dallas,"17,433","20,514","20,329",450,"58,726","1,042","1,503","2,340",63,"4,948","63,674"
Davis,"1,555","1,924","1,299",22,"4,800",89,98,142,2,331,"5,131"
Decatur,"1,322","1,806","1,266",29,"4,423",182,123,216,6,527,"4,950"
Delaware,"2,570","4,534","4,197",46,"11,347",101,137,283,6,527,"11,874"
Des Moines,"10,501","7,204","8,184",161,"26,050",684,349,877,21,"1,931","27,981"
Dickinson,"2,826","6,066","3,873",55,"12,820",187,343,487,10,"1,027","13,847"
Dubuque,"26,929","18,333","18,552",403,"64,217","1,882","1,213","2,437",55,"5,587","69,804"
Emmet,"1,719","1,949","2,401",21,"6,090",112,149,328,2,591,"6,681"
Fayette,"3,552","4,168","3,768",62,"11,550",219,148,331,6,704,"12,254"
Floyd,"2,981","2,886","4,282",47,"10,196",260,158,491,7,916,"11,112"
Franklin,"1,281","2,898","1,938",29,"6,146",74,109,185,0,368,"6,514"
Fremont,"1,012","2,480","1,092",23,"4,607",97,164,210,6,477,"5,084"
Greene,"1,694","2,426","1,973",38,"6,131",74,92,193,6,365,"6,496"
Grundy,"1,598","4,041","2,793",38,"8,470",64,160,204,5,433,"8,903"
Guthrie,"1,754","3,005","2,729",45,"7,533",72,127,254,6,459,"7,992"
Hamilton,"2,396","4,083","3,086",51,"9,616",112,144,295,3,554,"10,170"
Hancock,"1,521","3,364","2,400",36,"7,321",92,129,226,3,450,"7,771"
Hardin,"2,692","4,780","3,421",57,"10,950",160,217,317,6,700,"11,650"
Harrison,"2,036","4,257","2,092",63,"8,448",46,78,78,3,205,"8,653"
Henry,"2,835","5,219","4,297",60,"12,411",263,315,630,4,"1,212","13,623"
Howard,"1,652","1,619","2,455",25,"5,751",95,73,239,0,407,"6,158"
Humboldt,"1,216","2,795","2,117",26,"6,154",69,111,182,3,365,"6,519"
Ida,822,"2,282","1,558",20,"4,682",38,67,107,2,214,"4,896"
Iowa,"2,742","4,512","4,108",67,"11,429",152,191,336,12,691,"12,120"
Jackson,"5,076","3,715","5,056",31,"13,878",209,139,448,2,798,"14,676"
Jasper,"8,328","7,917","8,500",106,"24,851",331,279,609,7,"1,226","26,077"
Jefferson,"4,444","3,211","2,657",83,"10,395",349,154,383,12,898,"11,293"
Johnson,"49,007","16,789","24,142",636,"90,574","7,891","3,527","7,567",278,"19,263","109,837"
Jones,"3,338","4,318","5,295",38,"12,989",136,149,413,7,705,"13,694"
Keokuk,"1,708","2,577","2,052",22,"6,359",97,103,174,4,378,"6,737"
Kossuth,"2,714","4,377","3,432",31,"10,554",115,177,346,4,642,"11,196"
Lee,"8,575","5,203","7,177",128,"21,083",619,330,"1,060",25,"2,034","23,117"
Linn,"59,017","39,500","45,732","1,364","145,613","3,165","2,149","3,830",161,"9,305","154,918"
Louisa,"1,724","2,538","2,431",31,"6,724",89,84,215,5,393,"7,117"
Lucas,"1,281","2,367","1,805",25,"5,478",75,115,186,3,379,"5,857"
Lyon,782,"6,093","1,205",14,"8,094",69,187,150,4,410,"8,504"
Madison,"2,758","4,415","3,499",71,"10,743",173,298,411,6,888,"11,631"
Mahaska,"2,697","6,888","3,914",87,"13,586",261,323,549,7,"1,140","14,726"
Marion,"5,406","9,967","6,841",115,"22,329",404,579,811,15,"1,809","24,138"
Marshall,"7,601","7,400","7,685",146,"22,832",480,402,933,17,"1,832","24,664"
Mills,"2,079","5,303","2,627",102,"10,111",106,184,191,11,492,"10,603"
Mitchell,"1,708","2,487","2,392",33,"6,620",118,125,221,4,468,"7,088"
Monona,"1,543","2,194","1,878",30,"5,645",120,158,272,9,559,"6,204"
Monroe,"1,364","1,861","1,417",22,"4,664",64,79,154,3,300,"4,964"
Montgomery,"1,220","3,627","1,867",26,"6,740",95,175,248,7,525,"7,265"
Muscatine,"8,594","8,315","9,376",152,"26,437",545,475,"1,035",21,"2,076","28,513"
O'Brien,"1,253","5,656","2,185",45,"9,139",113,222,231,5,571,"9,710"
Osceola,478,"2,480","1,038",13,"4,009",25,76,101,1,203,"4,212"
Page,"1,762","5,017","2,506",45,"9,330",151,295,436,5,887,"10,217"
Palo Alto,"1,830","2,084","1,954",20,"5,888",97,76,192,2,367,"6,255"
Plymouth,"3,158","8,729","4,882",80,"16,849",180,367,391,11,949,"17,798"
Pocahontas,917,"2,186","1,563",27,"4,693",85,86,198,2,371,"5,064"
Polk,"127,452","80,947","82,864","2,726","293,989","7,820","4,982","7,648",332,"20,782","314,771"
Pottawattamie,"16,814","22,145","17,812",619,"57,390","1,772","1,698","2,755",106,"6,331","63,721"
Poweshiek,"4,643","3,846","4,476",52,"13,017",586,165,494,11,"1,256","14,273"
Ringgold,649,"1,797",606,7,"3,059",27,72,69,1,169,"3,228"
Sac,"1,234","3,426","2,134",22,"6,816",73,104,181,2,360,"7,176"
Scott,"38,949","31,432","42,893",868,"114,142","4,334","2,849","6,436",164,"13,783","127,925"
Shelby,"1,808","3,725","2,256",24,"7,813",104,160,222,5,491,"8,304"
Sioux,"2,060","15,525","3,810",60,"21,455",128,560,321,13,"1,022","22,477"
Story,"23,795","17,330","21,016",705,"62,846","2,729","1,865","3,735",179,"8,508","71,354"
Tama,"3,098","3,524","4,267",46,"10,935",147,129,366,2,644,"11,579"
Taylor,674,"1,926","1,123",22,"3,745",39,68,93,2,202,"3,947"
Union,"1,725","3,040","2,752",34,"7,551",122,143,401,3,669,"8,220"
Van Buren,887,"2,103","1,596",25,"4,611",64,91,137,5,297,"4,908"
Wapello,"7,687","5,760","6,384",96,"19,927",605,352,902,13,"1,872","21,799"
