County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,732,2227,1406,25,4390,101,204,397,11,713,5103
Adams,378,1164,786,9,2337,49,101,231,1,382,2719
Allamakee,1506,4274,2169,45,7994,278,483,838,18,1617,9611
Appanoose,1322,3607,2090,46,7065,228,386,643,14,1271,8336
Audubon,728,1844,879,23,3474,77,134,200,10,421,3895
Benton,3054,6721,5839,92,15706,345,512,1263,34,2154,17860
Black Hawk,23360,20919,22729,626,67634,4557,2246,6409,189,13401,81035
Boone,4059,6458,6271,125,16913,466,617,1389,35,2507,19420
Bremer,3385,5829,6415,81,15710,403,441,1126,18,1988,17698
Buchanan,2793,4181,4787,68,11829,315,339,1043,16,1713,13542
Buena Vista,1930,3877,2493,57,8357,655,601,1052,22,2330,10687
Butler,1438,4623,2678,49,8788,163,339,550,18,1070,9858
Calhoun,837,2966,1780,36,5619,137,277,396,5,815,6434
Carroll,2376,5645,4400,115,12536,309,499,871,24,1703,14239
Cass,1162,4400,2074,51,7687,176,423,605,15,1219,8906
Cedar,2648,4682,3973,89,11392,300,355,787,23,1465,12857
Cerro Gordo,6774,9057,8883,188,24902,1043,916,2547,56,4562,29464
Cherokee,891,4078,1615,39,6623,174,312,519,8,1013,7636
Chickasaw,1593,2870,2338,28,6829,157,218,478,8,861,7690
Clarke,957,2379,1353,44,4733,185,224,484,15,908,5641
Clay,1523,5307,2565,90,9485,265,576,727,25,1593,11078
Clayton,2189,4980,3073,60,10302,311,456,683,22,1472,11774
Clinton,6757,9473,10063,184,26477,1091,984,3138,67,5280,31757
Crawford,1397,3752,2002,42,7193,412,472,806,25,1715,8908
Dallas,18271,24755,24913,576,68515,2280,2442,5231,133,10086,78601
Davis,824,2510,908,23,4265,110,208,290,9,617,4882
Decatur,745,2126,1013,27,3911,182,230,318,9,739,4650
Delaware,1960,4915,4009,58,10942,174,332,701,10,1217,12159
Des Moines,6471,7233,7216,196,21116,1200,890,2346,53,4489,25605
Dickinson,2101,6634,3686,84,12505,304,683,835,31,1853,14358
Dubuque,19943,20122,17385,500,57950,2947,2119,5007,169,10242,68192
Emmet,1068,2472,1729,28,5297,176,248,478,10,912,6209
Fayette,2309,4803,3492,70,10674,341,385,748,18,1492,12166
Floyd,1979,3043,3418,40,8480,321,277,843,19,1460,9940
Franklin,891,2838,1527,29,5285,141,229,511,7,888,6173
Fremont,657,2527,920,32,4136,106,311,301,16,734,4870
Greene,1088,2549,1640,44,5321,161,264,354,17,796,6117
Grundy,1218,4290,2334,54,7896,144,317,449,14,924,8820
Guthrie,1312,3319,2437,50,7118,141,257,512,12,922,8040
Hamilton,1627,4144,2452,42,8265,254,363,695,12,1324,9589
Hancock,1030,3592,1741,51,6414,168,313,497,11,989,7403
Hardin,1840,4739,2601,61,9241,280,505,696,20,1501,10742
Harrison,1499,4671,2148,89,8407,201,422,420,19,1062,9469
Henry,1957,5003,3407,71,10438,290,557,1049,32,1928,12366
Howard,1175,1802,2328,23,5328,109,151,485,7,752,6080
Humboldt,778,2854,1862,37,5531,121,274,476,4,875,6406
Ida,539,2232,1209,12,3992,63,192,307,9,571,4563
Iowa,2048,4643,3676,72,10439,245,388,842,11,1486,11925
Jackson,3103,4847,3820,56,11826,389,376,1048,15,1828,13654
Jasper,5624,8987,6775,144,21530,791,883,1995,43,3712,25242
Jefferson,3101,3364,2447,89,9001,523,343,761,29,1656,10657
Johnson,42668,17496,31454,766,92384,8535,2765,9224,265,20789,113173
Jones,2453,4785,4527,55,11820,265,406,1001,23,1695,13515
Keokuk,1017,2981,1486,31,5515,157,271,392,10,830,6345
Kossuth,1715,4633,2598,61,9007,230,426,738,19,1413,10420
Lee,5388,6215,5859,128,17590,893,731,1868,47,3539,21129
Linn,46270,38969,46998,1346,133583,7318,4409,11853,431,24011,157594
Louisa,1099,2617,1922,37,5675,232,299,613,11,1155,6830
Lucas,825,2751,1396,34,5006,121,281,390,5,797,5803
Lyon,529,6101,976,16,7622,109,482,322,7,920,8542
Madison,2049,5138,3437,98,10722,244,483,807,21,1555,12277
Mahaska,1756,6715,3380,99,11950,323,669,876,36,1904,13854
Marion,3842,10721,6742,145,21450,578,994,1735,40,3347,24797
Marshall,5347,7372,6242,145,19106,1103,691,1951,52,3797,22903
Mills,1551,5457,2011,133,9152,346,814,809,44,2013,11165
Mitchell,1235,2819,1983,36,6073,217,292,532,20,1061,7134
Monona,1029,2665,1322,47,5063,171,280,357,12,820,5883
Monroe,821,2370,1326,26,4543,104,233,315,6,658,5201
Montgomery,857,3198,1277,42,5374,158,389,570,18,1135,6509
Muscatine,5637,8133,8003,199,21972,1221,1017,2449,81,4768,26740
O'Brien,869,5522,1616,54,8061,174,473,483,20,1150,9211
Osceola,310,2371,790,13,3484,55,203,235,4,497,3981
Page,1109,5174,1852,61,8196,258,695,764,19,1736,9932
Palo Alto,1333,2451,1535,36,5355,158,198,378,8,742,6097
Plymouth,2219,8704,4347,81,15351,385,807,976,30,2198,17549
Pocahontas,600,2158,1132,36,3926,101,213,287,10,611,4537
Polk,102633,82426,88500,2698,276257,17954,9593,23404,807,51758,328015
Pottawattamie,12223,22089,14463,594,49369,2618,3256,4932,258,11064,60433
Poweshiek,2857,3877,4141,56,10931,847,344,1035,23,2249,13180
Ringgold,427,1849,532,15,2823,51,169,122,1,343,3166
Sac,795,3501,1720,25,6041,107,289,449,8,853,6894
Scott,29110,32601,37091,906,99708,6014,4000,11615,308,21937,121645
Shelby,1238,3984,1843,42,7107,199,475,587,23,1284,8391
Sioux,1438,15296,3790,79,20603,344,1215,1178,21,2758,23361
Story,16526,15772,20107,525,52930,3707,2358,5819,223,12107,65037
Tama,2112,4015,2838,55,9020,347,335,841,18,1541,10561
Taylor,440,1989,793,30,3252,73,236,220,11,540,3792
Union,1158,3229,2243,37,6667,161,285,720,16,1182,7849
Van Buren,514,2290,1055,29,3888,93,207,363,11,674,4562
Wapello,4512,6123,4994,118,15747,972,848,1821,58,3699,19446
Warren,8924,14684,11405,290,35303,1077,1368,2358,79,4882,40185
