County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,724,2177,1317,22,4240,122,260,453,12,847,5087
Adams,378,1139,710,9,2236,57,117,261,1,436,2672
Allamakee,1501,4242,1929,42,7714,311,563,925,20,1819,9533
Appanoose,1319,3531,1916,50,6816,268,448,700,15,1431,8247
Audubon,725,1828,802,23,3378,103,163,234,11,511,3889
Benton,3027,6647,5363,90,15127,417,609,1457,39,2522,17649
Black Hawk,23208,20781,20946,618,65553,5195,2629,7107,217,15148,80701
Boone,4055,6329,5717,116,16217,584,728,1580,38,2930,19147
Bremer,3379,5761,5939,86,15165,491,560,1326,17,2394,17559
Buchanan,2788,4020,4394,61,11263,406,422,1246,22,2096,13359
Buena Vista,1872,3788,2322,54,8036,713,698,1166,26,2603,10639
Butler,1417,4498,2468,47,8430,210,430,643,18,1301,9731
Calhoun,837,2887,1637,37,5398,166,345,463,5,979,6377
Carroll,2360,5430,3975,107,11872,397,625,1094,29,2145,14017
Cass,1179,4333,1930,47,7489,205,496,693,16,1410,8899
Cedar,2642,4638,3717,80,11077,340,416,903,27,1686,12763
Cerro Gordo,6766,8959,8245,182,24152,1201,1078,2830,63,5172,29324
Cherokee,888,4020,1443,38,6389,211,398,596,12,1217,7606
Chickasaw,1596,2794,2137,26,6553,206,281,592,10,1089,7642
Clarke,953,2390,1297,43,4683,209,254,537,18,1018,5701
Clay,1493,5128,2313,75,9009,324,704,833,33,1894,10903
Clayton,2139,4791,2881,54,9865,389,546,821,24,1780,11645
Clinton,6812,9336,9021,168,25337,1270,1142,3493,73,5978,31315
Crawford,1363,3685,1871,41,6960,461,539,893,25,1918,8878
Dallas,17994,24072,22726,557,65349,2543,2881,5832,149,11405,76754
Davis,815,2456,815,24,4110,135,256,330,8,729,4839
Decatur,728,2095,970,26,3819,207,265,351,13,836,4655
Delaware,1971,4809,3742,55,10577,228,417,839,10,1494,12071
Des Moines,6551,7165,6280,194,20190,1360,1018,2610,59,5047,25237
Dickinson,2067,6361,3365,82,11875,357,820,973,36,2186,14061
Dubuque,19850,19581,15580,490,55501,3413,2514,5622,189,11738,67239
Emmet,1064,2378,1570,26,5038,205,285,559,12,1061,6099
Fayette,2271,4752,3269,59,10351,411,453,884,18,1766,12117
Floyd,1980,2944,3145,37,8106,387,356,985,22,1750,9856
Franklin,876,2814,1416,26,5132,165,278,557,12,1012,6144
Fremont,658,2446,839,30,3973,122,376,329,17,844,4817
Greene,1095,2460,1556,43,5154,187,306,419,18,930,6084
Grundy,1210,4197,2105,53,7565,176,378,542,17,1113,8678
Guthrie,1317,3246,2234,45,6842,174,319,578,15,1086,7928
Hamilton,1616,4110,2218,42,7986,326,452,781,14,1573,9559
Hancock,1044,3536,1605,49,6234,193,375,557,12,1137,7371
Hardin,1835,4608,2338,63,8844,361,660,786,21,1828,10672
Harrison,1486,4650,2009,85,8230,238,507,489,23,1257,9487
Henry,1966,4933,3122,67,10088,322,643,1153,35,2153,12241
Howard,1187,1783,2132,24,5126,136,184,571,8,899,6025
Humboldt,780,2793,1695,34,5302,145,337,556,5,1043,6345
Ida,538,2178,1130,9,3855,81,243,360,10,694,4549
Iowa,2055,4595,3332,70,10052,299,462,962,15,1738,11790
Jackson,3109,4769,3466,53,11397,473,456,1182,17,2128,13525
Jasper,5617,8871,6389,136,21013,935,993,2189,46,4163,25176
Jefferson,3080,3325,2211,82,8698,571,416,827,31,1845,10543
Johnson,42333,17283,28874,764,89254,9126,3070,9886,279,22361,111615
Jones,2470,4718,4226,57,11471,308,480,1138,23,1949,13420
Keokuk,1008,2908,1391,30,5337,190,334,445,13,982,6319
Kossuth,1706,4605,2395,57,8763,269,502,826,20,1617,10380
Lee,5449,6145,5298,121,17013,1026,846,2056,52,3980,20993
Linn,46017,38412,42597,1315,128341,8246,5094,13184,470,26994,155335
Louisa,1070,2570,1755,35,5430,274,362,684,14,1334,6764
Lucas,811,2689,1288,30,4818,144,336,440,5,925,5743
Lyon,521,5963,876,16,7376,121,576,359,7,1063,8439
Madison,2057,5079,3158,90,10384,278,559,907,23,1767,12151
Mahaska,1710,6487,2890,92,11179,384,883,1004,43,2314,13493
Marion,3802,10440,6132,135,20509,659,1155,1962,45,3821,24330
Marshall,5309,7257,5594,130,18290,1252,848,2166,57,4323,22613
Mills,1493,5225,1811,126,8655,406,951,893,49,2299,10954
Mitchell,1224,2794,1910,36,5964,251,339,606,21,1217,7181
Monona,1028,2603,1224,42,4897,205,341,408,14,968,5865
Monroe,832,2309,1193,23,4357,127,285,364,7,783,5140
Montgomery,864,3181,1196,40,5281,179,470,625,18,1292,6573
Muscatine,5619,8040,7234,200,21093,1362,1164,2658,87,5271,26364
O'Brien,867,5421,1487,52,7827,202,574,529,21,1326,9153
Osceola,295,2327,706,13,3341,69,262,273,5,609,3950
Page,1085,5070,1620,57,7832,287,793,829,19,1928,9760
Palo Alto,1328,2400,1420,34,5182,182,254,438,9,883,6065
Plymouth,2173,8463,4032,75,14743,464,973,1126,36,2599,17342
Pocahontas,583,2112,1035,33,3763,134,269,341,16,760,4523
Polk,102114,81325,81458,2619,267516,19624,10927,25226,868,56645,324161
Pottawattamie,12048,21531,13021,552,47152,2912,3681,5391,276,12260,59412
Poweshiek,2816,3824,3831,55,10526,919,416,1172,25,2532,13058
Ringgold,437,1826,508,12,2783,58,201,140,4,403,3186
Sac,780,3399,1549,22,5750,136,372,527,9,1044,6794
Scott,28787,31916,33328,871,94902,6629,4548,12615,337,24129,119031
Shelby,1220,3899,1693,39,6851,237,552,658,25,1472,8323
Sioux,1406,15008,3302,78,19794,389,1475,1312,23,3199,22993
Story,16440,15639,18940,537,51556,3996,2611,6260,235,13102,64658
Tama,2106,4001,2724,51,8882,409,404,934,21,1768,10650
Taylor,417,1918,711,28,3074,103,316,272,11,702,3776
Union,1151,3173,1953,38,6315,181,337,805,17,1340,7655
Van Buren,529,2276,959,27,3791,103,246,401,14,764,4555
Wapello,4543,6005,4656,109,15313,1107,966,1985,59,4117,19430
Warren,8800,14259,10467,272,33798,1265,1657,2683,87,5692,39490
Washington,2650,5861,3571,86,12168,415,713,1180,34,2342,14510
Wayne,472,1999,734,24,3229,101,216,247,3,567,3796
Webster,4478,8195,5035,144,17852,1119,1178,2229,61,4587,22439
Winnebago,1187,2809,1885,33,5914,242,367,803,10,1422,7336
Winneshiek,3646,4617,4265,55,12583,611,330,914,16,1871,14454
Woodbury,12101,19913,12739,413,45166,3676,3361,6596,176,13809,58975
Worth,966,2097,1355,29,4447,161,215,421,8,805,5252
Wright,1140,3194,1688,41,6063,239,410,661,9,1319,7382
Totals,"500,069","688,244","537,263","14,315","1,739,891","99,183","88,320","180,248","5,284","373,035","2,112,926"
