County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,929,"1,901",12,"2,055",5,"4,902",69,74,3,166,0,312,"5,214"
Adams,550,935,6,"1,158",1,"2,650",49,64,1,145,0,259,"2,909"
Allamakee,"1,994","4,135",19,"2,990",7,"9,145",173,182,4,390,0,749,"9,894"
Appanoose,"2,159","2,877",18,"2,901",8,"7,963",205,193,3,427,1,829,"8,792"
Audubon,909,"1,956",11,"1,214",4,"4,094",49,84,1,104,0,238,"4,332"
Benton,"3,810","5,783",61,"7,251",13,"16,918",240,264,7,578,2,"1,091","18,009"
Black Hawk,"28,562","20,817",403,"29,878",168,"79,828","2,658","1,651",55,"3,426",21,"7,811","87,639"
Boone,"5,022","5,678",72,"7,000",24,"17,796",342,408,17,742,0,"1,509","19,305"
Bremer,"3,716","5,098",57,"7,297",11,"16,179",284,296,7,671,3,"1,261","17,440"
Buchanan,"3,390","3,186",30,"6,401",4,"13,011",184,133,5,541,2,865,"13,876"
Buena Vista,"2,821","4,008",38,"4,329",21,"11,217",348,290,4,553,0,"1,195","12,412"
Butler,"1,620","4,415",25,"3,454",7,"9,521",98,155,2,256,0,511,"10,032"
Calhoun,"1,218","2,491",15,"2,593",6,"6,323",73,96,2,173,2,346,"6,669"
Carroll,"3,567","4,201",51,"5,879",15,"13,713",150,166,7,332,0,655,"14,368"
Cass,"1,382","4,632",25,"2,902",8,"8,949",129,254,3,356,0,742,"9,691"
Cedar,"2,992","3,785",47,"4,734",10,"11,568",147,176,5,302,2,632,"12,200"
Cerro Gordo,"8,457","8,024",65,"12,526",19,"29,091",552,450,5,"1,082",4,"2,093","31,184"
Cherokee,"1,489","3,614",18,"2,730",5,"7,856",87,140,1,251,0,479,"8,335"
Chickasaw,"2,380","2,392",14,"3,292",9,"8,087",120,134,3,340,0,597,"8,684"
Clarke,"1,472","1,821",18,"2,209",4,"5,524",77,92,3,243,1,416,"5,940"
Clay,"1,824","5,485",36,"3,446",4,"10,795",169,293,3,464,1,930,"11,725"
Clayton,"3,232","3,500",35,"4,599",4,"11,370",190,171,1,320,2,684,"12,054"
Clinton,"9,440","7,489",69,"13,583",37,"30,618",745,402,12,"1,209",9,"2,377","32,995"
Crawford,"2,442","3,229",19,"3,708",8,"9,406",160,180,2,315,0,657,"10,063"
Dallas,"12,130","19,071",286,"21,174",53,"52,714","1,223","1,866",36,"2,622",5,"5,752","58,466"
Davis,"1,611","1,718",7,"1,443",3,"4,782",93,105,1,154,2,355,"5,137"
Decatur,"1,284","1,724",22,"1,384",6,"4,420",174,125,4,197,1,501,"4,921"
Delaware,"2,234","4,325",25,"4,689",9,"11,282",119,130,2,269,1,521,"11,803"
Des Moines,"10,089","6,505",107,"8,822",38,"25,561",881,463,13,"1,117",5,"2,479","28,040"
Dickinson,"2,305","5,415",50,"4,587",6,"12,363",191,329,3,453,3,979,"13,342"
Dubuque,"24,735","15,986",276,"22,244",87,"63,328","1,777","1,081",30,"2,113",18,"5,019","68,347"
Emmet,"1,693","1,795",11,"2,721",2,"6,222",124,129,2,334,1,590,"6,812"
Fayette,"3,252","4,017",37,"4,263",13,"11,582",211,130,3,296,2,642,"12,224"
Floyd,"2,813","2,644",27,"4,687",10,"10,181",260,158,7,440,1,866,"11,047"
Franklin,"1,129","3,062",14,"2,077",3,"6,285",88,121,0,198,1,408,"6,693"
Fremont,968,"2,206",11,"1,456",7,"4,648",92,121,0,186,0,399,"5,047"
Greene,"1,553","2,368",25,"2,150",4,"6,100",84,121,6,205,1,417,"6,517"
Grundy,"1,340","3,953",20,"3,138",5,"8,456",76,183,4,250,2,515,"8,971"
Guthrie,"1,584","2,747",33,"3,058",3,"7,425",66,98,1,198,0,363,"7,788"
Hamilton,"2,215","3,888",30,"3,457",11,"9,601",142,160,2,334,1,639,"10,240"
Hancock,"1,386","3,248",10,"2,736",8,"7,388",88,126,3,266,0,483,"7,871"
Hardin,"2,399","4,566",43,"3,886",11,"10,905",157,252,3,338,1,751,"11,656"
Harrison,"2,021","3,684",36,"2,640",13,"8,394",50,105,1,123,2,281,"8,675"
Henry,"2,517","4,897",46,"4,830",9,"12,299",315,329,3,691,1,"1,339","13,638"
Howard,"1,652","1,426",13,"2,653",1,"5,745",104,72,0,246,0,422,"6,167"
Humboldt,"1,148","2,597",13,"2,406",3,"6,167",85,121,2,217,0,425,"6,592"
Ida,745,"2,183",15,"1,690",3,"4,636",41,75,0,130,0,246,"4,882"
Iowa,"2,498","3,858",44,"4,876",7,"11,283",145,207,0,354,0,706,"11,989"
Jackson,"4,730","3,094",25,"5,786",8,"13,643",269,164,2,513,1,949,"14,592"
Jasper,"7,955","7,223",64,"8,806",19,"24,067",454,370,8,722,1,"1,555","25,622"
Jefferson,"3,795","3,249",46,"3,006",44,"10,140",351,180,10,416,10,967,"11,107"
Johnson,"42,139","18,684",644,"30,401",221,"92,089","5,893","2,768",99,"6,592",55,"15,407","107,496"
Jones,"3,030","3,704",18,"6,069",7,"12,828",148,145,6,433,1,733,"13,561"
Keokuk,"1,779","2,333",12,"2,233",4,"6,361",137,112,0,218,0,467,"6,828"
Kossuth,"2,894","3,449",21,"4,344",9,"10,717",155,174,1,368,0,698,"11,415"
Lee,"8,756","4,352",85,"8,022",22,"21,237",651,349,12,"1,067",4,"2,083","23,320"
Linn,"48,961","37,798","1,054","51,591",323,"139,727","3,722","2,332",103,"4,586",33,"10,776","150,503"
Louisa,"1,591","2,428",15,"2,639",5,"6,678",107,119,1,249,1,477,"7,155"
Lucas,"1,204","2,259",12,"1,973",3,"5,451",78,135,2,218,1,434,"5,885"
Lyon,821,"5,408",12,"1,658",1,"7,900",103,232,3,203,1,542,"8,442"
Madison,"2,543","4,217",38,"3,764",10,"10,572",160,293,4,396,0,853,"11,425"
Mahaska,"2,362","6,722",61,"4,336",16,"13,497",324,348,6,560,0,"1,238","14,735"
Marion,"5,030","9,257",75,"7,705",17,"22,084",355,576,9,753,2,"1,695","23,779"
Marshall,"6,808","7,286",67,"8,841",20,"23,022",479,373,8,820,1,"1,681","24,703"
Mills,"1,860","4,863",59,"2,965",19,"9,766",110,180,5,173,2,470,"10,236"
Mitchell,"1,583","2,500",8,"2,723",5,"6,819",85,91,1,195,0,372,"7,191"
Monona,"1,630","2,010",16,"2,204",6,"5,866",82,98,2,154,1,337,"6,203"
Monroe,"1,451","1,659",12,"1,558",0,"4,680",83,92,1,137,1,314,"4,994"
Montgomery,977,"3,508",12,"2,214",7,"6,718",75,175,3,242,0,495,"7,213"
Muscatine,"7,631","7,906",81,"10,253",41,"25,912",663,515,10,"1,171",3,"2,362","28,274"
O'Brien,"1,117","5,645",25,"2,361",9,"9,157",115,227,5,236,1,584,"9,741"
Osceola,447,"2,469",3,"1,112",5,"4,036",24,91,0,98,1,214,"4,250"
Page,"1,394","5,000",26,"2,783",10,"9,213",148,289,6,388,0,831,"10,044"
Palo Alto,"1,910","1,740",15,"2,258",5,"5,928",93,61,0,165,0,319,"6,247"
Plymouth,"2,963","8,241",57,"5,349",24,"16,634",181,380,6,393,1,961,"17,595"
Pocahontas,894,"2,000",15,"1,861",4,"4,774",75,82,4,195,0,356,"5,130"
Polk,"106,466","82,595","1,989","87,024",526,"278,600","8,506","5,778",238,"8,536",59,"23,117","301,717"
Pottawattamie,"14,856","20,705",398,"19,692",120,"55,771","2,420","2,209",59,"3,665",17,"8,370","64,141"
Poweshiek,"3,898","3,647",40,"4,810",11,"12,406",750,189,10,737,4,"1,690","14,096"
Ringgold,790,"1,474",5,766,0,"3,035",49,69,0,78,0,196,"3,231"
Sac,"1,208","3,101",15,"2,435",6,"6,765",78,118,0,218,0,414,"7,179"
Scott,"34,398","30,980",618,"46,445",187,"112,628","3,884","2,863",90,"5,752",23,"12,612","125,240"
Shelby,"1,663","3,538",18,"2,661",3,"7,883",89,136,5,182,1,413,"8,296"
Sioux,"1,648","15,273",42,"4,034",16,"21,013",154,537,10,377,3,"1,081","22,094"
Story,"18,075","17,263",516,"22,628",155,"58,637","2,762","2,027",117,"3,901",31,"8,838","67,475"
Tama,"2,924","3,318",25,"4,774",8,"11,049",184,127,2,378,0,691,"11,740"
Taylor,646,"1,842",20,"1,213",0,"3,721",37,72,2,98,0,209,"3,930"
Union,"1,594","2,649",20,"3,274",5,"7,542",118,165,1,367,1,652,"8,194"
Van Buren,928,"2,013",15,"1,629",9,"4,594",57,91,4,144,1,297,"4,891"
Wapello,"7,812","5,257",62,"6,818",37,"19,986",679,379,7,965,0,"2,030","22,016"
Warren,"9,185","11,324",144,"11,673",28,"32,354",642,733,18,"1,148",3,"2,544","34,898"
Washington,"2,867","5,967",67,"5,074",26,"14,001",182,285,7,466,1,941,"14,942"
Wayne,879,"1,401",9,"1,217",1,"3,507",43,71,1,83,1,199,"3,706"
Webster,"7,595","6,901",93,"9,321",48,"23,958",495,308,3,818,1,"1,625","25,583"
Winnebago,"1,440","2,757",21,"2,941",7,"7,166",170,160,1,346,0,677,"7,843"
Winneshiek,"3,860","4,327",27,"5,196",20,"13,430",339,172,4,541,4,"1,060","14,490"
Woodbury,"17,126","19,733",215,"19,136",79,"56,289","1,715","1,404",30,"2,289",10,"5,448","61,737"
Worth,"1,282","1,918",5,"2,009",1,"5,215",130,107,2,267,0,506,"5,721"
Wright,"1,747","3,313",24,"2,609",8,"7,701",138,173,2,262,1,576,"8,277"
Totals,"591,820","639,635","9,331","711,390","2,882","1,955,058","52,625","42,079","1,212","78,396",380,"174,692","2,129,750"
