County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Monroe,"1,579","1,492","1,580",6,"4,657",99,70,134,3,306,"4,963"
Montgomery,974,"3,605","2,167",6,"6,752",87,194,250,1,532,"7,284"
Muscatine,"7,451","7,886","10,604",61,"26,002",632,581,"1,205",2,"2,420","28,422"
O'Brien,"1,264","5,270","2,687",18,"9,239",95,214,296,2,607,"9,846"
Osceola,486,"2,470","1,123",5,"4,084",31,98,123,0,252,"4,336"
Page,"1,517","4,239","3,465",15,"9,236",168,248,517,5,938,"10,174"
Palo Alto,"2,161","1,595","2,210",12,"5,978",124,83,215,0,422,"6,400"
Plymouth,"3,076","7,713","5,530",37,"16,356",291,430,592,2,"1,315","17,671"
Pocahontas,"1,039","1,631","2,227",14,"4,911",52,74,168,1,295,"5,206"
Polk,"100,088","80,950","86,487","1,588","269,113","6,714","4,271","7,065",101,"18,151","287,264"
Pottawattamie,"14,862","20,054","19,153",269,"54,338","1,883","1,562","2,828",30,"6,303","60,641"
Poweshiek,"3,690","3,646","5,260",49,"12,645",532,123,465,2,"1,122","13,767"
Ringgold,831,"1,428",790,2,"3,051",45,45,68,0,158,"3,209"
Sac,"1,282","3,034","2,582",6,"6,904",76,119,209,0,404,"7,308"
Scott,"34,428","30,376","46,342",592,"111,738","3,442","2,278","5,230",40,"10,990","122,728"
Shelby,"1,707","3,448","2,530",9,"7,694",56,63,122,1,242,"7,936"
Sioux,"1,610","14,361","3,981",31,"19,983",110,473,399,3,985,"20,968"
Story,"15,702","15,898","22,044",434,"54,078","2,216","1,516","3,354",64,"7,150","61,228"
Tama,"3,079","3,220","4,725",15,"11,039",160,124,375,0,659,"11,698"
Taylor,689,"1,787","1,243",8,"3,727",79,107,237,0,423,"4,150"
Union,"1,624","2,677","3,248",13,"7,562",80,95,237,0,412,"7,974"
Van Buren,968,"2,078","1,600",22,"4,668",66,105,186,0,357,"5,025"
Wapello,"8,452","4,979","7,164",47,"20,642",698,345,855,3,"1,901","22,543"
Warren,"9,212","10,722","11,319",90,"31,343",592,580,"1,031",8,"2,211","33,554"
Washington,"2,859","5,557","5,442",53,"13,911",159,204,414,2,779,"14,690"
Wayne,920,"1,331","1,185",3,"3,439",57,79,87,0,223,"3,662"
Webster,"8,112","6,404","8,614",61,"23,191",666,442,"1,059",6,"2,173","25,364"
Winnebago,"1,445","2,812","2,826",9,"7,092",158,130,293,0,581,"7,673"
Winneshiek,"3,492","4,249","5,357",27,"13,125",204,110,295,0,609,"13,734"
Woodbury,"17,571","18,603","19,464",175,"55,813","1,592","1,129","2,071",19,"4,811","60,624"
Worth,"1,430","1,690","2,075",5,"5,200",119,76,252,2,449,"5,649"
Wright,"1,821","3,389","2,639",13,"7,862",148,217,298,1,664,"8,526"
Totals,"584,307","611,433","724,801","7,479","1,928,020","49,242","35,659","74,294",669,"159,864","2,087,884"
