County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,919,2148,1578,23,4668,110,188,433,7,738,5406
Adams,496,1118,828,10,2452,46,68,253,0,367,2819
Allamakee,2000,3987,2308,38,8333,275,389,741,12,1417,9750
Appanoose,1767,3296,2264,55,7382,371,346,753,11,1481,8863
Audubon,903,1863,929,19,3714,90,169,282,2,543,4257
Benton,3889,6041,6042,122,16094,438,433,1420,28,2319,18413
Black Hawk,28658,20736,23290,613,73297,5086,2398,6641,197,14322,87619
Boone,5026,6204,5636,134,17000,568,597,1634,39,2838,19838
Bremer,4090,5406,6219,92,15807,512,411,1241,20,2184,17991
Buchanan,3415,3655,4940,56,12066,333,271,1322,14,1940,14006
Buena Vista,2543,3956,3012,72,9583,745,528,1262,19,2554,12137
Butler,1750,4509,2637,55,8951,177,333,733,11,1254,10205
Calhoun,1164,2718,1986,42,5910,150,212,484,14,860,6770
Carroll,3182,4948,4669,84,12883,396,444,1082,20,1942,14825
Cass,1481,4328,2318,48,8175,202,503,720,17,1442,9617
Cedar,3136,4288,3929,86,11439,302,326,801,28,1457,12896
Cerro Gordo,8239,8032,9957,161,26389,1169,840,2820,43,4872,31261
Cherokee,1248,3995,1796,30,7069,219,321,698,8,1246,8315
Chickasaw,2114,2592,2450,35,7191,240,190,691,11,1132,8323
Clarke,1278,2216,1626,40,5160,219,217,546,12,994,6154
Clay,1919,5227,2831,82,10059,294,538,946,18,1796,11855
Clayton,2924,3878,3721,76,10599,323,358,787,15,1483,12082
Clinton,8856,8875,9982,191,27904,1518,850,3344,64,5776,33680
Crawford,2011,3495,2704,53,8263,499,377,892,22,1790,10053
Dallas,18484,21923,21306,539,62252,1760,1956,4207,136,8059,70311
Davis,1318,2030,1130,20,4498,148,191,305,10,654,5152
Decatur,1072,1873,1218,21,4184,267,187,310,15,779,4963
Delaware,2346,4598,4025,52,11021,244,274,675,13,1206,12227
Des Moines,8699,6975,6781,181,22636,1714,895,2468,58,5135,27771
Dickinson,2562,6229,3659,88,12538,337,581,928,29,1875,14413
Dubuque,24214,18446,17438,497,60595,3350,2049,4619,147,10165,70760
