County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,1045,2270,1920,27,5262,16,47,66,3,132,5394
Adams,553,1156,996,13,2718,12,16,47,1,76,2794
Allamakee,2279,4330,2865,47,9521,55,59,117,2,233,9754
Appanoose,2153,3506,2712,58,8429,58,69,128,1,256,8685
Audubon,1007,2021,1140,17,4185,15,23,48,1,87,4272
Benton,4353,6387,6995,135,17870,63,75,164,7,309,18179
Black Hawk,33610,22956,27282,771,84619,994,595,1246,38,2873,87492
Boone,5662,6674,6573,161,19070,113,139,316,11,579,19649
Bremer,4623,5784,7037,104,17548,82,86,191,5,364,17912
Buchanan,3808,3900,5870,66,13644,47,45,181,4,277,13921
Buena Vista,3171,4329,4036,84,11620,111,105,179,1,396,12016
Butler,1945,4816,3177,56,9994,32,60,94,2,188,10182
Calhoun,1323,2899,2352,48,6622,23,30,56,3,112,6734
Carroll,3673,5222,5500,94,14489,50,62,94,2,208,14697
Cass,1675,4788,2801,61,9325,38,90,104,1,233,9558
Cedar,3473,4630,4540,102,12745,63,66,117,9,255,13000
Cerro Gordo,9378,8675,11904,205,30162,224,218,546,3,991,31153
Cherokee,1455,4298,2234,33,8020,66,80,177,2,325,8345
Chickasaw,2383,2779,3009,44,8215,42,29,79,1,151,8366
Clarke,1504,2430,2029,54,6017,37,39,74,1,151,6168
Clay,2200,5650,3445,82,11377,52,140,178,3,373,11750
Clayton,3293,4162,4312,76,11843,58,58,82,2,200,12043
Clinton,10309,9579,12146,229,32263,348,195,622,8,1173,33436
Crawford,2523,3819,3349,63,9754,56,50,141,1,248,10002
Dallas,19754,23183,22603,621,66161,418,524,894,28,1864,68025
Davis,1485,2168,1318,28,4999,25,39,46,1,111,5110
Decatur,1322,2051,1417,34,4824,56,38,72,2,168,4992
Delaware,2615,4820,4475,62,11972,29,50,113,3,195,12167
Des Moines,10470,7808,8633,220,27131,225,115,271,10,621,27752
Dickinson,2885,6535,4224,98,13742,77,144,194,7,422,14164
Dubuque,27233,20016,19918,587,67754,841,532,1086,24,2483,70237
Emmet,1716,2132,2439,38,6325,79,107,236,0,422,6747
Fayette,3550,4535,4238,81,12404,59,54,122,3,238,12642
Floyd,2965,3047,4443,74,10529,162,101,260,4,527,11056
Franklin,1317,3126,1982,39,6464,31,39,59,1,130,6594
Fremont,1010,2718,1136,35,4899,41,66,75,6,188,5087
Greene,1680,2589,2082,41,6392,22,35,67,2,126,6518
Grundy,1717,4393,2681,50,8841,19,53,72,1,145,8986
Guthrie,1782,3205,2888,57,7932,29,47,107,2,185,8117
Hamilton,2454,4479,2961,63,9957,38,61,114,1,214,10171
Hancock,1550,3701,2385,46,7682,32,49,64,3,148,7830
Hardin,2746,5140,3484,75,11445,72,79,127,3,281,11726
Harrison,2102,4769,2436,83,9390,16,27,28,1,72,9462
Henry,2953,5480,4474,97,13004,213,263,534,8,1018,14022
Howard,1662,1815,2602,37,6116,33,34,83,1,151,6267
Humboldt,1218,2970,2224,38,6450,26,36,65,2,129,6579
Ida,818,2427,1597,23,4865,12,23,33,2,70,4935
Iowa,2783,4882,4243,91,11999,57,69,106,4,236,12235
Jackson,5086,4220,4963,55,14324,60,52,155,1,268,14592
Jasper,8324,8733,8687,167,25911,116,98,217,2,433,26344
Jefferson,4530,3586,2857,101,11074,135,48,126,3,312,11386
Johnson,52341,18390,28938,935,100604,3710,1632,3475,140,8957,109561
Jones,3356,4712,5491,61,13620,46,66,142,3,257,13877
Keokuk,1655,2828,2178,32,6693,29,35,55,1,120,6813
Kossuth,2642,4726,3517,40,10925,42,71,138,3,254,11179
Lee,8524,6001,7483,176,22184,228,119,427,15,789,22973
Linn,60661,41987,50405,1752,154805,1799,1290,2144,105,5338,160143
Louisa,1758,2816,2458,37,7069,37,28,93,1,159,7228
Lucas,1261,2611,1897,37,5806,32,46,64,1,143,5949
Lyon,816,6284,1246,22,8368,19,60,39,1,119,8487
Madison,2851,4940,3765,93,11649,76,111,141,2,330,11979
Mahaska,2721,7283,4305,132,14441,63,114,175,2,354,14795
Marion,5461,10726,7188,171,23546,158,220,301,3,682,24228
Marshall,8031,7959,7642,180,23812,150,152,351,8,661,24473
Mills,2105,5663,2790,127,10685,55,110,98,6,269,10954
Mitchell,1744,2767,2583,51,7145,55,63,102,2,222,7367
Monona,1556,2508,1832,46,5942,58,65,116,4,243,6185
Monroe,1349,2164,1494,35,5042,28,30,65,2,125,5167
Montgomery,1248,3776,2039,51,7114,43,63,98,2,206,7320
Muscatine,8807,8977,10013,266,28063,180,155,378,10,723,28786
O'Brien,1305,5923,2194,63,9485,53,117,87,2,259,9744
Osceola,503,2602,1052,16,4173,9,28,38,0,75,4248
Page,1776,5305,2519,71,9671,74,165,226,5,470,10141
Palo Alto,1850,2352,1958,34,6194,34,32,78,2,146,6340
Plymouth,3201,9171,5063,113,17548,66,127,152,8,353,17901
Pocahontas,899,2374,1542,38,4853,29,30,75,1,135,4988
Polk,135143,87991,90973,3507,317614,3618,2085,3467,160,9330,326944
Pottawattamie,17436,23897,19042,767,61142,574,603,914,43,2134,63276
Poweshiek,4581,4108,4784,76,13549,375,68,202,5,650,14199
Ringgold,600,2018,595,13,3226,8,23,27,0,58,3284
Sac,1229,3669,2116,24,7038,25,41,67,1,134,7172
Scott,41512,34085,44629,1168,121394,2458,1668,3765,101,7992,129386
Shelby,1822,4041,2426,45,8334,60,92,118,4,274,8608
Sioux,2131,16169,4034,97,22431,61,321,156,5,543,22974
Story,24419,18118,23081,870,66488,1106,716,1390,88,3300,69788
Tama,3207,3754,4320,81,11362,57,58,149,3,267,11629
Taylor,659,2157,1154,32,4002,18,26,38,1,83,4085
Union,1720,3444,2782,48,7994,50,50,152,2,254,8248
Van Buren,869,2510,1429,33,4841,26,33,45,2,106,4947
Wapello,7630,6335,6807,150,20922,202,134,316,6,658,21580
Warren,11131,13713,11586,314,36744,234,260,409,13,916,37660
Washington,3619,6115,5109,121,14964,86,103,164,13,366,15330
Wayne,871,1726,1146,23,3766,15,27,46,0,88,3854
Webster,7661,8028,8424,210,24323,244,219,434,7,904,25227
Winnebago,1785,3035,2729,53,7602,47,73,170,1,291,7893
Winneshiek,4878,4794,4856,73,14601,208,88,261,4,561,15162
Woodbury,19140,23134,18356,515,61145,683,526,975,27,2211,63356
Worth,1415,2069,1929,27,5440,32,35,87,0,154,5594
Wright,1866,3596,2404,43,7909,40,63,83,2,188,8097
Totals,"698,870","724,939","681,917","18,440","2,124,166","22,878","17,400","32,866","1,054","74,198","2,198,364"
