County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,953,"1,928",14,"2,089",5,"4,989",46,44,1,122,0,213,"5,202"
Adams,562,958,7,"1,185",1,"2,713",38,40,0,117,0,195,"2,908"
Allamakee,"2,029","4,186",21,"3,044",7,"9,287",148,142,2,333,0,625,"9,912"
Appanoose,"2,214","2,930",18,"2,992",8,"8,162",168,140,1,347,0,656,"8,818"
Audubon,922,"1,991",12,"1,237",5,"4,167",39,51,0,82,0,172,"4,339"
Benton,"3,902","5,887",64,"7,403",16,"17,272",162,173,4,411,0,750,"18,022"
Black Hawk,"29,180","21,347",415,"30,614",170,"81,726","2,092","1,151",44,"2,650",16,"5,953","87,679"
Boone,"5,140","5,826",84,"7,165",25,"18,240",234,270,5,550,0,"1,059","19,299"
Bremer,"3,797","5,225",58,"7,455",13,"16,548",210,181,6,492,1,890,"17,438"
Buchanan,"3,447","3,247",33,"6,509",5,"13,241",138,89,1,415,1,644,"13,885"
Buena Vista,"2,894","4,082",38,"4,433",21,"11,468",279,211,3,465,0,958,"12,426"
Butler,"1,664","4,486",27,"3,510",7,"9,694",71,98,0,185,0,354,"10,048"
Calhoun,"1,256","2,535",16,"2,664",6,"6,477",47,55,1,109,2,214,"6,691"
Carroll,"3,606","4,255",50,"5,971",15,"13,897",115,110,5,240,0,470,"14,367"
Cass,"1,423","4,703",25,"2,952",8,"9,111",99,202,2,299,0,602,"9,713"
Cedar,"3,027","3,857",48,"4,810",12,"11,754",113,113,4,226,1,457,"12,211"
Cerro Gordo,"8,616","8,210",66,"12,805",20,"29,717",400,283,2,797,3,"1,485","31,202"
Cherokee,"1,514","3,664",19,"2,777",5,"7,979",68,89,0,198,0,355,"8,334"
Chickasaw,"2,403","2,420",16,"3,368",9,"8,216",105,105,2,269,0,481,"8,697"
Clarke,"1,497","1,852",18,"2,272",5,"5,644",57,61,2,179,0,299,"5,943"
Clay,"1,865","5,589",38,"3,558",4,"11,054",143,203,0,357,1,704,"11,758"
Clayton,"3,282","3,535",35,"4,640",5,"11,497",156,128,0,272,1,557,"12,054"
Clinton,"9,631","7,645",73,"13,819",43,"31,211",595,265,7,935,3,"1,805","33,016"
Crawford,"2,467","3,273",19,"3,750",8,"9,517",131,136,2,253,0,522,"10,039"
Dallas,"12,676","19,952",305,"22,056",52,"55,041",690,"1,012",11,"1,639",4,"3,356","58,397"
Davis,"1,644","1,755",8,"1,469",4,"4,880",76,73,0,125,1,275,"5,155"
Decatur,"1,317","1,758",23,"1,410",6,"4,514",145,96,3,172,1,417,"4,931"
Delaware,"2,266","4,370",27,"4,746",9,"11,418",93,93,2,205,1,394,"11,812"
Des Moines,"10,252","6,624",110,"9,040",40,"26,066",731,347,8,886,4,"1,976","28,042"
Dickinson,"2,356","5,526",52,"4,703",7,"12,644",153,224,1,347,2,727,"13,371"
Dubuque,"25,135","16,295",288,"22,524",90,"64,332","1,434",793,18,"1,720",13,"3,978","68,310"
Emmet,"1,720","1,837",13,"2,782",2,"6,354",104,96,0,273,1,474,"6,828"
Fayette,"3,326","4,080",38,"4,345",13,"11,802",144,73,2,211,2,432,"12,234"
Floyd,"2,880","2,702",28,"4,785",10,"10,405",203,106,5,337,1,652,"11,057"
