County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active",Total Active,"Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Franklin,"1,162","3,105",15,"2,111",3,"6,396",60,86,0,161,1,308,"6,704"
Fremont,991,"2,236",11,"1,482",7,"4,727",70,87,0,151,0,308,"5,035"
Greene,"1,572","2,417",28,"2,196",4,"6,217",64,69,2,158,1,294,"6,511"
Grundy,"1,366","4,028",21,"3,193",5,"8,613",50,103,3,178,2,336,"8,949"
Guthrie,"1,587","2,751",33,"3,013",3,"7,387",67,99,1,202,0,369,"7,756"
Hamilton,"2,265","3,947",30,"3,521",11,"9,774",100,111,3,261,0,475,"10,249"
Hancock,"1,420","3,295",10,"2,784",7,"7,516",57,79,2,210,0,348,"7,864"
Hardin,"2,453","4,672",41,"3,969",11,"11,146",118,160,2,259,1,540,"11,686"
Harrison,"2,058","3,770",36,"2,713",14,"8,591",29,43,1,72,1,146,"8,737"
Henry,"2,570","4,991",47,"4,931",9,"12,548",270,252,2,583,1,"1,108","13,656"
Howard,"1,682","1,453",13,"2,714",1,"5,863",79,49,0,183,0,311,"6,174"
Humboldt,"1,174","2,640",13,"2,467",3,"6,297",62,84,2,159,0,307,"6,604"
Ida,761,"2,207",15,"1,718",3,"4,704",28,53,0,106,0,187,"4,891"
Iowa,"2,544","3,931",44,"4,956",7,"11,482",104,134,0,269,0,507,"11,989"
Jackson,"4,802","3,140",27,"5,881",8,"13,858",207,122,2,406,1,738,"14,596"
Jasper,"8,158","7,364",70,"8,984",19,"24,595",281,226,1,518,1,"1,027","25,622"
Jefferson,"3,879","3,319",51,"3,076",47,"10,372",272,128,7,341,8,756,"11,128"
Johnson,"42,148","18,720",641,"30,243",220,"91,972","5,899","2,776",101,"6,599",55,"15,430","107,402"
Jones,"3,080","3,769",22,"6,158",7,"13,036",106,87,2,326,1,522,"13,558"
Keokuk,"1,807","2,370",13,"2,274",4,"6,468",114,81,0,170,0,365,"6,833"
Kossuth,"2,927","3,495",21,"4,401",9,"10,853",123,133,1,307,0,564,"11,417"
Lee,"8,893","4,431",86,"8,144",22,"21,576",556,271,11,916,3,"1,757","23,333"
Linn,"49,927","38,580","1,077","52,468",330,"142,382","2,802","1,558",64,"3,539",24,"7,987","150,369"
Louisa,"1,605","2,463",15,"2,671",5,"6,759",94,86,1,205,1,387,"7,146"
Lucas,"1,232","2,297",14,"2,016",3,"5,562",58,100,0,168,1,327,"5,889"
Lyon,844,"5,469",13,"1,681",2,"8,009",82,183,2,177,0,444,"8,453"
Madison,"2,580","4,318",40,"3,846",10,"10,794",127,192,2,296,0,617,"11,411"
Mahaska,"2,428","6,843",64,"4,420",15,"13,770",266,248,4,476,0,994,"14,764"
Marion,"5,104","9,430",74,"7,789",20,"22,417",284,417,7,594,0,"1,302","23,719"
Marshall,"6,906","7,386",70,"8,995",24,"23,381",379,268,5,662,0,"1,314","24,695"
Mills,"1,950","5,027",63,"3,098",20,"10,158",18,21,1,27,1,68,"10,226"
Mitchell,"1,610","2,522",8,"2,772",5,"6,917",67,73,1,141,0,282,"7,199"
Monona,"1,658","2,045",17,"2,238",7,"5,965",60,62,1,111,0,234,"6,199"
Monroe,"1,478","1,704",11,"1,596",0,"4,789",61,51,1,102,1,216,"5,005"
Montgomery,997,"3,581",14,"2,267",7,"6,866",62,116,1,178,0,357,"7,223"
Muscatine,"7,793","8,043",86,"10,481",44,"26,447",535,383,5,924,0,"1,847","28,294"
O'Brien,"1,137","5,711",27,"2,401",9,"9,285",89,162,3,194,1,449,"9,734"
Osceola,455,"2,507",3,"1,139",5,"4,109",18,54,0,68,1,141,"4,250"
Page,"1,441","5,129",25,"2,863",11,"9,469",113,195,5,308,0,621,"10,090"
Palo Alto,"1,934","1,775",15,"2,328",4,"6,056",75,32,0,100,0,207,"6,263"
Plymouth,"3,002","8,351",60,"5,416",25,"16,854",152,272,2,317,0,743,"17,597"
Pocahontas,916,"2,027",16,"1,908",4,"4,871",56,60,2,155,0,273,"5,144"
Polk,"108,909","84,677","2,071","88,863",549,"285,069","6,314","3,861",135,"6,286",35,"16,631","301,700"
Pottawattamie,"15,150","21,010",413,"20,005",119,"56,697","2,143","1,906",39,"3,314",15,"7,417","64,114"
Poweshiek,"3,979","3,721",42,"4,908",11,"12,661",686,127,8,618,4,"1,443","14,104"
Ringgold,808,"1,513",5,785,0,"3,111",35,34,0,53,0,122,"3,233"
Sac,"1,233","3,131",15,"2,474",6,"6,859",58,90,0,188,0,336,"7,195"
Scott,"35,211","31,788",639,"47,329",191,"115,158","3,166","2,105",64,"4,683",19,"10,037","125,195"
Shelby,"1,701","3,603",21,"2,714",3,"8,042",61,98,2,128,1,290,"8,332"
Sioux,"1,694","15,437",47,"4,109",17,"21,304",105,394,6,274,2,781,"22,085"
Story,"18,881","17,892",562,"23,469",161,"60,965","2,034","1,474",67,"3,064",23,"6,662","67,627"
Tama,"2,980","3,363",27,"4,838",8,"11,216",144,83,1,298,0,526,"11,742"
Taylor,663,"1,874",21,"1,245",0,"3,803",27,49,1,70,0,147,"3,950"
Union,"1,625","2,699",21,"3,346",5,"7,696",87,112,0,294,0,493,"8,189"
Van Buren,943,"2,048",14,"1,659",9,"4,673",46,57,4,102,1,210,"4,883"
Wapello,"7,957","5,377",65,"6,983",36,"20,418",558,263,3,783,0,"1,607","22,025"
Warren,"9,409","11,591",152,"11,966",27,"33,145",454,503,7,824,3,"1,791","34,936"
Washington,"2,920","6,079",69,"5,162",25,"14,255",135,188,4,358,1,686,"14,941"
Wayne,899,"1,429",10,"1,241",2,"3,581",30,47,1,56,0,134,"3,715"
Webster,"7,566","6,816",87,"8,768",46,"23,283",490,311,3,821,1,"1,626","24,909"
Winnebago,"1,475","2,811",21,"3,000",7,"7,314",137,111,1,273,0,522,"7,836"
Winneshiek,"3,934","4,373",28,"5,294",21,"13,650",265,133,3,434,3,838,"14,488"
Woodbury,"17,469","20,126",220,"19,461",79,"57,355","1,421","1,070",21,"1,894",7,"4,413","61,768"
Worth,"1,312","1,949",5,"2,059",1,"5,326",104,77,2,213,0,396,"5,722"
Wright,"1,795","3,376",23,"2,663",8,"7,865",100,116,2,204,1,423,"8,288"
Totals,"603,672","652,472","9,684","724,545","2,961","1,993,334","42,141","30,228",768,"62,727",281,"136,145","2,129,479"
