County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,700,2015,20,1184,3,3922,224,420,12,818,3,1477,5399
Adams,385,1024,6,641,1,2057,93,222,0,449,0,764,2821
Allamakee,1574,3602,22,1874,6,7078,508,883,20,1354,3,2768,9846
Appanoose,1278,3025,29,1583,5,5920,558,845,23,1375,9,2810,8730
Audubon,715,1694,13,721,3,3146,185,351,8,468,2,1014,4160
Benton,3097,5826,66,5103,13,14105,805,1032,49,2639,13,4538,18643
Black Hawk,20681,18410,338,16985,73,56487,10706,5029,266,13304,119,29424,85911
Boone,3981,5686,80,4648,17,14412,1129,1362,59,3029,13,5592,20004
Bremer,3252,5149,50,4954,11,13416,965,1045,28,2532,7,4577,17993
Buchanan,2690,3653,43,3726,4,10116,694,699,25,2513,6,3937,14053
Buena Vista,1589,3449,30,1947,11,7026,1495,1221,35,2215,14,4980,12006
Butler,1381,4097,32,2009,9,7528,406,836,27,1330,5,2604,10132
Calhoun,869,2517,25,1550,2,4963,278,540,14,866,5,1703,6666
Carroll,2407,4826,70,3753,11,11067,773,1011,34,1983,7,3808,14875
Cass,1080,3884,21,1511,8,6504,424,1033,24,1434,8,2923,9427
Cedar,2520,4056,61,3090,7,9734,702,770,29,1679,15,3195,12929
Cerro Gordo,6341,7816,87,7109,21,21374,2373,1875,71,5343,39,9701,31075
Cherokee,885,3571,17,1298,3,5774,391,755,13,1130,5,2294,8068
Chickasaw,1616,2514,14,1913,1,6058,410,500,20,1198,9,2137,8195
Clarke,929,2030,22,1153,5,4139,445,508,20,1029,11,2013,6152
Clay,1417,4645,44,2013,15,8134,608,1268,39,1594,6,3515,11649
Clayton,2301,3909,45,2849,7,9111,657,903,26,1545,13,3144,12255
Clinton,6381,8313,106,7562,26,22388,2868,2105,90,6177,39,11279,33667
Crawford,1293,3021,27,1700,4,6045,1012,923,27,1787,17,3766,9811
Dallas,15524,21138,307,18205,49,55223,4766,4870,229,10030,51,19946,75169
Davis,953,1966,13,785,4,3721,270,471,9,651,5,1406,5127
Decatur,729,1735,16,773,3,3256,412,440,12,682,5,1551,4807
