County,"Democratic 
Active","Republican 
Active","Libertarian 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","Libertarian 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,730,2071,23,1222,2,4048,203,387,11,768,3,1372,5420
Adams,388,1057,7,671,1,2124,81,201,0,429,0,711,2835
Allamakee,1445,4095,26,1776,8,7350,470,800,20,1291,3,2584,9934
Appanoose,1263,3222,33,1637,5,6160,525,786,19,1300,8,2638,8798
Audubon,710,1730,16,734,3,3193,180,327,9,449,1,966,4159
Benton,2958,6434,73,4966,13,14444,751,966,44,2499,12,4272,18716
Black Hawk,20999,18709,370,17785,81,57944,10153,4661,251,12695,112,27872,85816
Boone,3976,5845,91,4973,17,14902,1030,1259,58,2900,12,5259,20161
Bremer,3283,5221,54,5171,12,13741,891,988,26,2409,7,4321,18062
Buchanan,2758,3692,58,3861,5,10374,651,655,25,2398,4,3733,14107
Buena Vista,1632,3570,32,2070,14,7318,1408,1104,33,2133,13,4691,12009
Butler,1390,4195,32,2085,9,7711,380,759,27,1275,5,2446,10157
Calhoun,842,2761,20,1494,3,5120,259,490,12,809,4,1574,6694
Carroll,2343,5200,96,3723,14,11376,713,943,33,1897,7,3593,14969
Cass,1104,3975,26,1588,11,6704,391,978,22,1382,7,2780,9484
Cedar,2487,4257,64,3173,7,9988,655,725,26,1602,14,3022,13010
Cerro Gordo,6361,8415,132,7135,23,22066,2253,1750,68,5084,38,9193,31259
Cherokee,859,3879,27,1272,4,6041,370,662,13,1075,5,2125,8166
Chickasaw,1596,2606,19,1981,0,6202,389,462,19,1153,6,2029,8231
Clarke,888,2208,29,1091,6,4222,425,468,20,984,10,1907,6129
Clay,1441,4765,51,2074,12,8343,564,1189,37,1535,7,3332,11675
Clayton,2146,4550,46,2663,8,9413,604,830,20,1443,11,2908,12321
Clinton,6441,8516,116,8159,35,23267,2646,1931,82,5800,40,10499,33766
Crawford,1182,3542,34,1546,5,6309,942,854,26,1698,16,3536,9845
Dallas,16277,21713,328,19496,55,57869,4334,4460,217,9430,48,18489,76358
Davis,813,2356,21,692,4,3886,234,407,9,596,4,1250,5136
Decatur,695,1883,20,697,3,3298,399,423,11,668,5,1506,4804
Delaware,1925,4442,37,3293,9,9706,463,700,16,1483,6,2668,12374
Des Moines,6098,6497,108,5711,30,18444,3010,1897,94,4487,23,9511,27955
Dickinson,1982,6078,54,3160,9,11283,621,1224,47,1573,7,3472,14755
Dubuque,18562,17267,278,14143,64,50314,6342,4246,247,9201,72,20108,70422
Emmet,982,2194,21,1343,7,4547,413,479,20,1129,0,2041,6588
Fayette,2234,4451,40,2836,13,9574,705,721,25,1512,10,2973,12547
Floyd,1903,2708,30,2805,5,7451,741,617,27,1861,12,3258,10709
Franklin,813,2639,15,1193,3,4663,332,535,19,1023,6,1915,6578
Fremont,644,2255,14,706,3,3622,265,642,20,549,9,1485,5107
Greene,1062,2324,33,1399,10,4828,346,495,16,793,3,1653,6481
Grundy,1123,3963,33,1851,4,6974,350,675,16,1028,3,2072,9046
Guthrie,1269,3075,44,1940,3,6331,344,559,16,1123,1,2043,8374
Hamilton,1545,3869,26,2074,3,7517,574,732,22,1301,9,2638,10155
Hancock,988,3258,22,1393,3,5664,357,682,13,1081,12,2145,7809
Hardin,1801,4343,36,2054,10,8244,642,1062,27,1522,8,3261,11505
Harrison,1346,4196,51,1508,9,7110,400,750,22,797,11,1980,9090
Henry,1792,4617,50,2705,10,9174,719,1132,41,2308,11,4211,13385
Howard,1161,1603,20,1892,1,4677,290,359,13,1048,4,1714,6391
Humboldt,761,2675,21,1536,4,4997,254,529,14,923,3,1723,6720
Ida,505,2055,12,970,1,3543,171,432,5,692,3,1303,4846
Iowa,1967,4431,51,2958,6,9413,581,768,32,1709,10,3100,12513
Jackson,2999,4510,39,2976,8,10532,959,754,16,2366,10,4105,14637
Jasper,5293,8240,88,5642,16,19279,1855,1657,55,3874,17,7458,26737
Jefferson,2971,3121,58,1887,14,8051,1144,686,29,1439,17,3315,11366
Johnson,39388,14979,419,23265,137,78188,13502,4860,327,14218,128,33035,111223
Jones,2395,4399,42,3596,5,10437,609,825,26,2264,7,3731,14168
Keokuk,977,2710,25,1138,5,4855,386,570,11,875,1,1843,6698
Kossuth,1686,4425,40,2165,7,8323,446,768,22,1435,4,2675,10998
Lee,5086,5595,93,4471,12,15257,2173,1438,70,3725,26,7432,22689
Linn,42683,35127,782,38509,206,117307,14432,8175,586,20768,195,44156,161463
Louisa,948,2397,25,1465,0,4835,587,563,18,1314,6,2488,7323
Lucas,777,2492,18,1125,5,4417,270,571,12,806,2,1661,6078
Lyon,511,5650,11,815,2,6989,236,1019,9,607,3,1874,8863
Madison,1947,4616,72,2769,5,9409,540,986,27,1495,8,3056,12465
Mahaska,1570,6005,74,2240,8,9897,837,1575,54,2158,10,4634,14531
Marion,3623,9738,100,5308,21,18790,1183,1914,57,3080,17,6251,25041
Marshall,4733,6774,94,4826,18,16445,2556,1542,66,3932,25,8121,24566
Mills,1388,4896,96,1550,16,7946,638,1406,61,1494,10,3609,11555
Mitchell,1177,2541,23,1631,1,5373,354,539,24,937,10,1864,7237
Monona,1000,2395,32,1074,3,4504,242,416,14,509,6,1187,5691
Monroe,772,2168,16,1022,0,3978,276,416,12,638,4,1346,5324
Montgomery,759,2817,27,910,3,4516,400,922,21,1230,12,2585,7101
Muscatine,5003,7383,102,5580,39,18107,3075,2197,115,5404,51,10842,28949
O'Brien,806,5095,37,1281,9,7228,392,1011,26,996,6,2431,9659
Osceola,271,2164,12,583,1,3031,133,495,5,532,4,1169,4200
Page,1019,4936,36,1494,6,7491,502,1147,36,1306,7,2998,10489
Palo Alto,1206,2188,21,1208,4,4627,421,444,9,852,4,1730,6357
Plymouth,1990,7752,45,3363,11,13161,894,1842,47,2254,18,5055,18216
