County,Dem Active,Rep Active,No Party Active,Other Active,Total Active,Dem Inactive,Rep Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
Adair,"1,009","1,912","1,963",8,"4,892",90,95,192,0,377,"5,269"
Adams,587,970,"1,131",3,"2,691",41,46,128,0,215,"2,906"
Allamakee,"2,114","4,090","3,074",12,"9,290",150,169,306,0,625,"9,915"
Appanoose,"2,358","2,886","2,868",10,"8,122",231,211,422,1,865,"8,987"
Audubon,"1,222","1,565","1,353",9,"4,149",44,68,126,0,238,"4,387"
Benton,"4,280","5,344","7,275",43,"16,942",261,182,573,2,"1,018","17,960"
Black Hawk,"29,412","21,171","29,141",368,"80,092","2,337","1,345","2,984",48,"6,714","86,806"
Boone,"5,216","5,703","6,588",45,"17,552",319,365,736,3,"1,423","18,975"
Bremer,"3,666","5,183","7,178",39,"16,066",251,248,586,9,"1,094","17,160"
Buchanan,"3,639","3,232","6,220",16,"13,107",199,157,557,1,914,"14,021"
Buena Vista,"2,938","4,057","4,395",21,"11,411",221,241,342,2,806,"12,217"
Butler,"1,729","4,446","3,385",9,"9,569",105,128,236,1,470,"10,039"
Calhoun,"1,301","2,387","2,547",8,"6,243",120,118,256,4,498,"6,741"
Carroll,"3,823","4,026","5,941",42,"13,832",256,239,621,4,"1,120","14,952"
Cass,"1,517","4,636","2,939",14,"9,106",129,284,378,0,791,"9,897"
Cedar,"3,151","3,877","4,490",29,"11,547",163,128,287,2,580,"12,127"
Cerro Gordo,"8,950","8,290","11,935",44,"29,219",719,463,"1,336",6,"2,524","31,743"
Cherokee,"1,767","3,228","2,869",16,"7,880",153,192,425,3,773,"8,653"
Chickasaw,"2,620","2,291","3,454",13,"8,378",148,141,354,3,646,"9,024"
Clarke,"1,509","1,820","2,083",9,"5,421",137,150,322,1,610,"6,031"
Clay,"2,339","4,556","3,973",20,"10,888",277,324,559,0,"1,160","12,048"
Clayton,"3,361","3,444","4,561",30,"11,396",164,152,328,2,646,"12,042"
Clinton,"10,041","7,616","12,692",66,"30,415","1,141",471,"1,579",6,"3,197","33,612"
Crawford,"2,545","3,204","3,446",7,"9,202",163,146,298,1,608,"9,810"
Dallas,"11,328","18,578","18,228",157,"48,291","1,243","1,903","2,952",22,"6,120","54,411"
Davis,"1,724","1,621","1,354",5,"4,704",131,91,207,1,430,"5,134"
Decatur,"1,469","1,641","1,391",10,"4,511",77,65,106,1,249,"4,760"
Delaware,"2,466","3,893","4,817",12,"11,188",100,123,234,0,457,"11,645"
Des Moines,"10,601","6,525","8,332",64,"25,522",890,482,"1,105",8,"2,485","28,007"
Dickinson,"2,457","5,293","4,406",25,"12,181",182,267,367,6,822,"13,003"
Dubuque,"24,706","15,819","21,404",206,"62,135","1,957","1,111","2,350",31,"5,449","67,584"
Emmet,"1,830","1,714","2,702",9,"6,255",255,182,589,0,"1,026","7,281"
Fayette,"3,495","3,995","3,966",33,"11,489",231,151,355,5,742,"12,231"
Floyd,"3,013","2,691","4,560",12,"10,276",218,148,391,3,760,"11,036"
Franklin,"1,254","3,019","2,184",5,"6,462",69,94,227,2,392,"6,854"
Fremont,"1,076","2,011","1,570",8,"4,665",173,232,335,1,741,"5,406"
Greene,"1,796","2,125","2,214",12,"6,147",122,152,276,3,553,"6,700"
Grundy,"1,387","3,997","3,030",16,"8,430",84,154,279,3,520,"8,950"
Guthrie,"1,682","2,759","2,803",23,"7,267",136,169,346,0,651,"7,918"
Hamilton,"2,522","3,560","3,629",26,"9,737",155,184,325,1,665,"10,402"
Hancock,"1,482","3,259","2,707",7,"7,455",126,147,339,2,614,"8,069"
Hardin,"2,513","4,646","3,750",17,"10,926",259,254,460,3,976,"11,902"
Harrison,"2,066","3,610","2,174",25,"7,875",53,84,85,1,223,"8,098"
Henry,"2,781","5,149","4,753",21,"12,704",373,315,681,2,"1,371","14,075"
Howard,"1,725","1,422","2,594",6,"5,747",125,98,305,0,528,"6,275"
Humboldt,"1,240","2,659","2,352",5,"6,256",83,85,189,0,357,"6,613"
Ida,836,"2,191","1,706",12,"4,745",56,126,217,0,399,"5,144"
Iowa,"2,665","3,946","4,739",31,"11,381",165,236,433,4,838,"12,219"
Jackson,"5,143","2,996","5,457",20,"13,616",313,189,610,4,"1,116","14,732"
Jasper,"8,023","7,386","8,339",42,"23,790",583,487,"1,013",3,"2,086","25,876"
Jefferson,"3,851","3,307","2,935",56,"10,149",319,208,466,14,"1,007","11,156"
Johnson,"43,105","19,550","27,227",508,"90,390","5,794","2,803","6,559",111,"15,267","105,657"
Jones,"3,223","3,737","5,742",17,"12,719",159,162,427,1,749,"13,468"
Keokuk,"1,958","2,337","2,192",9,"6,496",171,125,304,2,602,"7,098"
Kossuth,"3,107","3,471","4,169",12,"10,759",101,130,261,1,493,"11,252"
Lee,"9,079","4,326","7,824",59,"21,288",840,393,"1,194",5,"2,432","23,720"
Linn,"48,992","38,425","47,373",669,"135,459","5,429","3,210","6,572",97,"15,308","150,767"
Louisa,"1,630","2,441","2,389",8,"6,468",224,165,446,1,836,"7,304"
Lucas,"1,292","2,230","1,874",8,"5,404",90,128,257,2,477,"5,881"
Lyon,844,"5,376","1,640",6,"7,866",101,234,194,0,529,"8,395"
Madison,"2,750","4,175","3,711",20,"10,656",147,207,327,1,682,"11,338"
Mahaska,"2,892","6,030","4,592",43,"13,557",307,322,543,2,"1,174","14,731"
Marion,"5,302","9,430","7,199",44,"21,975",434,674,859,10,"1,977","23,952"
Marshall,"7,158","7,521","8,579",39,"23,297",693,584,"1,158",4,"2,439","25,736"
Mills,"1,984","4,964","2,911",31,"9,890",224,329,447,3,"1,003","10,893"
Mitchell,"1,660","2,457","2,649",10,"6,776",123,132,220,1,476,"7,252"
Monona,"1,816","1,936","2,244",7,"6,003",140,161,260,1,562,"6,565"
Monroe,"1,524","1,620","1,471",4,"4,619",125,89,157,3,374,"4,993"
Montgomery,"1,050","3,607","2,128",7,"6,792",83,192,243,1,519,"7,311"
Muscatine,"7,772","8,223","9,753",62,"25,810",772,709,"1,380",4,"2,865","28,675"
O'Brien,"1,282","5,332","2,536",18,"9,168",115,269,328,2,714,"9,882"
Osceola,497,"2,491","1,107",5,"4,100",28,97,120,0,245,"4,345"
Page,"1,560","4,324","3,267",16,"9,167",189,307,582,5,"1,083","10,250"
Palo Alto,"2,126","1,715","2,109",8,"5,958",130,95,223,1,449,"6,407"
Plymouth,"3,087","7,875","5,231",31,"16,224",340,514,655,3,"1,512","17,736"
Pocahontas,"1,038","1,716","2,107",12,"4,873",62,92,200,1,355,"5,228"
Polk,"108,197","82,806","81,216","1,426","273,645","6,437","4,103","6,722",97,"17,359","291,004"
Pottawattamie,"15,048","20,361","18,140",257,"53,806","2,167","1,885","3,217",40,"7,309","61,115"
Poweshiek,"3,930","3,715","4,477",27,"12,149",948,226,816,11,"2,001","14,150"
Ringgold,828,"1,470",758,2,"3,058",44,43,68,0,155,"3,213"
Sac,"1,306","3,106","2,479",6,"6,897",75,117,209,0,401,"7,298"
Scott,"36,257","31,770","42,694",535,"111,256","3,944","2,854","6,092",61,"12,951","124,207"
Shelby,"1,759","3,507","2,451",8,"7,725",72,93,147,1,313,"8,038"
Sioux,"1,774","14,876","3,632",23,"20,305",137,598,461,4,"1,200","21,505"
Story,"18,629","17,795","18,743",359,"55,526","2,634","1,888","3,990",78,"8,590","64,116"
Tama,"3,136","3,371","4,394",13,"10,914",196,163,473,1,833,"11,747"
Taylor,688,"1,814","1,188",8,"3,698",88,126,243,0,457,"4,155"
Union,"1,672","2,725","3,071",9,"7,477",108,126,284,0,518,"7,995"
Van Buren,"1,002","2,137","1,510",16,"4,665",79,124,206,2,411,"5,076"
Wapello,"8,397","5,377","6,684",43,"20,501",783,430,965,4,"2,182","22,683"
Warren,"9,468","11,450","10,429",77,"31,424",738,753,"1,218",11,"2,720","34,144"
Washington,"3,100","5,638","5,043",43,"13,824",196,269,503,6,974,"14,798"
Wayne,910,"1,409","1,122",3,"3,444",69,85,99,0,253,"3,697"
Webster,"8,092","6,674","8,239",56,"23,061",763,534,"1,198",9,"2,504","25,565"
