County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,733,2229,1396,25,4383,100,209,404,11,724,5107
Adams,375,1159,779,9,2322,50,102,235,1,388,2710
Allamakee,1510,4288,2140,44,7982,277,488,840,18,1623,9605
Appanoose,1320,3599,2048,47,7014,235,391,659,14,1299,8313
Audubon,733,1846,876,23,3478,78,135,202,10,425,3903
Benton,3057,6719,5766,92,15634,348,530,1280,34,2192,17826
Black Hawk,23358,20939,22423,622,67342,4627,2278,6474,193,13572,80914
Boone,4075,6435,6203,123,16836,476,621,1407,34,2538,19374
Bremer,3392,5828,6333,85,15638,413,452,1150,18,2033,17671
Buchanan,2797,4157,4730,65,11749,321,344,1076,18,1759,13508
Buena Vista,1914,3860,2476,57,8307,660,606,1063,22,2351,10658
Butler,1444,4605,2635,50,8734,168,353,562,18,1101,9835
Calhoun,840,2958,1767,37,5602,139,279,399,5,822,6424
Carroll,2373,5587,4286,111,12357,320,515,912,25,1772,14129
Cass,1170,4403,2069,48,7690,179,423,612,15,1229,8919
Cedar,2656,4685,3950,89,11380,302,357,791,23,1473,12853
Cerro Gordo,6791,9071,8816,184,24862,1058,918,2563,58,4597,29459
Cherokee,898,4081,1593,40,6612,176,314,520,8,1018,7630
Chickasaw,1601,2866,2315,28,6810,161,221,482,8,872,7682
Clarke,960,2382,1347,43,4732,187,231,489,16,923,5655
Clay,1531,5294,2529,83,9437,270,583,736,26,1615,11052
Clayton,2193,4961,3063,58,10275,317,458,693,22,1490,11765
Clinton,6777,9489,9906,183,26355,1107,995,3169,67,5338,31693
Crawford,1391,3757,2002,42,7192,416,474,812,25,1727,8919
Dallas,18249,24693,24532,578,68052,2305,2483,5296,134,10218,78270
Davis,828,2510,898,23,4259,110,209,293,9,621,4880
Decatur,741,2112,997,28,3878,182,230,320,9,741,4619
Delaware,1968,4918,3981,57,10924,176,336,708,10,1230,12154
Des Moines,6504,7226,7057,194,20981,1216,902,2374,55,4547,25528
Dickinson,2101,6598,3651,85,12435,307,690,841,31,1869,14304
Dubuque,19973,20069,17165,501,57708,2978,2141,5032,170,10321,68029
Emmet,1070,2452,1716,28,5266,176,249,486,10,921,6187
Fayette,2310,4809,3479,72,10670,345,386,752,18,1501,12171
Floyd,1982,3036,3383,38,8439,333,289,877,19,1518,9957
Franklin,893,2843,1512,28,5276,144,232,511,7,894,6170
Fremont,655,2519,911,32,4117,107,314,302,16,739,4856
Greene,1090,2537,1622,45,5294,166,273,369,18,826,6120
Grundy,1222,4260,2290,55,7827,148,319,456,14,937,8764
Guthrie,1313,3307,2418,49,7087,145,261,518,12,936,8023
Hamilton,1637,4157,2423,42,8259,258,369,696,12,1335,9594
Hancock,1031,3582,1718,51,6382,169,318,500,12,999,7381
Hardin,1851,4722,2558,61,9192,290,518,715,20,1543,10735
Harrison,1496,4675,2126,88,8385,206,434,435,20,1095,9480
Henry,1960,4992,3353,69,10374,297,576,1065,34,1972,12346
Howard,1180,1812,2299,22,5313,111,155,493,7,766,6079
Humboldt,782,2841,1805,37,5465,124,285,494,4,907,6372
Ida,543,2225,1190,12,3970,64,198,314,9,585,4555
Iowa,2047,4647,3604,73,10371,251,398,860,11,1520,11891
Jackson,3111,4847,3782,56,11796,393,379,1052,15,1839,13635
Jasper,5646,8993,6720,145,21504,796,889,2013,43,3741,25245
Jefferson,3103,3359,2392,88,8942,531,352,775,29,1687,10629
Johnson,42684,17515,31098,766,92063,8589,2785,9266,266,20906,112969
