County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,776,2305,1490,26,4597,73,134,266,8,481,5078
Adams,406,1184,811,10,2411,30,70,156,0,256,2667
Allamakee,1599,4478,2230,52,8359,222,343,590,12,1167,9526
Appanoose,1436,3719,2154,55,7364,156,263,445,10,874,8238
Audubon,777,1907,905,27,3616,54,85,132,7,278,3894
Benton,3200,6953,5981,106,16240,248,306,799,25,1378,17618
Black Hawk,24898,21903,23364,709,70874,3634,1560,4541,127,9862,80736
Boone,4299,6660,6334,132,17425,360,391,908,23,1682,19107
Bremer,3570,6037,6459,91,16157,322,297,768,10,1397,17554
Buchanan,2968,4193,4839,74,12074,236,246,774,9,1265,13339
Buena Vista,2071,4109,2730,62,8972,507,378,744,18,1647,10619
Butler,1503,4694,2711,53,8961,133,231,376,11,751,9712
Calhoun,921,3057,1835,38,5851,91,171,251,3,516,6367
Carroll,2542,5756,4474,124,12896,228,289,580,12,1109,14005
Cass,1258,4557,2170,54,8039,134,281,451,8,874,8913
Cedar,2790,4841,4057,93,11781,206,220,542,13,981,12762
Cerro Gordo,7173,9437,9253,205,26068,814,595,1754,41,3204,29272
Cherokee,956,4199,1645,42,6842,144,234,384,8,770,7612
Chickasaw,1694,2933,2377,29,7033,118,152,327,7,604,7637
Clarke,1036,2512,1486,48,5082,130,138,342,13,623,5705
Clay,1623,5426,2629,88,9766,202,401,511,19,1133,10899
Clayton,2306,5037,3235,64,10642,235,281,458,14,988,11630
Clinton,7280,9822,10389,193,27684,849,652,2065,45,3611,31295
Crawford,1507,3933,2121,46,7607,324,305,638,19,1286,8893
Dallas,19017,25489,25088,618,70212,1539,1454,3228,91,6312,76524
Davis,873,2580,939,30,4422,79,127,202,3,411,4833
Decatur,789,2223,1077,36,4125,153,148,239,3,543,4668
Delaware,2082,5008,4071,61,11222,136,216,493,5,850,12072
Des Moines,7033,7612,7332,216,22193,932,573,1483,36,3024,25217
Dickinson,2194,6747,3814,92,12847,233,419,511,22,1185,14032
Dubuque,20950,20549,17461,563,59523,2348,1510,3560,113,7531,67054
Emmet,1152,2496,1775,33,5456,130,162,340,6,638,6094
Fayette,2456,4978,3625,66,11125,242,229,504,10,985,12110
Floyd,2115,3093,3489,44,8741,261,201,612,15,1089,9830
Franklin,936,2934,1582,30,5482,111,161,378,9,659,6141
Fremont,701,2615,955,31,4302,81,213,200,14,508,4810
Greene,1175,2618,1734,55,5582,116,147,236,7,506,6088
Grundy,1279,4371,2304,61,8015,110,195,307,10,622,8637
Guthrie,1394,3392,2429,53,7268,103,169,346,7,625,7893
Hamilton,1736,4315,2543,46,8640,217,250,438,9,914,9554
Hancock,1111,3675,1785,53,6624,125,224,361,9,719,7343
Hardin,1985,4902,2623,70,9580,218,370,488,15,1091,10671
Harrison,1578,4901,2212,94,8785,155,269,291,13,728,9513
Henry,2086,5205,3557,83,10931,208,369,693,18,1288,12219
Howard,1249,1852,2360,26,5487,83,115,327,7,532,6019
Humboldt,835,2944,1912,38,5729,95,180,326,2,603,6332
Ida,574,2301,1253,14,4142,50,116,231,6,403,4545
Iowa,2178,4806,3668,74,10726,187,254,593,10,1044,11770
Jackson,3321,4982,3845,61,12209,290,242,758,10,1300,13509
Jasper,5964,9294,7166,156,22580,608,550,1350,29,2537,25117
Jefferson,3262,3536,2482,95,9375,404,209,516,20,1149,10524
Johnson,45284,18397,32129,829,96639,6225,1966,6295,205,14691,111330
Jones,2622,4959,4634,65,12280,176,241,682,16,1115,13395
Keokuk,1083,3066,1560,39,5748,120,176,274,4,574,6322
Kossuth,1808,4818,2651,66,9343,184,290,543,11,1028,10371
Lee,5783,6483,6058,137,18461,719,508,1250,37,2514,20975
Linn,48922,40566,47754,1475,138717,5539,3013,7640,309,16501,155218
Louisa,1144,2707,1977,39,5867,201,226,442,9,878,6745
Lucas,872,2830,1451,31,5184,89,200,272,3,564,5748
Lyon,561,6186,1005,17,7769,84,333,215,5,637,8406
Madison,2157,5306,3485,104,11052,182,325,556,10,1073,12125
