County,"Democratic 
Active","Republican 
Active","No Party 
Active","Other 
Active","Total 
Active","Democratic 
Inactive","Republican 
Inactive","No Party 
Inactive","Other 
Inactive","Total 
Inactive",Grand Total
Adair,738,2224,1377,25,4364,99,215,414,11,739,5103
Adams,374,1146,759,9,2288,53,107,242,1,403,2691
Allamakee,1519,4299,2108,43,7969,280,497,848,18,1643,9612
Appanoose,1323,3578,2025,47,6973,238,398,666,14,1316,8289
Audubon,732,1849,856,23,3460,81,136,208,11,436,3896
Benton,3063,6712,5688,91,15554,354,536,1296,37,2223,17777
Black Hawk,23242,20918,21947,625,66732,4798,2352,6645,195,13990,80722
Boone,4076,6421,6067,121,16685,490,635,1441,36,2602,19287
Bremer,3404,5799,6254,84,15541,426,466,1174,18,2084,17625
Buchanan,2807,4130,4650,65,11652,329,353,1104,19,1805,13457
Buena Vista,1900,3844,2427,56,8227,673,630,1085,22,2410,10637
Butler,1443,4584,2591,48,8666,171,362,582,18,1133,9799
Calhoun,840,2936,1721,37,5534,145,289,413,5,852,6386
Carroll,2376,5577,4261,111,12325,332,531,937,25,1825,14150
Cass,1167,4367,2015,47,7596,184,444,638,15,1281,8877
Cedar,2660,4677,3888,85,11310,308,363,798,24,1493,12803
Cerro Gordo,6787,9053,8665,184,24689,1096,954,2612,60,4722,29411
Cherokee,902,4078,1557,40,6577,183,323,534,8,1048,7625
Chickasaw,1599,2844,2244,27,6714,170,227,514,8,919,7633
Clarke,962,2392,1332,43,4729,190,231,497,16,934,5663
Clay,1516,5258,2462,84,9320,280,607,756,27,1670,10990
Clayton,2182,4911,3016,57,10166,323,470,712,22,1527,11693
Clinton,6805,9451,9655,176,26087,1139,1025,3231,70,5465,31552
Crawford,1390,3728,1964,42,7124,422,495,832,25,1774,8898
Dallas,18211,24564,24049,568,67392,2343,2511,5336,135,10325,77717
Davis,823,2505,875,23,4226,115,212,299,9,635,4861
Decatur,737,2104,989,28,3858,186,233,325,10,754,4612
Delaware,1972,4912,3927,55,10866,181,348,730,10,1269,12135
Des Moines,6532,7229,6871,196,20828,1229,910,2401,55,4595,25423
Dickinson,2096,6566,3616,87,12365,315,706,854,32,1907,14272
Dubuque,19902,19891,16590,488,56871,3070,2221,5200,182,10673,67544
Emmet,1077,2442,1682,28,5229,180,252,500,10,942,6171
Fayette,2310,4799,3429,64,10602,355,394,777,17,1543,12145
Floyd,1989,3005,3306,38,8338,339,300,897,20,1556,9894
Franklin,885,2843,1478,28,5234,148,236,515,8,907,6141
Fremont,660,2505,902,32,4099,108,320,305,16,749,4848
Greene,1094,2519,1598,43,5254,168,276,375,18,837,6091
Grundy,1219,4232,2237,55,7743,153,329,477,14,973,8716
Guthrie,1310,3299,2369,46,7024,147,263,532,12,954,7978
Hamilton,1631,4154,2367,44,8196,274,383,714,13,1384,9580
Hancock,1041,3579,1688,51,6359,170,328,506,12,1016,7375
Hardin,1848,4726,2502,63,9139,303,532,728,21,1584,10723
Harrison,1487,4668,2061,87,8303,208,438,442,21,1109,9412
Henry,1970,4979,3309,69,10327,305,590,1078,34,2007,12334
Howard,1183,1806,2271,24,5284,114,158,503,7,782,6066
Humboldt,786,2836,1800,37,5459,127,290,500,4,921,6380
Ida,549,2216,1174,11,3950,66,201,322,9,598,4548
Iowa,2049,4636,3545,71,10301,256,407,872,12,1547,11848
Jackson,3108,4821,3717,55,11701,410,387,1069,15,1881,13582
Jasper,5643,8976,6640,143,21402,818,903,2035,43,3799,25201
Jefferson,3081,3340,2292,85,8798,542,365,787,29,1723,10521
Johnson,42541,17450,30464,765,91220,8710,2830,9385,269,21194,112414
Jones,2467,4762,4452,54,11735,270,419,1018,24,1731,13466
Keokuk,1012,2958,1432,34,5436,167,297,414,11,889,6325
Kossuth,1717,4640,2529,62,8948,235,440,754,20,1449,10397
Lee,5425,6222,5626,126,17399,933,761,1905,48,3647,21046
Linn,46176,38895,45437,1342,131850,7498,4501,12160,445,24604,156454
Louisa,1088,2600,1853,35,5576,242,324,632,11,1209,6785
Lucas,826,2726,1364,31,4947,125,294,395,5,819,5766
Lyon,520,6076,941,16,7553,117,501,328,7,953,8506
Madison,2076,5133,3363,98,10670,255,500,836,22,1613,12283
Mahaska,1728,6620,3210,96,11654,341,738,910,39,2028,13682
Marion,3846,10630,6480,142,21098,595,1032,1805,41,3473,24571
Marshall,5338,7352,5974,138,18802,1150,730,2015,54,3949,22751
Mills,1541,5402,1956,131,9030,354,833,824,45,2056,11086
Mitchell,1235,2820,1976,36,6067,220,300,544,21,1085,7152
Monona,1032,2639,1295,45,5011,177,294,366,12,849,5860
Monroe,827,2354,1281,25,4487,110,240,323,7,680,5167
Montgomery,859,3197,1246,40,5342,163,408,585,18,1174,6516
Muscatine,5644,8115,7747,199,21705,1254,1046,2507,82,4889,26594
O'Brien,870,5487,1579,53,7989,175,494,488,20,1177,9166
Osceola,301,2357,761,13,3432,60,213,246,5,524,3956
Page,1106,5145,1761,59,8071,265,723,784,20,1792,9863
Palo Alto,1331,2432,1482,36,5281,165,211,395,9,780,6061
Plymouth,2203,8621,4221,78,15123,408,849,1010,31,2298,17421
Pocahontas,589,2155,1094,38,3876,114,230,311,13,668,4544
Polk,102353,82132,85499,2670,272654,18522,9886,23928,831,53167,325821
Pottawattamie,12230,21906,13779,575,48490,2693,3357,5065,260,11375,59865
